2019,real-time logic timed automaton,show construct temporal tester logic mitl prominent linear-time logic real-time system temporal tester transducer input signal holding boolean value atomic proposition output truth value formula along time consider tester continuous-time boolean signal use clock variable enforce duration constraint timed automaton first rewrite mitl formula “simple” formula using limited set temporal modality build tester specific modality show compose tester simple formula complex one temporal tester turned acceptor yielding compositional translation mitl timed automaton construction much simpler previously known remains asymptotically optimal support past future operator easily extended
2012,low dimensional hybrid system - decidable undecidable dont know,even though many attempt made define boundary decidable undecidable hybrid system affair far resolved low dimensional system shown undecidable respect reachability many open problem discovered paper present various two-dimensional hybrid system reachability problem undecidable show undecidability simulating minsky machine proximity decidability frontier understood inspecting parsimonious constraint necessary make reachability automaton decidable also show two-dimensional system reachability question remains unanswered proving hard reachability problem piecewise affine map real line well known open problem
2012,verification multi-linked heap,define class single-parent heap system rely singly-linked heap order model destructive update tree structure encoding advantage relying relatively simple theory linked list order support abstraction computation facilitate application encoding provide program transformation given program operating multi-linked heap without sharing transforms one single-parent heap possible apply shape analysis predicate ranking abstraction technique successfully applied example list  tree fixed arity 
2012,synthesis reactive1 design,address problem automatically synthesizing digital design linear-time specification consider various class specification synthesized effort quadratic number state reactive system measure effort symbolic step synthesis algorithm based novel type game called general reactivity rank   winning condition form  boolean combination atomic proposition show symbolic algorithm solve game build winning strategy several way optimize winning strategy extract system also show use gr game solve synthesis ltl specification many interesting case empirical evidence generality efficiency approach include significant case study describe formal specification synthesis process applied bus arbiter realistic industrial hardware specification modest size
2012,,long known past-time operator add expressive power linear temporal logic paper consider extension branching temporal logic past-time operator two possible view regarding nature past branching-time model induce two different extension first view past branching moment time may several possible future several possible past second view past linear moment time may several possible future unique past view assume past finite discus practice extension specification language characterize expressive power examine complexity model-checking satisfiability problem
2012,effective synthesis asynchronous system gr1 specification,consider automatic synthesis linear temporal logic specification asynchronous system aim produced reactive system used software multi-threaded environment extend previous reduction asynchronous synthesis synchronous synthesis setting multiple input multiple output variable much like synthesis synchronous design solution practical requires determinization automaton infinite word solution complicated game follow advance synthesis synchronous design restrict handled specification achieve scalability efficiency propose heuristic case maintains scalability asynchronous synthesis heuristic prove specification realizable extract design done reduction synchronous synthesis inspired theoretical reduction
2010,towards component based design hybrid system safety stability,propose library based incremental design methodology constructing hybrid controller component library model hybrid controller global safety stability property preserved end propose hybrid interface specification component characterizing plant region safety stability property guaranteed well exception mechanism allowing safe stability-preserving transfer control whenever plant evolves towards boundary controllable dynamic propose composition operator constructing hybrid automaton library pre-characterized component supported compositional automatable proof hybrid interface specification
2010,proving refuted symbolic model checker proof generator,paper present automatic method derive deductive proof response property symbolic model checking method based new proof rule response property deal directly compassion  method applied infinite-state system particular model checking response  abstracted heap program automatically transformed deductive proof concrete heap system example presented paper run tlv
2010,temporal verification reactive system response,nearly twenty year ago amir  decided write series three volume summarizing state art  verification reactive system using temporal logic technique
2010,jtlv framework developing verification algorithm,jtlv computer-aided verification scripting environment offering state-of-the-art integrated developer environment algorithmic verification application jtlv may viewed new much enhanced tlv  java rather tlv-basic scripting language jtlv attache internal parser eclipse editor facilitates rich common abstract verification developer environment implemented eclipse plugin
2010,revisiting synthesis gr1 specification,last year seen rising interest problem synthesizing system temporal logic specification one major contributor recent work piterman et al showed polynomial time synthesis could achieved class ltl specification large enough expressive enough cover extensive number complex real-world application  approach already used extensively synthesis various application basis theoretical work synthesishere expose fundamental flaw initial processing specification paper demonstrate may produce incorrect  declaring specification could synthesized fact could identify class specification initial processing sound complete thus giving insight reason problem arises first place also show easily checked whether specification belong sound complete class using synthesis technique finally show case specification fall category modify processing indeed sound complete
2009,controller synthesis lsc requirement,live sequence chart  visual requirement language specifying reactive system behavior modeling designing open reactive system often essential guarantee requirement satisfied possible circumstance apply  area controller synthesis subset lsc language decide realizability lsc requirement realizable show generate system response guaranteed satisfy requirement discus one particular implementation result formulated extension smart play-out method direct execution scenario-based requirement
2009,synthesis program temporal property specification,paper investigates development process reactive program program automatically generated  high-level temporal specification method based previous  proposed similar synthesis method automatic construction hardware design temporal specification thus work reported viewed generalization existing method synthesis synchronous reactive system synthesis asynchronous system synchronous case possible identify restricted subclass formula present algorithm solves synthesis problem restricted specification polynomial time  le definitive sense offer heuristic may provide polynomial-time solution case
2008,sound complete deductive system ctl* verification,paper present compositional approach verification ctl* property reactive system symbolic model-checking  deductive verification considered method based two decomposition principle general state formula decomposed basic state formula ctl* formula embedded path quantifier deal arbitrary basic state formula introduce another reduction principle replaces basic path formula ie path formula whose principal operator temporal contain embedded temporal operator path quantifier newly introduced boolean variable added system thus algorithmic deductive method based two statification transformation successively replace temporal formula assertion contain path quantifier temporal operator performing decomposition repeatedly remain basic assertional formula ie formula form efp afp assertion p model-checking method present single symbolic algorithm verify universal existential basic assertional property deductive method present small set proof rule show set sound relatively complete verifying universal existential basic assertional property reactive system together two proof rule decomposition obtain sound relatively complete proof system arbitrary ctl* property interestingly deductive approach ctl* presented offer viable new approach deductive verification arbitrary ltl formulasthe paper corrects previous preliminary version deductive system ctl* rule unsound correction based introduction new type temporal tester guaranteed non blocking composed deadlock-free system key operation verification process resulting composed system guaranteed remain deadlock free
2008,using abstraction verify arbitrary temporal property,summary form given known fact finitary state abstraction method  predicate abstraction inadequate verifying general liveness property even termination sequential program talk present abstraction approach called ranking abstraction sound complete verifying temporally specified property including liveness property start presenting general simple framework state abstraction emphasizing order get soundness necessary apply over-approximating abstraction system under-approximating abstraction  property show finitary version abstraction complete verifying safety property also show example simple program whose termination provably cannot established finitary abstraction consider abstraction approach verification deadlock freedom presenting sufficient condition guaranteeing deadlock freedom inherited concrete abstract finally introduce method ranking abstraction illustrate application verification termination general liveness property presentation emphasize similarity predicate abstraction extension ranking abstraction particular fact user provide full ranking function specify ingredient function constructed also sketch abstraction refinement applied ranking abstraction thus opening way cegar-like methodology time permitting present brief comparison ranking abstraction method transition abstraction developed podelski rybalchenko cook underly terminator system talk based  obtained joint research
2008,checking temporal property discrete timed continuous behavior,survey problem associated checking whether given behavior  satisfies property specified appropriate temporal logic describe two monitoring algorithm real-time logic mitl
2008,mechanical verification transactional memory non-transactional memory access,transactional memory programming abstraction intended simplify synchronization conflicting memory access  without difficulty associated lock previous work presented formal framework proving transactional memory implementation satisfies specification provided model checking verification using small instantiation paper extends previous work capture non-transactional access memory occurs example using legacy code provide mechanical proof soundness verification method well mechanical verification version popular tcc implementation includes non-transactional memory access verification performed deductive temporal checker tlpvs
2008,discriminative model checking,model checking typically compare system description formal specification return either counterexample affirmation compatibility two description counterexample provide evidence existence error still difficult understand cause error propose model checking methodology us two level specification methodology group execution good bad respect satisfying base ltl specification use analysis specification ctl ∗  style quantifying good bad execution specification allows checking whether base specification hold fails hold system also propose model checking algorithm style standard ctl ∗  decision procedure framework used comparing good bad execution system outside providing assistance locating design programming error
2008,covac compiler validation program analysis cross-product,paper present deductive framework proving program equivalence application automatic verification transformation performed optimizing compiler leverage existing program analysis technique reduce equivalence checking problem analysis one system – cross-product two input program show approach effectively used checking equivalence consonant  program finally report prototype tool applies developed methodology verify compiler optimization run preserve program semantics unlike existing framework covac accommodates absence compiler annotation handle classical intraprocedural optimization constant folding reassociation common subexpression elimination code motion dead code elimination branch optimization others
2008,program analysis compiler validation,translation validation approach ensuring compilation correctness compiler run followed validation pas prof target code produced compiler correct translation  source code previously shown problem translation validation reduced checking single system - corss-product source target satisfies specific property paper show adapt existing program analysis technique setting translation validation addition present novel invariant generation algorithm strengthens analysis input program contain dynamically allocated data structure finally report prototype tool applies developed methodology verification llvm compiler tool handle many classical intraprocedural compiler optimization constant folding reassociation common subexpression elimination code motion dead code elimination others
2008,merit temporal tester,paper discus merit temporal tester serve compositional basis automaton construction corresponding temporal formula context ltl psl mitl logic temporal tester viewed  transducer point output boolean value  iff corresponding temporal formula hold starting current positionthe main advantage tester compared acceptor  compositionality namely tester compound formula constructed tester sub-formulas besides providing construction tester formula specified ltl psl mitl paper also present general overview tester methodology highlight unique feature application transducer including compositional deductive verification ltl property
2008,need compassion,paper present new deductive rule verifying response property assumption compassion  requirement improves previous rule premise new rule first order prove rule sound present constructive completeness proof case finite-state system general case present sketch relative completeness proof report implementation rule pvs illustrate application simple non-trivial example
2007,specify compile run hardware psl,propose use formal specification language high-level hardware description language formal language allow compact unambiguous representation yield design correct construction idea automatic synthesis specification old used completely impractical recently great stride towards efficient synthesis specification made paper extend recent method generate compact circuit show practicality synthesizing generalized buffer arbiter arm amba ahb bus specification given psl first industrial example synthesized automatically specification
2007,modular ranking abstraction,predicate abstraction become one successful methodology proving safety property program recently several abstraction methodology proposed proving liveness property paper study ranking abstraction program augmented non-constraining progress monitor based set ranking function abstracted predicate-abstraction allow automatic verification progress property unlike many liveness methodology augmentation require complete ranking function expected decrease helpful step rather adequate user-provided input component ranking complete ranking function may automatically formed premise paper analogy method ranking abstraction predicate abstraction one ingredient refinement predicate abstraction fails one refine ranking abstraction fails one must determine whether predicate abstraction ranking abstraction need refined paper present strategy determining case hand method performing apporpriate refinement part analogy automatically deriving deductive proof construct predicate abstraction often used derive program invariant proving safety property boolean combination given predicate deductive proof progress property requires well-founded ranking function addition invariant show construct necessary deductive proof arbitrary ltl formula automatically extracted successful application ranking abstraction method
2007,synthesizing controller bounded-response property,paper propose complete chain synthesizing controller high-level specification real-time property expressed logic mtl generate bounded-variability assumption deterministic timed automaton apply safety synthesis algorithm derive controller satisfies property construction preliminary experimental  reported
2007,interactive presentation automatic hardware synthesis specification case study,propose use formal specification language high-level hardware description language formal language allow compact unambiguous representation yield design correct construction idea automatic synthesis specification old used completely impractical recently great stride towards efficient synthesis specification made paper extend recent method generate compact circuit show practicality synthesizing arbiter arm amba ahb bus generalized-buffer specification given psl first industrial example synthesized automatically specification
2007,verifying correctness transactional memory,show verify correctness transactional memory implementation model checker show specify transactional memory term admissible interchange transaction operation give proof rule showing implementation satisfies specification notion admissible interchange key ability use model checker let u capture various notion transaction conflict characterized scott demonstrate work using tlc model checker verify several well-known implementation described abstractly tla+ specification language
2007,synthesizing reactive system lsc requirement using play-engine,live sequence chart  scenario-based language modeling object-based reactive system liveness property tool called play-engine allows user create lsc requirement using point-and-click interface generate executable trace using feature called play-out smart play-out finite executable trace fragment called super-steps generated smart play-out response user input super-step guaranteed violate lsc requirement provided one exists however non-violation guaranteed beyond individual super-step work demonstrate powerful extension smart play-out produce trace guaranteed violate lsc requirement provided requirement realizable using method may synthesize correct executable program directly lsc requirement
2007,dont care modeling logical framework developing predictive system model,analysis biological data often requires understanding component pathway and/or network mutual dependency relationship system often analyzed understood datasets made state relevant component set discrete outcome  analysis system assisted model consistent available data maximally predictive untested condition present method construct model type system maximize predictive capability introduce set “don’t care”  boolean variable must assigned value order obtain concrete model dc variable set  indicates information corresponding component contribute observed result intuitively dc variable set  maximizes potential predictive capability well possibility obtaining inconsistent model thus formulate problem maximizing number dc variable set  retaining model solution consistent explain given known data amount solving quantified boolean formula  three level quantifier alternation maximization goal dc variable developed prototype implementation support new modeling approach applying method part classical system developmental biology describing fate specification vulval precursor cell c elegans nematode work indicates biological instance serve challenging complex benchmark formal-methods research community
2007,shape analysis single-parent heap,define class single-parent heap system rely singly-linked heap order model destructive update tree structure encoding advantage relying relatively simple theory linked list order support abstraction computation facilitate application encoding provide program transformation given program operating multi-linked heap without sharing transforms one single-parent heap possible apply shape analysis predicate ranking abstraction  technique successfully applied example tree fixed arity 
2006,reduced functional consistency uninterpreted function,reduction equality logic uninterpreted function  equality logic ackermanns method suffers quadratic growth number functional consistency constraint =f propose framework syntactic characteristic function instance  used guessing constraint possibly needed proof framework either combined abstraction-refinement loop case used without refinement iteration framework suitable equivalence verification problem one typical us uninterpreted function enabled u verify dozen verification condition resulting translation validation could prove otherwise
2006,monitoring interface fault,consider problem module interacting external interface  interaction expected satisfy system specification  full implementation detail module given partial external specification interface interface specification partial  mean interface display strict subset behavior allowed interface specificationbased assumption interface specification typically incomplete address question whether tighten interface specification strategy consistent given partial specification guarantee possible interaction resulting possible behavior module satisfy system specification  refer tighter specification -guaranteeing specification rather verifying whether interface often off-the-shelf component satisfies tighter specification paper proposes construction run-time monitor continuously check existence -guaranteeing interfacewe view module external interface player -player game interface winning strategy guarantee matter module overall specification  met problem incomplete specification resolved allowing interface follow strategy consistent interface specification approach essentially combine traditional run-time monitoring static analysis allows going beyond focus traditional run-time monitoring tool  error detection execution trace towards focus static analysis  bug detection program
2006,model checking strong fairness,paper present coherent framework symbolic model checking linear-time temporal logic  property finite state reactive system taking full fairness constraint consideration use computational model fair discrete system  take account justice  compassion  approach presented reduces model-checking problem question whether given fds feasible contribution paper twofold methodological level present direct self-contained exposition full ltl symbolic model checking without resorting reduction either -calculus ctl technical level extends previous method dealing compassion algorithmic level instead either adding specification transforming compassion justicefinally extend ctl past operator show basic symbolic feasibility algorithm presented used model check arbitrary ctl formula fds full fairness constraint
2006,liveness invisible ranking,method invisible invariant developed originally order verify safety property parameterized system fully automatic manner method based  project&generalize heuristic generate auxiliary construct parameterized system  small-model theorem implying sufficient check validity logical assertion certain syntactic form small instantiation parameterized system approach generalized deductive proof rule  requires auxiliary construct generated project&generalize  premise resulting using construct form covered small-model theoremthe method invisible ranking presented generalizes approach liveness property parameterized system starting proof rule case method applied almost paper progress develop deductive proof rule liveness extend small-model theorem cover many intricate family parameterized system
2006,psl model checking run-time verification via tester,paper introduces construct temporal tester compositional basis construction automaton corresponding temporal formula psl logic temporal tester viewed  transducer point output boolean value  iff corresponding temporal formula hold starting current positionthe main advantage tester compared acceptor  compositional namely tester compound formula constructed tester sub-formulas paper extend application tester method ltl logic pslbesides providing construction tester psl indicate symbolic representation tester directly utilized efficient model checking run-time monitoring
2006,mitl timed automaton,show transform formula written real-time temporal logic mitl timed automaton recognize satisfying model compositional construction much simpler previously known easily implemented
2006,liveness invisible invariant,method invisible invariant developed order verify safety property parametrized system fully automatic manner paper apply method invisible invariant “bounded response” property ie liveness property type p   q bounded – p-state reached take bounded number round  reach q-state – thus essentially safety propertieswith “liveness monitor” observes certain behavior system establishing “bounded response” property system reduced verification invariant propertiesit often case inductive invariant system “liveness monitors” contain assertion certain form original method invisible invariant able generate check inductiveness accommodate invariant form extend technique used invariant generation well small model theorem validity check
2006,invisible safety distributed protocol,method “invisible invariants” applied successfully protocol assume “symmetric” underlying topology clique star ring paper show method applied proving safety property distributed protocol running arbitrary topology many safety property protocol reachability predicate first glance beyond scope invisible invariant method overcome difficulty present technique called “coloring” allows many instance replace second order reachability predicate first order predicate resulting property amenable invisible invariantswe demonstrate technique several distributed protocol including variant luby’s maximal independent set protocol leader election protocol used ieee   distributed bus protocol various distributed spanning tree algorithm example tested using symbolic model checker tlv
2006,faster solution rabin streett game,paper improve complexity solving rabin streett game approximately square root previous bound introduce direct rabin streett ranking sound complete way characterize winning set respective game computing directly explicitly ranking solve game time space rabin streett n number state number transition k number pair winning condition order prove completeness ranking method give recursive fixpoint characterization winning region game show keeping intermediate value fixpoint evaluation solve game symbolically time space  improve current bound time case direct  solution k  case reduction parity game
