2019,broom open-source out-of-order processor resilient low-voltage operation 28-nm cmos,berkeley resilient out-of-order machine  resilient wide-voltage-range implementation open-source out-of-order  risc-v processor implemented asic flow -nm test-chip contains boom ooo core -mib level-  cache enhanced architectural error tolerance low-voltage operation implemented using agile design methodology initial ooo architecture transformed perform well high-performance low-leakage cmos process informed synthesis place route data using foundry-provided standard-cell library memory compiler two-person-team productivity improved part thanks number open-source artifact chisel hardware construction language risc-v instruction set architecture rocket-chip soc generator open-source boom core resulting chip taped using tsmcs -nm hpm process run  ghz  v able operate  v
2019,fpga accelerated indel realignment cloud,amount data generated genomics predicted   exabyte per year next decade making genomic analysis new frontier new challenge precision medicine paper explores targeted deployment hardware accelerator cloud improve runtime throughput immensescale genomic data analysis particular indel  realignment critical operation enables diagnostic testing cancer error correction prior variant calling slowest part somatic  genomic analysis pipeline alignment refinement pipeline represents roughly one-third execution time timesensitive diagnostics acute cancer patient accelerate genomic analysis paper describes hardware accelerator indel realignment  hardware-software framework leveraging fpgas-as-a-service cloud chose implement genomics analytics fpgas genomic algorithm still rapidly evolving  chose deploy genomics accelerator cloud reduce capital expenditure provide quantitative performance cost analysis built deployed sea ir accelerator using hardware-software accelerator development framework aws ec f instance show ir accelerator system performed × better multi-threaded genomic analysis software × cost efficient
2018,new golden age computer architecture empowering machine-learning revolution,end moore law dennard scaling led end rapid improvement general-purpose program performance machine learning  particular deep learning attractive alternative architect explore recently revolutionized vision speech language understanding many field promise help grand challenge facing society computation core low-precision linear algebra thus ml broad enough apply many domain narrow enough benefit domain-specific architecture google tensor processing unit  moreover growth demand ml computing exceeds moore law peak fading hence ml expert computer architect must work together design computing system required deliver potential ml article offer motivation suggestion warning computer architect best contribute ml revolution
2018,motivation evaluation first tensor processing unit,first-generation tensor processing unit  run deep neural network  inference - time faster - time better energy efficiency contemporary cpu gpus similar semiconductor technology domain-specific architecture  custom chip deployed google datacenters since  serf billion people
2018,50 year computer architecture mainframe cpu domain-specific tpu open risc-v instruction set,ibm four incompatible computer line unique instruction-set architecture  i/o system system software  market niche  ibm engineer bet could invent single isa would work customer four line moreover program would run correctly implementation isa though different speed cost vision required new way build computer would binary compatible cheapest -bit model fastest -bit version
2018,out-of-order risc-v processor resilient low-voltage operation 28nm cmos,open-source out-of-order superscalar processor implement -bit risc-v instruction set architecture  achieves  coremark/mhz  mm× mm chip includes one core operating  ghz nominal  v  mb level-  cache  nm hpm process line recycling  technique reuses faulty cache line fail low voltage correct error  l area overhead lr reduces minimum operating voltage  v improving energy efficiency  negligible impact cpi
2017,reduced instruction set computer,widely cited computer article published  described reduced instruction set computer  alternative general trend time toward increasingly complex instruction set risc executes instruction single short cycle
2017,reducing pagerank communication via propagation blocking,reducing communication important objective save energy improve performance communication-bound application graph algorithm pagerank computes importance vertex graph serf important benchmark graph algorithm performance input graph pagerank poor locality execution need read many cache line memory may fully utilized present propagation blocking optimization improve spatial locality demonstrate application pagerank contrast cache blocking partition graph partition data transfer vertex  input graph poor locality approach reduce communication approach reduces communication conventional cache blocking input graph sufficiently sparse number vertex sufficiently large relative cache size evaluate approach use simple analytic model gain insight precise hardware performance counter measurement compare implementation suite  real-world synthetic graph demonstrate parallel implementation substantially outperform prior work execution time communication volume although present  pagerank propagation blocking could generalized spmv  graph programming model
2017,in-datacenter performance analysis tensor processing unit,many architect believe major improvement cost-energy-performance must come domain-specific hardware paper evaluates custom asic-called tensor processing unit -deployed datacenters since  accelerates inference phase neural network  heart tpu  -bit mac matrix multiply unit offer peak throughput  teraops/second  large  software-managed on-chip memory tpus deterministic execution model better match th-percentile response-time requirement nn application time-varying optimization cpu gpus help average throughput guaranteed latency lack feature help explain despite myriad mac big memory tpu relatively small low power compare tpu server-class intel haswell cpu nvidia k gpu contemporary deployed datacenters workload written high-level tensorflow framework us production nn application  represent  datacenters nn inference demand despite low utilization application tpu average xx faster contemporary gpu cpu tops/watt xx higher moreover using gpus gddr memory tpu would triple achieved top raise tops/watt nearly x gpu x cpu
2016,genap distributed sql interface genomic data,impressively low cost improved quality genome sequencing provides researcher genetic disease cancer powerful tool better understand underlying genetic mechanism disease treat effective targeted therapy thus number project today sequence dna large patient population produce least hundred terra-bytes data challenge provide produced data demand interested partiesin paper show response challenge modified version spark sql distributed sql execution engine handle efficiently join use genomic interval key modification spark sql serf join  faster existing brute force approach  faster similar distributed implementation thus spark sql replace existing practice retrieve genomic data show allow user reduce number line software code need developed query data order magnitude
2016,agile approach building risc-v microprocessor,final phase cmos technology scaling provides continued increase already vast transistor count minimal improvement energy efficiency thus requiring innovation circuit architecture however even huge team struggling complete large complex design schedule using traditional rigid development flow article present agile hardware development methodology author adopted  risc-v microprocessor tape-outs modern -nm -nm cmos process past five year author discus approach enabled small team build energy-efficient cost-effective industry-competitive high-performance microprocessor matter month agile methodology relies rapid iterative improvement fabricatable prototype using hardware generator written chisel new hardware description language embedded modern programming language parameterized generator construct highly customized system based free open extensible risc-v platform author present case study one prototype featuring risc-v vector microprocessor integrated switched-capacitor dc-dc converter alongside adaptive clock generator -nm fully depleted silicon-on-insulator process
2016,proprietary versus open instruction set,article present position statement question-and-answer session panelist th workshop computer architecture research direction subject debate proprietary versus free open instruction set architecture
2015,do-it-yourself textbook publishing,comparing experience publishing textbook using traditional publisher do-it-yourself method
2015,nih bd2k center big data translational genomics,world genomics data never stored single repository  rather distributed among many site many country one site enough data explain genotype phenotype relationship rare disease therefore site must share data accomplish genetics community must forge common standard protocol make sharing computing data among many site seamless activity global alliance genomics health pioneering development shared application programming interface  connect world genome repository parallel developing open source software stack  us apis combination create cohesive genome informatics ecosystem using container facilitating deployment software diverse array environment benchmarking effort big data driver project ensuring adam performance utility
2015,diablo warehouse-scale computer network simulator using fpgas,motivated rapid software hardware innovation warehouse-scale computing  visit problem warehouse-scale network design evaluation wsc composed  array cluster contains  server leading total  server per wsc found many prior experiment conducted relatively small physical testbeds often assume workload static computation loosely coupled adaptive networking stack present novel cost-efficient fpgabased evaluation methodology called datacenter-in-a-box low cost  treat array whole computer tightly integrated hardware software built -node prototype running full wsc software stack using prototype successfully reproduced wsc phenomenon tcp incast memcached request latency long tail found  indeed change scale version full software stack
2015,scientific computing meet big data technology astronomy use case,scientific analysis commonly compose multiple single-process program dataflow end-to-end dataflow single-process program known many-task application typically tool hpc software stack used parallelize analysis work investigate alternate approach us apache spark - modern big data platform - parallelize many-task application present kira flexible distributed astronomy image processing toolkit using apache spark use kira toolkit implement source extractor application astronomy image called kira se kira se use case study programming flexibility dataflow richness scheduling capacity performance apache spark running ec cloud exploiting data locality kira se achieves  χ speedup equivalent c program analyzing tb dataset using  core amazon ec cloud furthermore show leveraging software originally designed big data infrastructure kira se achieves competitive performance c implementation running nersc edison supercomputer experience kira indicates emerging big data platform apache spark performant alternative many-task scientific application
2015,magic massive automated grading cloud,describe experience developing using specific category cloud-based autograder  software engineering establish position landscape autograder fully automatic rather assisting instructor performing manual grading test based exercise student code controlled condition rather relying static analysis comparing output student program reference output include brief description course autograders built engineering software service rationale building first place since surmount new obstacle related scale delivery mechanism course three year using autograders conjunction software engineering mooc residential course mooc based reliably graded hundred thousand student assignment currently refactored make code easily extensible maintainable found cloud-based autograding scalable sandboxable reliable student value near-instant feedback opportunity resubmit homework assignment autograder architecture implementation open source cloud-based lms-agnostic easily extensible new type grading engine goal make specific research claim behalf system extract experience engineering lesson others interested building adapting similar system
2015,locality exists graph processing workload characterization ivy bridge server,graph processing increasingly important application domain typically communication-bound work analyze performance characteristic three high-performance graph algorithm codebases using hardware performance counter conventional dual-socket server unlike many communication-bound workload graph algorithm struggle fully utilize platform memory bandwidth increasing memory bandwidth utilization could effective decreasing communication based observation simultaneous low compute bandwidth utilization find substantial room different processor architecture improve performance without requiring new memory system
2015,gail graph algorithm iron law,new application graph algorithm emerge great deal research interest improving graph processing however often difficult understand new contribution improve performance execution time commonly reported metric distinguishes alternative fastest give insight new contribution may algorithmic innovation allows examine fewer graph edge could also implementation optimization reduces communication could even optimization allow increase memory bandwidth utilization interestingly new innovation may simultaneously affect three factor  present graph algorithm iron law  quantify tradeoff help understand graph algorithm performance
2015,rethinking data-intensive science using scalable analytics system,next generation data acquisition technology allowing scientist collect exponentially data lower cost trend broadly impacting many scientific field including genomics astronomy neuroscience attack problem caused exponential data growth applying horizontally scalable technique current analytics system accelerate scientific processing pipelinesin paper describe adam example genomics pipeline leverage open-source apache spark parquet system achieve x speedup current genomics pipeline reducing cost  building system able distill set technique implementing scientific analysis efficiently using commodity big data system demonstrate generality architecture implement scalable astronomy image processing system achieves --x improvement state-of-the-art mpi-based system
2015,past future hardware architecture,start looking back  year computer architecture philosophical debate instruction set  parallel architecture  settled billion dollar investment side second half look forward first moore law ending free ride software-oblivious increasing performance since weve already played multicore card most-likely/only path left domain-specific processor memory system radically changing first jim gray decade-old prediction finally true tape dead flash disk disk tape new way connect dram new non-volatile memory technology promise make memory hierarchy even deeper finally surprisingly widespread agreement instruction set architecture namely reduced instruction set computer however unlike field despite harmony open alternative proprietary offering arm intel risc-v  proposed free open champion small base classic risc instruction run full open-source software stack opcodes reserved tailoring system-on-a-chip  application standard instruction extension optionally included soc unrestricted cost paperwork anyone use ability prototype using ever-more-powerful fpgas astonishingly inexpensive custom chip combined collaboration open-source software hardware offer hope new golden era hardware/software system
2014,smash benchmarking toolkit human genome variant calling,motivationcomputational method essential extract actionable information raw sequencing data thus fulfill promise next-generation sequencing technology unfortunately computational tool developed call variant human sequencing data disagree many prediction current method evaluate accuracy computational performance ad hoc incomplete agreement benchmarking variant calling method would stimulate development genomic processing tool facilitate communication among researcherswe propose smash benchmarking methodology evaluating germline variant calling algorithm generate synthetic datasets organize interpret wide range existing benchmarking data real genome propose set accuracy computational performance metric evaluating variant calling method benchmarking data moreover illustrate utility smash evaluate performance leading single-nucleotide polymorphism indel structural variant calling algorithm
2014,build bad research center,sharing lesson learned experience creating successful multidisciplinary research center
2014,changepoint analysis efficient variant calling,present cage statistical algorithm exploit high sequence identity sampled genome reference assembly streamline variant calling process using combination changepoint detection classification online variant detection cage able call simple variant quickly accurately - sampled genome differs little reference correctly learning remaining - must processed using computationally expensive method cage run deeply sequenced human whole genome sample approximately  minute potentially reducing burden variant calling order magnitude one memory-efficient pas data
