2017,non-preemptive preemptive scheduling using synchronization synthesis,present computer-aided programming approach concurrency approach allows programmer program assuming friendly non-preemptive scheduler synthesis procedure insert synchronization ensure final program work even preemptive scheduler correctness specification implicit inferred non-preemptive behavior let u consider sequence call program make external interface specification requires sequence produced preemptive scheduler included set sequence produced non-preemptive scheduler guarantee synthesis introduce deadlock synchronization inserted optimal wrt given objective function solution based finitary abstraction algorithm bounded language inclusion modulo independence relation generation set global constraint synchronization placement model global constraint set corresponds correctness-ensuring synchronization placement placement optimal wrt given objective function chosen synchronization solution apply approach device-driver programming driver thread call software interface device api provided operating system experiment demonstrate synthesis method precise efficient implicit specification helped u find one concurrency bug previously missed model-checking using explicit user-provided specification implemented objective function coarse-grained fine-grained locking observed different synchronization placement produced experiment favoring minimal number synchronization operation maximum concurrency respectively
2016,solving qbf counterexample guided refinement,article put forward application counterexample guided abstraction refinement  solving well-known pspace-complete problem quantified boolean formula  article study application cegar two scenario first scenario cegar used expand quantifier formula subsequently satisfiability  solver applied first shown two level quantification generalized arbitrary number level recursion also shown idea generalized non-prenex non-cnf qbf solver second scenario cegar employed additional learning technique existing dpll-based qbf solver experimental evaluation implemented prototype show cegar-driven solver outperforms existing solver number benchmark family dpll solver benefit additional type learning
2016,cybercardia project modeling verification validation implantable cardiac device,paper survey recent progress cybercardia project cps frontier project funded national science foundation cybercardia project lead significant advance state art system verification cardiac therapy based use formal method closed-loop control verification animating vision work enable development true silico design methodology medical device used speed development new device provide greater assurance behavior match designer intention pas regulatory muster quickly used patient needing care acceleration medical-device innovation achievable result cybercardia research also long-term sustained societal benefit better diagnostic therapeutic technology enter practice medicine quickly
2016,bifurcation analysis cardiac alternans using \delta -decidability,present bifurcation analysis electrical alternans two-current mitchell-schaeffer  cardiac-cell model using theory ofδδ-decidability real electrical alternans phenomenon characterized variation successive action potential duration  generated single cardiac cell tissue alternans known initiate re-entrant wave important physiological indicator impending life-threatening arrhythmia ventricular fibrillation bifurcation analysis perform determines control parameterττof m model bifurcation point range ofττsuch small perturbation value  transition alternans non-alternans behavior best knowledge analysis represents first formal verification non-trivial dynamic numerical cardiac-cell modelour approach problem rest encoding alternans-like behavior m model -mode multinomial hybrid automaton  model parameter apply sophisticated guided-search-based reachability analysis ha estimate parameter range alternans non-alternans behavior bifurcation point separate two range uncertainty region due underlyingδδ-decision procedure uncertainty region however reduced decreasingδδat expense increasing model exploration time experimental  provided highlight effectiveness method
2016,formal modeling analysis pancreatic cancer microenvironment,focus pancreatic cancer research shifted pancreatic cancer cell towards microenvironment involving pancreatic stellate cell interact cancer cell influence tumor progression quantitatively understand pancreatic cancer microenvironment construct computational model intracellular signaling network cancer cell stellate cell well intercellular communication extend rule-based bionetgen language depict intra- inter-cellular dynamic using discrete continuous variable respectively framework also enables statistical model checking procedure analyzing system behavior response various perturbation  demonstrate predictive power model identifying important system property consistent existing experimental observation also obtain interesting insight development novel therapeutic strategy pancreatic cancer
2016,high-level modeling verification cellular signaling,use computational modeling formal analysis technique study temporal behavior discrete logical model naïve cell differentiation model analyzed formally automatically performing temporal logic query via statistical model checking model verified explored using monte carlo simulation model checking allows much efficient analysis testing large set system property much smaller runtime one required simulation  obtained using model checking provide detail relative timing event system would otherwise cumbersome time consuming obtain simulation efficiently test large number property confirm reject hypothesis drawn previous analysis experimental simulation data
2016,probabilistic reachability analysis tap withdrawal circuit caenorhabditis elegans,present probabilistic reachability analysis  model neural circuit caeorhabditis elegans  common roundworm particular consider tap withdrawal  reflexive behavior exhibited c elegans worm response vibrating surface moving neural circuit underlying response subject investigation specially perform bounded-time reachability analysis tw circuit model wick et al  estimate probability various tw response wick et al model number parameter demonstrate various tw response probability occurrence population worm viewed problem parameter uncertainty approach problem rest encoding tw response hybrid automaton parametric uncertainty perform probabilistic reachability analysis automaton using technique combine δ-decision procedure statistical test  obtain significant extension wick et al  equip model fixed parameter value reproduce single tw response contrast technique allow u thoroughly explore model parameter space using statistical sampling theory identifying process distribution tw response wick et al conducted number ablation experiment population worm one neuron tw circuit surgically ablated  show technique used correctly estimate tw response-probabilities four ablation group also use technique predict tw response behavior two ablation group previously considered wick et al
2016,formal modeling biological system,biomedical research advance complicated system increasing need model analyze system better understand decade biologist using diagrammatic model describe understand mechanism dynamic behind experimental observation although model simple built understood offer rather static picture corresponding biological system scalability limited thus increasing need develop formalism dynamic form capture time-dependent process together increase model scale complexity invited review paper argue formal modeling formalism applied fruitfully biological system complementary traditional mathematical descriptive modeling approach used system biology also discus one example stochastic hybrid model effect estrogen different level specie population freshwater ecosystem
2016,smt-based analysis virtually synchronous distributed hybrid system,paper present general technique verifying virtually synchronous distributed control system interconnected physical environment cyber-physical system  notoriously hard verify due combination nontrivial continuous dynamic network delay imprecise local clock asynchronous communication etc simplify analysis first extend pal methodology---that allows abstract timing event asynchronous communication network delay imprecise clock long infrastructure guarantee bound network delay clock skews---from real-time hybrid system prove bisimulation equivalence hybrid pal synchronous asynchronous model show various verification problem synchronous hybrid pal model reduced smt solving nonlinear theory real number illustrate hybrid pal modeling verification methodology number cps including control system turning airplane
2015,sreach probabilistic bounded delta-reachability analyzer stochastic hybrid system,paper present new tool sreach solves probabilistic bounded reachability problem two class model stochastic hybrid system first one  hybrid automaton parametric uncertainty second one probabilistic hybrid automaton additional randomness transition probability variable reset standard approach reachability problem linear hybrid system require numerical solution large optimization problem become infeasible system involving nonlinear dynamic real stochasticity sreach encodes stochastic information using set introduced random variable combinesδδ-complete decision procedure statistical test solveδδ-reachability problem sound manner compared standard simulation-based method support non-deterministic branching increase coverage simulation avoids zero-crossing problem demonstrate sreach’s applicability discussing three representative biological model additional benchmark nonlinear hybrid system multiple probabilistic system parameter
2015,formal analysis provides parameter guiding hyperoxidation bacteria using phototoxic protein,work developed methodology analyze bacteria model mimic stage bacteria change phage therapy applied due widespread misuse overuse antibiotic drug resistant bacteria pose significant risk health agriculture environment therefore interested alternative conventional antibiotic phage therapy model designed according experimental procedure engineer temperate phage lambda  kill bacteria via light-activated production superoxide applied formal analysis model  show approach speed evaluation system would impractical possibly even feasible study wet lab
2015,towards personalized prostate cancer therapy using delta-reachability analysis,recent clinical study suggest efficacy hormone therapy prostate cancer depends characteristic individual patient paper develop computational framework identifying patient-specific androgen ablation therapy schedule postponing potential cancer relapse model population dynamic heterogeneous prostate cancer cell response androgen suppression nonlinear hybrid automaton estimate personalized kinetic parameter characterize patient employ δ-reachability analysis predict patient-specific therapeutic strategy  show method promising may lead prognostic tool prostate cancer therapy
2015,dreach δ-reachability analysis hybrid system,dreach bounded reachability analysis tool nonlinear hybrid system encodes reachability problem hybrid system first-order formula real number solved delta-decision procedure smt solver dreach way dreach able handle wide range highly nonlinear hybrid system scaled well various realistic model biomedical robotics application
2014,pathway-gene identification pancreatic cancer survival via doubly regularized cox regression,recent global genomic analysis identified  gene set  core signaling pathway genetically altered pancreatic cancer highly malignant disease comprehensive understanding genetic signature signaling pathway directly correlated pancreatic cancer survival help cancer researcher develop effective multi-gene targeted personalized therapy pancreatic cancer patient different stage previous work applied lasso penalized regression method considered individual genetic effect identified  gene associated pancreatic cancer survivalin work integrate pathway information pancreatic cancer survival analysis introduce apply doubly regularized cox regression model identify gene signaling pathway related pancreatic cancer survivalsfour signaling pathway including ion transport immune phagocytosis tgf  regulation dna-dependent transcription pathway  gene within four pathway identified verified directly correlated pancreatic cancer survival finding help cancer researcher design new strategy early detection diagnosis pancreatic cancer
2014,parameter synthesis cardiac cell hybrid model using δ-decisions,central problem system biology identify parameter value biological model satisfies behavioral constraint  paper focus parameter synthesis hybrid  model many biological system posse multiple operational mode specific continuous dynamic mode biological system naturally modeled hybrid automaton often nonlinear continuous dynamic however hybrid automaton notoriously hard analyze — even simple reachability hybrid system linear differential dynamic undecidable problem paper present parameter synthesis framework based δ-complete decision procedure sidestep undecidability demonstrate method two highly nonlinear hybrid model cardiac cell action potential  show parameter synthesis framework convenient efficient enabled u select suitable model study identify crucial parameter range related cardiac disorder
2014,25 year model checking,model checking automatic verification technique large state transition system originally developed reasoning finite-state concurrent system technique used successfully debug complex computer hardware communication protocol software beginning used analyzing cyber-physical biological financial system well major challenge technique phenomenon called state explosion problem issue impossible avoid worst case using sophisticated data structure clever search algorithm possible verify state transition system astronomical number state paper briefly review development model checking past  year emphasis model checking stochastic hybrid system
2014,compositional approximate quantitative reasoning medical cyber-physical system application patient-specific cardiac dynamic device,design bug-free safe medical device software challenging especially complex implantable device control actuate organ who’s response fully understood safety recall pacemaker implantable cardioverter defibrillator   affected  device   due firmware issue continue increase frequency according fda software failure resulted  medical device recall  currently formal methodology open experimental platform test verify correct operation medical-device software within closed-loop context patientthe goal effort develop foundation modeling synthesis development verified medical device software system verified closed-loop model device organ research span implantable medical device cardiac pacemaker physiological control system drug infusion pump multiple networked medical system device physically connected body exert direct control physiology safety patient focus effort  extending current binary safety property quantitative verification  development patient-specific model therapy  multi-scale modeling complex physiological phenomenon compositional reasoning across range model abstraction refinement  bridging formal reasoning automated generation safe effective software future medical device
2014,model checking hybrid system - invited talk,present framework delta-complete analysis bounded reachability problem hybrid system perform bounded reachability checking solving delta-decision problem real technique take account robustness property system numerical perturbation implementation technique scale well several highly nonlinear hybrid system model arise biomedical application
2014,proof generation delta-decisions,show generate validate logical proof unsatisfiability delta-complete decision procedure rely error-prone numerical algorithm solving problem important ensuring correctness decision procedure time new approach automated theorem proving real number design first-order calculus transform computational step constraint solving logic proof validated using proof-checking algorithm application demonstrate proof generated solver establish many nonlinear lemma theormal proof kepler conjecture
2013,bayesian statistical model checking application stateflow/simulink verification,address problem model checking stochastic system ie checking whether stochastic system satisfies certain temporal property probability greater  fixed threshold particular present statistical model checking  approach based bayesian statistic show approach feasible certain class hybrid system stochastic transition generalization simulink/stateflow model standard approach stochastic discrete system require numerical solution large optimization problem quickly become infeasible larger state space generalization technique hybrid system stochastic effect even challenging smc approach pioneered younes simmons discrete non-bayesian case solves verification problem combining randomized sampling system trace  hypothesis testing  estimation  believe smc essential scaling large stateflow/simulink model answer verification problem guaranteed correct prove bayesian smc make probability giving wrong answer arbitrarily small advantage answer usually obtained much faster standard exhaustive model checking technique apply bayesian smc approach representative example stochastic discrete-time hybrid system model stateflow/simulink fuel control system featuring hybrid behavior fault tolerance show technique enables faster verification state-of-the-art statistical technique emphasize bayesian smc mean restricted stateflow/simulink model principle applicable variety stochastic model domain eg system biology
2013,study biological network statistical model checking application immune system cell,use computational modeling formal analysis technique study temporal behavior discrete logical model naïve cell differentiation model analyzed formally automatically performing temporal logic query via statistical model checking  obtained using model checking provide detail relative timing event system would otherwise cumbersome time consuming obtain simulation
2013,dreal smt solver nonlinear theory real,describe open-source tool dreal smt solver nonlinear formula real tool handle various nonlinear real function polynomial trigonometric function exponential function etc dreal implement framework δ-complete decision procedure return either unsat δ -sat input formula δ numerical error bound specified user dreal also produce certificate correctness δ -sat  unsat answer 
2013,automatic abstraction smt-based unbounded software model checking,software model checker based under-approximations smt solver successful verifying safety  property combine two key idea –  concreteness counterexample under-approximation counterexample original program well  generalization proof safety under-approximation produced smt solver generalizable proof safety original program paper present combination automatic abstraction under-approximation-driven framework explore two iterative approach obtaining refining abstraction – proof based counterexample based – show combined unified algorithm best knowledge first application proof-based abstraction primarily used verify hardware software verification implemented prototype framework using z evaluate many benchmark software verification competition show experimentally combination quite effective hard instance
2013,solving qbf free variable,open quantified boolean formula  qbf contains free  variable solution qbf quantifier-free formula logically equivalent given qbf although recent qbf research focused closed qbf number interesting application require one consider formula free variable article show clause/cube learning dpll-based closed-qbf solver extended solve qbfs free variable introducing sequents generalize clause cube allow learning fact form “under certain class assignment input formula logically equivalent certain quantifier-free formula”
2013,satisfiability modulo ode,study smt problem real containing ordinary differential equation important formal verification realistic hybrid system embedded software develop δ-complete algorithm smt formula purely existentially quantified well ∃∀-formulas whose universal quantification restricted time variable demonstrate scalability algorithm implemented open-source solver dreal smt benchmark several hundred nonlinear ode variable
2013,finding error python program using dynamic symbolic execution,statically typed language dynamic symbolic execution  mature approach automated test generation however extending dynamic language present several challenge complex semantics fragmented incomplete type information call foreign function lacking precise model make symbolic execution difficult propose symbolic execution approach mix concrete symbolic value incrementally solves path constraint search alternate execution lazily instantiating axiomatizations called function needed present symbolic execution model underlying approach illustrate working prototype concolic testing tool actual python software package
2013,turing computable real number still important today,although every undergraduate computer science learns turing machine well known originally proposed mean characterizing computable real number long time formal verification paid little attention computational application involve manipulation continuous quantity even though application ubiquitous recent year however great interest safety-critical hybrid system involving discrete continuous behavior including autonomous automotive aerospace application medical device various sort control program electric power plant result formal analysis numerical computation longer ignored talk focus one successful verification technique temporal logic model checking current industrial model checker scale handle realistic hybrid system believe key handling complex system make better use theory computable real computable analysis generally argue new formal method hybrid system combine existing discrete method model checking new algorithm based computable analysis particular discus model checker currently developing along line
2012,computable real number still important today,although every undergraduate computer science learns turing machine well known originally proposed mean characterizing computable real number long time formal verifi cation paid little attention computational application involve manipulation continuous quantity even though application ubiquitous recent year however great interest safety-critical hybrid system involving discrete continuous behavior including autonomous automotive aerospace application medical device various sort control program electric power plant result formal analysis numerical computation longer ignoredthis talk focus one successful verifi cation technique temporal logic model checking current industrial model checker scale handle realistic hybrid system key handling complex system make better use theory computable real computable analysis generally new formal method hybrid system combine existing discrete method model checking new algorithm based computable analysis particular talk discus model checker currently developed along line
2012,δ-complete decision procedure satisfiability real,introduce notion “δ-complete decision procedures” solving smt problem real number aim handling wide range nonlinear function including transcendental function solution lipschitz-continuous ode given smt problem ϕ positive rational number δ δ-complete decision procedure determines either ϕ unsatisfiable “δ-weakening” ϕ satisfiable δ-weakening ϕ variant ϕ allows δ-bounded numerical perturbation ϕ establish existence complexity δ-complete decision procedure bounded smt real function mentioned propose use δ-completeness ideal requirement numerically-driven decision procedure concrete example formally analyze dpll〈icp〉 framework integrates interval constraint propagation dpll establish necessary sufficient condition δ-completeness discus practical application δ-complete decision procedure correctness-critical application including formal verification theorem proving
2012,assume-guarantee abstraction refinement probabilistic system,describe automated technique assume-guarantee style checking strong simulation system specification expressed non-deterministic labeled probabilistic transition system  first characterize counterexample strong simulation stochastic tree show simpler structure insufficient use tree abstraction refinement algorithm computes assumption assume-guarantee reasoning conservative lpts abstraction system component abstraction automatically refined based tree counterexample obtained failed simulation check remaining component implemented algorithm counterexample generation assume-guarantee abstraction refinement report encouraging 
2012,assumption generation asynchronous system abstraction refinement,compositional verification provides way deducing property complete program property constituent particular assume-guarantee style reasoning split specification assumption guarantee according given inference rule generation assumption machine learning make automatic reasoning possible however existing work purely focused synchronous parallel composition labeled transition system  kripke structure natural model real software program asynchronous framework paper shared variable structure used system model asynchronous parallel composition shared variable structure defined based new simulation relation introduced paper prove inference rule widely used literature hold asynchronous system long components’ alphabet satisfy certain condition automating assumption generation approach proposed based counterexample-guided abstraction refinement rather using learning algorithm experimental  provided demonstrate effectiveness proposed approach
2012,rare-event verification stochastic hybrid system,paper address problem verifying stochastic hybrid system temporal logic property whose probability true small --- rare event well known sampling-based  technique statistical model checking perform well estimating rare-event probability problem sample size required good accuracy grows large event probability tends zero however several technique developed address problem focus importance sampling technique bias original system compute highly accurate efficient estimate main difficulty importance sampling devise good biasing density density yielding low-variance estimator paper show use cross-entropy method generating approximately optimal biasing density statistical model checking apply method importance sampling statistical model checking estimating rare-event probability stochastic hybrid system coded stateflow/simulink diagram
2012,delta-decidability real,given collection f computable function real show exists algorithm given sentence containing bounded quantifier function f positive rational number delta decides either “a true” “a delta-strengthening false” moreover f computed complexity class c mild assumption “delta-decision problem” bounded sigma k-sentences resides sigma k  stand sharp contrast well-known undecidability general first-order theory function serve theoretical basis use numerical method decision procedure formula real
2012,learning probabilistic system tree sample,consider problem learning non-deterministic probabilistic system consistent given finite set positive negative tree sample consistency defined respect strong simulation conformance propose learning algorithm use traditional new stochastic state-space partitioning latter resulting minimum number state use solve problem active learning us knowledgeable teacher generate sample counterexample simulation equivalence query show problem undecidable general becomes decidable suitable condition teacher come naturally way sample generated failed simulation check latter problem shown undecidable impose additional condition learner always conjecture minimum state hypothesis therefore propose semi-algorithm using stochastic partition finally apply proposed  algorithm infer intermediate assumption automated assume-guarantee verification framework probabilistic system
2012,statistical model checking markov decision process,statistical model checking  computationally efficient verification technique based selective system sampling one well identified shortcoming smc unlike probabilistic model checking cannot applied system featuring nondeterminism markov decision process  address limitation developing algorithm resolve nondeterminism probabilistically us multiple round sampling reinforcement learning provably improve resolution nondeterminism respect satisfying bounded linear temporal logic  property algorithm thus reduces mdp fully probabilistic markov chain smc may applied give approximate solution problem checking probabilistic bltl property integrate algorithm parallelised modification prism simulation framework extensive validation new prism benchmark demonstrates approach scale well scenario symbolic algorithm fail
2011,analog circuit verification statistical model checking,show statistical model checking used verifying property analog circuit integrated circuit technology scale manufacturing variation device make analog design behave like stochastic system problem verifying stochastic system often difficult large state space statistical model checking efficient verification technique stochastic system paper use sequential statistical technique model checking verify property analog circuit temporal frequency domain particular randomly sampled system trace sequentially generated spice passed trace checker determine whether satisfy given specification desired statistical strength achieved
2011,statistical model checking cyber-physical system,statistical model checking useful situation either inconvenient impossible build concise representation global transition relation happens frequently cyber-physical system two example verifying stateflow-simulink model reasoning biochemical reaction system biology main problem statistical model checking caused rare event describe statistical model checking work demonstrate problem rare event describe importance sampling cross-entropy technique used address problem
2011,quantifier elimination finite field using gröbner base,give algebraic quantifier elimination algorithm first-order theory given finite field using gröbner basis method algorithm relies strong nullstellensatz property elimination ideal finite field analyze theoretical complexity algorithm show application formal analysis biological controller model
2011,formal analysis logical model pancreatic cancer,apply formal verification technique studying behavior signaling pathway important cancer particular use model checking verifying behavioral property single-cell silico model pancreatic cancer interested property associated apoptosis  cell cycle arrest proliferation property specified temporal logic include example whether checkpoint cancer cell go reach given state model includes several major signaling pathway including hedgehog wnt kras rb-ef nfkb p tgfβ apoptosis pathway recently found mutated frequently pancreatic cancer model formally analyzed via symbolic model checking shown agree well qualitatively experiment conclude model checking offer powerful approach studying logical model relevant biological process
