2005,recollection operating system design,n/a
2002,ewd1300 notational convention adopted,given moment concept polite mathematics emerged underlying idea even  reader pay spend hour save average reader minute inventing idealized average reader could translate lofty human goal politeness le formal criterion could apply text note devoted resulting notational stylistic convention adopted year went dont want baffle puzzle reader particular clear done check argument possible without pencil paper dictate small explicit step hand well known brevity leading characteristic mathematical elegance fear ideal excludes small explicit step one joy professional life discovery fear unfounded brevity achieved without committing sin omission point ideal crisp clarity universally shared consider puzzle created omission spicy challenge without text would boring others shun clarity lest work considered trivial
2001,end computing science,would therefore like posit computing central challenge make mess met contrary system much complicated considered healthy messy chaotic used comfort confidence average customer computing industry served poorly expects system crash time witness massive worldwide distribution bug-ridden software deeply ashamed u scientist tempting blame lack education average engineer shortsightedness manager malice entrepreneur sorry state affair wont see know unmastered complexity root misery know degree simplicity obtained extent intrinsic complexity whole design show interface simply know yet limit disentanglement know yet whether intrinsic intricacy distinguished accidental intricacy know yet whether trade-off possible know yet whether invent meaningful concept intracacy prove theorem help put bluntly simply know yet talking worry u illustrates meant intangible goal uncertain reward example moral whether computing science finished primarily depend courage imagination
2001,spell leibniz dream,n/a
2001,designing calculational proof cantor theorem,n/a
2000,transitive closure wellfounded relation,n/a
1996,fibonacci greatest common divisor,n/a
1996,balance coin,n/a
1996,bultermans theorem shortest tree,n/a
1996,prime 1 way sum 2 square,n/a
1996,bagatelle euclid algorithm,n/a
1996,two equation extreme solution,n/a
1996,alternative etac ewd1163,n/a
1996,argument arithmetic mean geometric mean heuristic included,n/a
1995,heuristic calculational proof,using small yet sufficiently sophisticated example show heuristic lead compact clear solution implicit message calculational style advantage formalism used provides major heuristic guidance design proof
1992,economy mathematics,n/a
1992,unification three calculus,purpose note show much predicate calculus relational calculus regularity calculus common precisely much commonality design predicate calculus emerge subcalculus two calculus discus predicate calculus first
1990,making fair roulette possibly biased coin,given biased coin showswhen flipped head tail probability p q respectivelywith p+q= necessarily p=qthe value p q unknownwe know coin remains sameiethat p q constant timethe problem design experiment  different outcome equal probability 
1989,linear search revisited,n/a
1988,binary operator derived relation,n/a
1987,heuristic explanation batchers baffler,batchers baffler - named david gries - sorting algorithm interested many comparison swap executed concurrently also interest used hard explain note explains batchers baffler designing besides including heuristic two distinguishing feature contributing clarity brevity   theory algorithm relies upon dealt isolation  suitable abstraction case analysis removed argument
1986,simple fixpoint argument without restriction continuity,summaryin programming language semantics introduction unbounded nondeterminacy amount introduction noncontinuous predicate transformer needed dealing concept fair interleaving semantics repetition given strongest solution fixpoint equation weakest precondition expressed closed form would require transfinite ordinal however shown even case unbounded nondeterminacy fundamental theorem repetition proved simple quite elementary argument
1986,belated proof self-stabilization,n/a
1983,solution problem concurrent programming control reprint,number mainly independent sequential-cyclic process restricted mean communication made way moment one one engaged “critical section” cycle
