2019,new golden age computer architecture,n/a
2019,spectre meltdown processor security vulnerability,paper first review spectre meltdown processor security vulnerability revealed january-october  allow extraction protected information billion processor large small system discus short-term mitigation action speculates longer term implication computer software hardware paper expands keynote/panel author ieee hot chip 
2016,common bond mips hp two-level branch prediction compressed code risc processor,column feature retrospective author six micro test time award-winning paper mips microprocessor architecture norman jouppi colleague hp new microarchitecture rationale introduction yale patt wen-mei hwu mike shebanow critical issue regarding hp high performance microarchitecture yale patt colleague hardware support large atomic unit dynamically scheduled machine steve melvin mike shebanow yale patt two-level adaptive training branch prediction tse-yu yeh yale patt executing compressed program embedded risc architecture andy wolfe alex chanin
2003,latency occupancy bandwidth dsm multiprocessor performance evaluation,desire use commodity part communication architecture dsm multiprocessor offer advantage cost design time impact application performance unclear study performance impact detailed simulation analytical modeling experiment flexible dsm prototype using range parallel application adapt logp model characterize communication architecture dsm machine l   parameter key performance machine g  parameter becoming important fastest controller show logp parameter controller occupancy greatest impact application performance two contribution occupancy performance degradation-the latency add contention induces-it contention component governs performance regardless network latency showing quadratic dependence expected technique reduce impact latency make controller occupancy greater bottleneck surprisingly performance impact occupancy substantial even highly-tuned application even absence latency hiding technique scaling problem size often used technique overcome limitation communication latency bandwidth experiment dsm prototype show important class application performance lost using higher occupancy controller cannot regained easily scaling problem size
2000,efficient performance prediction modern microprocessor,generating accurate estimate performance program given system important large number people computer architect compiler writer developer need insight machine performance number performance estimation technique use profile-based approach full machine simulation paper discus profile-based performance estimation technique us lightweight instrumentation phase run order number dynamic instruction followed analysis phase run roughly order number static instruction technique accurately predicts performance core pipeline detailed out-of-order issue processor model scheduling far fewer instruction full simulation difference predicted execution time time obtained full simulation percent
1999,future system research, year academia silicon valley new provost stanford university call shift focus system research performance-long centerpiece-needs share spotlight availability maintainability quality although performance increase past  year truly amazing hard continue trend sticking basically evolutionary path research community currently author advocate evolutionary approach system problem think approach need integrated researcher need think hardware software continuum separate part see society threshold post pc era computing ubiquitous everyone use information service everyday utility everyone start using system guess expect work easy use era drive system design toward greater availability maintainability scalability require real refocusing current research direction
1999,quantitative analysis performance scalability distributed shared memory,scalable cache coherence protocol become key technology creating moderate large-scale shared-memory multiprocessor although performance multiprocessor depends critically performance cache coherence protocol little comparative performance data available existing commercial implementation use variety different protocol including bit-vector/coarse-vector protocol sci-based protocol coma protocol using programmable protocol processor stanford flash multiprocessor provide detailed implementation-oriented evaluation four popular cache coherence protocol addition measurement characteristic protocol execution  overall performance examine effect scaling processor count   processor surprisingly optimal protocol change different application change processor count even within application  help identify strength specific protocol illustrate benefit providing flexibility choice cache coherence protocol
1998,retrospective evaluation directory dchemes cache coherence,paper born work done  aimed exploring way build scalable shared-memory multiprocessor research began special graduate seminar class spring  initiated brainstorm architecture sharedmemory multiprocessor prior beginning work paper considered variety scheme avoiding cache coherence particular initially explored softwarebased cache coherence scheme concluded scheme might work well highly structured loop-intensive scientific application software-based cache coherence tiefficient le structured scientific application well operating system software software environment concluded either many cache invalidation would needed much data would need kept uncached concluding software-based coherence would sufficient broad range application still felt coherence scheme fully general might expensive hard scale began exploring variety scheme significantly limited sharing one first thought consider scheme allowed single reader shared writable data item scheme generated part basis paper well broader exploration directory approach
1998,flexible use memory replication/migration cache-coherent dsm multiprocessor,given limitation bus-based multiprocessor cc-numa scalable architecture choice shared-memory machine important characteristic cc-numa architecture latency access data remote node considerably larger latency access local memory machine good data locality reduce memory stall time therefore critical factor application performance paper study various option available system designer transparently decrease fraction data miss serviced remotely work done context stanford flash multiprocessor flash unique node single pool dram used variety way programmable memory controller use programmability flash explore different option cache-coherence data-locality compute-server workload first consider two protocol providing base cache-coherence one centralized directory information  another distributed directory information  several commercial system based sci find centralized scheme superior performance next consider different hardware software technique use local memory node improve data locality finally propose hybrid scheme combine hardware software technique scheme work base platform user kernel reference workload paper thus offer realistic fair comparison replication/migration technique previously feasible
1998,evaluation directory scheme cache coherence,problem cache coherence shared-memory multiprocessor addressed using two basic approach directory scheme snoopy cache system directory scheme cache coherence potentially attractive large multiprocessor system beyond scaling limit snoopy cache scheme slight modification directory scheme make competitive performance snoopy cache scheme small multiprocessor trace-driven simulation using data collected several real multiprocessor application used compare performance standard directory scheme modification scheme snoopy cache protocol addition simulation show block written present small number cache make broadcast invalidates inefficient result suggests directory structure store block small number pointer cache containing block sufficient
1998,memory consistency event ordering scalable shared-memory multiprocessor,new model memory consistency called release consistency allows buffering pipelining previously proposed model introduced framework classifying shared access reasoning event ordering developed release consistency model shown equivalent sequential consistency model parallel program sufficient synchronization possible performance gain le strict constraint release consistency model explored finally practical implementation issue discussed discussion concentrating issue relevant scalable architecture
1998,dash prototype implementation performance,fundamental premise behind dash project feasible build large-scale shared-memory multiprocessor hardware cache coherence paper study software simulator useful understanding many high-level design tradeoff prototype essential ensure critical detail overlooked prototype provides convincing evidence feasibility design allows one accurately estimate hardware complexity cost various feature provides platform studying real workload -processor prototype dash multiprocessor operational last six month paper hardware overhead directory-based cache coherence prototype examined also discus performance system speedup obtained parallel application running prototype using sophisticated hardware performance monitor characterize effectiveness coherent cache relationship application reference behavior speedup
1998,stanford flash multiprocessor,flash multiprocessor efficiently integrates support cache-coherent shared memory high-performance message passing minimizing hardware software overhead node flash contains microprocessor portion machine global memory port interconnection network magic chip handle communication within node among node using hardwired data path efficient data movement programmable processor optimized executing protocol operation use protocol processor make flash flexible/spl minus/it support variety different communication mechanisms/spl minus/and simplifies design implementation paper present architecture flash magic discus base cache-coherence message-passing protocol latency occupancy number derived system-level simulator verilog code given several common protocol operation paper also describes software strategy flash current status
1997,nationwide parallel computing environment,national computational science alliance  hope accelerate creation nationwide parallel computing environment u developing hardware software ease desktop access national technology grid ncsas plan focus experimental computer architecture high performance user program machine independent analyzer parallel computer advanced application support leverage parallel adaptive method numerical optimization 
1997,evaluation commercial cc-numa architecture - convex exemplar spp1200,study done academic cc-numa machine simulator indicate good potential application performance goal therefore investigate whether convex exemplar commercial distributed shared memory machine life expected potential cc-numa machine would like understand architectural implementation decision make le efficient evaluating delivered performance exemplar find moderate-scale exemplar machine work well several application important class performance affected four fundamental characteristic machine due basic implementation design choice made exemplar effect processor clustering together limited node-to-network bandwidth effect tertiary cache limited user control data placement sequential memory consistency model together cache-based cache coherence protocol lastly longer remote latency
1996,softflash analyzing performance clustered distributed virtual shared memory,one potentially attractive way build large-scale shared-memory machine use small-scale medium-scale shared-memory machine cluster interconnected off-the-shelf network create shared-memory programming environment across cluster possible use virtual shared-memory software layer low latency high bandwidth interconnect available within cluster clear advantage making cluster large possible critical question becomes whether latency bandwidth top-level network software system sufficient support communication demand generated clustersto explore question built aggressive kernel implementation virtual shared-memory system using sgi multiprocessor mbyte/sec hippi interconnects system obtains speedup  processor  range  communication-intensive fft program  ocean  general clustering effective reducing internode miss rate cluster size increase increase remote latency mostly due increased tlb synchronization cost offset advantage communication-intensive application fft overhead sending network request limited network bandwidth long network latency prevent achievement good performance overall approach still appears promising  indicate large low latency network may needed make cluster-based virtual shared-memory machine broadly useful large-scale shared-memory multiprocessor
1996,application architectural bottleneck large scale distributed shared memory machine,many programming challenge encountered small moderate-scale hardware cache-coherent shared memory machine extensively studied work remains done basic technique needed efficiently program machine well explored recently number researcher presented architectural technique scaling cache coherent shared address space much larger processor count paper examine extent application achieve reasonable performance large-scale cache-coherent distributed shared address space machine determining problem size needed achieve reasonable level efficiency also look much programming effort optimization needed achieve high efficiency beyond needed small processor count application discus main architectural bottleneck prevent smaller problem size le optimized program achieving good efficiency  show application either scale must heavily optimized application studied necessary heavily modify code restructure algorithm scale well upto several hundred processor basic technique load balancing data locality used needed small-scale system well program written care perform well without substantially compromising ease programming advantage shared address space problem size required achieve good performance surprisingly small important careful data structure layout interact system granularity optimization usually needed moderate-scale machine well
1996,computer architecture curriculum stanford challenge approach,n/a
1995,effectiveness data dependence analysis,data dependence testing basic step detecting loop level parallelism numerical program problem undecidable general case therefore work concentrated simplified problem affine memory disambiguation simpler domain array reference loop bound assumed linear integer function loop variable dataflow information ignored domain shown practice problem solved accurately efficiently paper study empirically effectiveness domain restriction many real reference affine flow insensitive use larus llpp system find data dependence dynamically compare  given affine memory disambiguation system system exact case see practice show affine approximation reasonable memory disambiguation sufficient approximation data dependence analysis propose extension improve analysis
