2007,high performance processor chip,development last  year single-chip computer striking development followed detail may heard talk started  desktop computer first outperformed powerful minicomputer market namely vax  desktop computer question workstation based processor chip developed marketed mips computer company professor john hennessy stanford university leading light subsequent development rapid led demise minicomputer used know love
2006,remember eniac,paper describes experience author regarding eniac eniac indeed great size team leadership presper eckert began realize taking improved approach much powerful computer-one-tenth size eniac-could built everyone know led edvac report long evolution modern computer
2003,biography,bernard cohen born  march  died  june  home waltham massachusetts usa played central role establishment history computing topic serious academic study even contribution history physical science broad fundamental obituary new york time made reference computing cohen best known author classic work isaac newton ben franklin rigorous yet readable popularizer history science birth new physic  revolution science  lifelong teacher brought gift continuing education class cruise-ship passenger undergraduate mentor generation eminent historian wrote  book  article spent adult life harvard entering  freshman staying graduate education teaching long official retirement life work reviewed
2001,memory gap future high performance memory,n/a
2001,high performance memory system,n/a
2000,introduction babbages analytical engine plan 28 28a-the programmer interface,n/a
1998,revisionist account early language development,author discus practicality fortran elegance algol defined fault line running programming language study beginning bridge considers algol block structure alternative structure
1997,arithmetic edsac maurice v,electronic delay storage automatic calculator  serial binary computer ultrasonic delay memory designed built university cambridge england work project started end  machine began work may  paper describes programmer handled fixed point arithmetic emphasizes merit double length accumulator
1997,collapsed lan solution bandwidth problem,n/a
1997,impediment technological advancement imposed law physic,n/a
1996,computer - part 2, delivered turing lecture computer  computer field well way assuming modem form progress made high level language  operating system  crt display  referred topic lecture one feature missing yet computer networking although air three year elapse arpanet came operation
1996,arithmetic edsac,edsac serial binary computer ultrasonic delay memory designed built university cambridge england work project started end  machine began work may  paper describes programmer handled  arithmetic emphasizes merit double length accumulator basic strategy underlying edsac project first build machine learn use  two phase building using equal importance quite sure working machine would much would learn could exploit effectively architecturally machine simple one frill hand architecture cut bone machine would uncomfortable use attempt exploit fully technology available attempt optimize implementation went ithout saying edsac would fixedpoint machine floating point relay machine built merit floating point operation fully recognized however would long time electronic engineer would feel sufficiently confident vacuum tube technology attempt design floating point machine
1995,memory wall cmos end-point,n/a
1994,operating system changing world,n/a
1994,edsac origin design decision,n/a
1993,light amplifier soliton,n/a
1993,fortran algol object-oriented language,n/a
1992,edsac 2,principal hardware feature edsac  developed cambridge university mathematical laboratory described edsac  came operation early  first computer microprogrammed control unit established viability microprogramming basis computer design mechanical level organization edsac  packaged bit-sliced manner interchangeable plug-in unit method packaging well matched vacuum tube technology period expected advantage arising replication unit fully realized< >
1992,charles babbage - great uncle computing,n/a
1992,long-term future operating system,n/a
1991,babbages expectation engine,babbages expectation difference engine young enthusiast although failed complete version engine independent implementation idea carried georg edvard scheutz two scheutz engine built put work one registrar-generals office london one dudley observatory albany n performed intended failed revolutionize making mathematical table babbage hoped would babbage year old wrote publish description analytical engine showed vision verging genius judgment design utility analytical engine sound judgment matter concerned difference engine weak study g bromley based examination notebook brought remarkable achievement would call microprogram level also insight eluded user level failure publish may never arrived regarded satisfactory system programming user level
1991,pray mr babbage-a character study dramatic form,babbage noted technical belatedly recognized triumph computational technology personality subject scrutiny several author towards end life said wished could exchange remainder life three day future play provides u opportunity step back day see man separate  machine could grant wish
1991,software programmer,engineering could exist without mathematics experimental science mathematics deal pure thought experimental science concerned law nature within framework may said aim engineering secure control nature branch engineering dependence clear example would heat engine without thermodynamics radio antenna design without electromagnetic theory communication without fourier analysis long accepted training engineer include serious study mathematics relevant science whatever use may subsequently make learning
1991,revisiting computer security business world,first column  discussed computer security business world remarked whereas military always attached great importance security business manager regarded yet another demand budget required convincing importance result military made advance research computer security long time evolved well-developed doctrine
1991,could predicted,everyone know computer industry passing period great change speaking recently senior executive one large company vigorously working meet developing situation question posed “could predicted”
1990,computer security business world,n/a
1990,network email fax,n/a
1990,bandwidth famine,number year ago visited young successful computer company given tour facility one director passed office people working computer terminal told constituted account department little came software department people also using terminal “now” said host “i show hardware department” surprise instead oscilloscope waveform analyzer expected find saw computer terminal sign timestoday designer printed circuit board intended plugged pc great variety software tool choose program layout routing program checking design rule followed correctly logic simulator checking design functionally correct elaborate simulator checking timing tool make possible produce working prototype without performing experimental work laboratory benchin dark age electronics debugging circuit carried using experimental version made screwing component piece wood connecting behavior circuit checked using oscilloscope experimental version known breadboard someone compared board bread sliced wooden board obsolete year term survived modern version breadboard  wire-wrapped prototype however costly time money effort spent advance physical design final product moreover certain respect particularly regard electrical interference cross talk wire-wrapped version may give misleading information
1990,software,n/a
