2019,symmetry property nested canalyzing function,many researcher studied symmetry property various boolean function class boolean function called nested canalyzing function  used model certain biological phenomenon identify interesting relationship ncfs symmetric boolean function generalization symmetric boolean function call r-symmetric function  using normalized representation ncfs develop characterization two variable ncf symmetric using characterization show symmetry level ncf f easily computed given standard representation f also present algorithm testing whether given r-symmetric function ncf show ncf f n variable notion strong asymmetry considered literature equivalent property f n-symmetric use result derive closed form expression number n-variable boolean function ncfs strongly asymmetric also identify boolean function ncfs symmetric
2018,characterization nested canalyzing function maximum average sensitivity,nested canalyzing function  class boolean function used model certain biological phenomenon derive complete characterization ncfs largest average sensitivity expressed term simple structural property ncf characterization provides alternate elementary proof tight upper bound average sensitivity ncf established klotz et al  also utilize characterization derive closed form expression number ncfs largest average sensitivity
2018,learning behavior dynamical system via 20 question approach,using graphical discrete dynamical system model networked social system problem inferring behavior system formulated problem learning local function dynamical system investigate problem assuming active form interaction system query consider two class local function  two interaction mode namely batch mode  adaptive mode  develop complexity  efficient heuristic produce query set query mode demonstrate performance heuristic experiment  well-known network
2018,testing phase space property synchronous dynamical system nested canalyzing local function,discrete graphical dynamical system serve effective formal model many context including simulation agent-based model propagation contagion social network study biological phenomenon class boolean function called nested canalyzing function  used good model certain biological phenomenon motivated biological application study variety analysis problem synchronous graphical dynamical system  boolean domain local function ncf analysis problem involves testing whether phase space given syds satisfies certain property present intractability  property well efficient algorithm others several case  clearly delineate intractable efficiently solvable version problem
2018,inferring probabilistic contagion model network using active query,problem inferring unknown parameter networked social system considerable practical importance consider problem independent cascade model using active query framework specifically given network whose edge probability unknown goal infer probability value edge querying system optimization objective use query possible carrying inference present approximation algorithm provide provably good estimate edge probability also present  experimental evaluation algorithm several real-world network
2018,using active query learn local stochastic behavior social network,using stochastic synchronous dynamical system  formal model study problem inferring local behavior node networked social system focus probabilistic threshold function local function use active query mechanism user interacts system submitting query develop efficient algorithm infers probabilistic threshold function using response query algorithm generates provably good query set also present experimental  demonstrate performance algorithm
2018,computational aspect fault location resilience problem interdependent infrastructure network,motivated application diagnosing failure complex infrastructure network consider configuration sequence completion problem  networked system goal csc problem choose value unknown entry specified sequence configuration system resulting sequence represents valid trajectory system problem generalizes known decision problem dynamical system present efficient algorithm version csc problem computational intractability  version
2017,inferring local transition function discrete dynamical system observation system behavior,consider problem inferring local transition function discrete dynamical system observed behavior focus synchronous system whose local transition function threshold function assume topology system known goal infer threshold value node system produce observed behavior show inference problem efficiently solvable others np-complete even underlying graph dynamical system simple path identify fixed parameter tractable problem context also consider constrained version threshold inference problem input includes set equality inequality constraint  present algorithmic complexity  several constrained threshold inference problem
2015,analysis problem graphical dynamical system unified approach graph predicate,present unified approach studying complexity analysis problem synchronous dynamical system  class graphical model networked multiagent system approach us predicate based graph embeddings capture many phase space property sydss studied literature additional property considered previously using formalism develop general  show many analysis problem sydss computationally intractable however underlying graph given syds treewidth bounded local function r-symmetric  show even counting version analysis problem solved efficiently
2015,complexity inferring local transition function discrete dynamical system,consider problem inferring local transition function discrete dynamical system observed behavior focus synchronous system whose local transition function threshold function assume topology system known goal infer threshold value node system produce observed behavior show inference problem efficiently solvable others np-complete even underlying graph dynamical system simple path also identify fixed parameter tractable problem context
2013,attributed translation,attributed translation grammar introduced mean specifying translation string input symbol string output symbol symbol finite set attribute take value possibly infinite set attributed translation grammar applied depth practical compiling problemscertain augmented pushdown machine defined characterization given attributed translation perform deterministically nondeterministically class attributed translation grammar defined whose translation performed deterministically parsing top bottom
2013,analysis several heuristic traveling salesman problem,several polynomial time algorithm finding “good” necessarily optimal tour traveling salesman problem considered measure closeness tour ratio obtained tour length minimal tour length nearest neighbor method show ratio bounded logarithmic function number node also provide logarithmic lower bound worst case class approximation method call insertion method studied also shown logarithmic upper bound two specific insertion method call nearest insertion cheapest insertion ratio shown constant upper bound  example provided come arbitrarily close upper bound also shown n≥ traveling salesman problem n node tour cannot improved making n/ edge change ratio 
2013,system level concurrency control distributed database system,distributed database system one database spread among several site application program “move” site site access update data need concurrency control portion system responds read write request application program job maintain global consistency distributed database ensuring termination application program prevented phenomenon deadlock assume individual site local concurrency control responds request site communicate concurrency control site application program move site site terminates abortsthis paper present design several distributed concurrency control demonstrates work correctly also investigates implication global consistency distributed database discus phenomenon prevent termination application program
2013,consistency serializability concurrent database system,main  paper show serialization necessary sufficient consistency concurrent database system true final database view database seen individual transaction model transaction includes read write operation may performed order main  presented term information flow model describing source value read use value written since model involve concept “time” value read written model concurrency system producing information flow among transactionsthere section discussing effect changing model include write operation without preceding read section discussing restriction straight-line program
2013,sums-of-products subproblem independence,sums-of-products provide basis describing certain computational problem particularly problem related constraint satisfaction including sat max sat #sat also used describe many problem arising graph theory modeling problem sum-of-products problem concept “subproblem independence” take clear meaning subproblem independence immediate computational implication since used create program reduced level nesting program exploit memoization concept subproblem independence also extends quantified sumssubproblem independence linked directly structural concept associated tree decomposition graph closely related structure tree algebraic problem thus method finding tree decomposition apply directly finding independent subproblems
2011,modeling analyzing social network dynamic using stochastic discrete graphical dynamical system,motivated application spread epidemic propagation influence social network propose formal model analyzing dynamic network model stochastic version discrete graphical dynamical system using model formulate study computational complexity two fundamental problem  arise context social network also address problem deal time evolution stochastic dynamical system point implication  problem computational model hopfield network communicating finite state machine systolic array particular polynomial time algorithm predecessor existence problem stochastic dynamical system imply similar  one-dimensional finite cellular automaton
2007,predecessor existence problem finite discrete dynamical system,study predecessor existence problem finite discrete dynamical system given finite discrete dynamical systemand configuration predecessor existence  problem determine whether configurationsuch thathas transition fromto addition decision version also study following variant #-predecessor existence  problem–counting number predecessor unique-predecessor existence  problem–deciding whether unique predecessor ambiguous-predecessor existence  problem–given configurationand predecessorof deciding whether different predecessorof general technique presented simultaneously characterizing computational complexity pre problem three variant hardness  based concept simultaneous reduction single transformation used simultaneously prove hardness different variant pre problem respective complexity class easiness  based dynamic programming extend previous  pre problem one-dimensional cellular automaton hardness  together easiness  provide tight separation easy hard instancesfurther  imply similar bound class finite discrete dynamical system including discrete hopfield recurrent neural network concurrent state machine systolic network one- two-dimensional cellular automaton  extend earlier  green sutner orponen complexity predecessor existence problem variant
2007,computational aspect analyzing social network dynamic,motivated application diagnosing failure complex infrastructure network consider configuration sequence completion problem  networked system goal csc problem choose value unknown entry specified sequence configuration system resulting sequence represents valid trajectory system problem generalizes known decision problem dynamical system present efficient algorithm version csc problem computational intractability  version
2006,complexity reachability problem finite discrete dynamical system,sequential dynamical system  special type finite discrete dynamical system used model simulation system focus computational complexity testing several phase space property sd main result sharp delineation class sd whose behavior easy predict whose behavior hard predict specifically show followingseveral state reachability problem sd pspace-complete even restricted sd whose underlying graph bounded bandwidth  function associated node symmetric moreover result hold even underlying graph d-regular constant node compute symmetric boolean function immediate corollary result pspace-hard lower bound complexity reachability problem regular generalized d-cellular automaton undirected systolic network boolean totalistic local transition functionsin contrast reachability problem solvable polynomial time sd boolean function associated node symmetric monotonethe pspace-completeness  follow corollary simulation  show several class sd one class sd efficiently simulated another  class sd also prove several structural property concerning phase space sd sd closely related cellular automaton  concurrent transition system discrete hopfield network systolic network observation conjunction lower bound sd yield new pspace-hard lower bound complexity state reachability problem model extending earlier    – p floréen e goles g weisbuch transient length sequential iteration threshold function discrete appl math   – p floréen p orponen complexity issue discrete hopfield network research report a-- department computer science university helsinki  also appears parberry  comp learning complexity neural network advanced topic  harel kupferman vardi complexity verifying concurrent transition system inform comput   – sk shukla hb hunt iii dj rosenkrantz stearns complexity relational problem finite state process international colloquium automaton programming language icalp  pp – rabinovich complexity equivalence problem concurrent system finite agent inform comput    –
2005,mechanism design software agent complete information,investigate mechanism design problem agent mechanism computational restriction particular examine  mechanism design literature affected social choice rule requires mechanism solve computationally difficult optimization problem dominant strategy nash implementation considered multiagent version maximum satisfiability problem show best mechanism guarantee least half maximum number simultaneously satisfiable agent satisfied outcome analysis highlight difficulty arise applying  mechanism design computational problem particular  show using approximation multiagent setting much le successful traditional computational setting game theoretic guarantee required outcome
2005,resource bound subproblem independence,several reason np-hard problem solved deterministically time  < <  one reason problem solved nondeterministic procedure us space second reason instance problem exhibit high degree subproblem independence  line channelwidth treewidth third instance problem solved using nondeterministic straight-line program number variable paper show imposing q-linear bound computation time obliviousness constraint nondeterminism three reason essentially equivalent k specifically problem class associated reason interchangeable using reduction simultaneously polynomial time q-linear size-bounded call pq-reductions class problem solvable method call nqna class defined general way include rich variety problem take evidence class power index  also lower time bound hand easiness problem derived subproblem independence consideration thus technique associated subproblem independence seen widely applicable one might expect
2003,finite strategy set finitely repeated zero-sum game,study finitely repeated two-person zero-sum game player  restricted mixing fixed number pure strategy player  unrestricted describe optimal set pure strategy player  along optimal mixed strategy show entropy mixed strategy appears factor exact formula value game thus seen direct numerical effect game value develop upper lower bound value game within additive constant discus  related work neyman okada strategic entropy  finally use  bound value repeated game one player us computer bounded memory restricted using constant amount time stage
2003,deterministic versus nondeterministic time lower bound problem,many problem general interest natural nondeterministic algorithm computer act deterministically important understand relationship deterministic nondeterministic time specifically important understand quickly deterministic computing device determine outcome nondeterministic calculation far general technique work better trying step-by-step simulation exponential methodthe famous question concerning determinism versus nondeterminism p = np question however different question relationship possible significant progress relationship achieved without answering pv = np question thanks efficient reduction turing machine simulation sat relationship question posed question sat problem proving nontrivial lower bound time required solve sat instance larger problem proving lower bound natural problem suggested study generic problem might fruitful approach toward insight problem
2003,reachability problem sequential dynamical system threshold function,sequential dynamical system  domainis triple  g undirected graph n node node state value set local transition function fi denoting local transition function associated node vi  π permutation  node v single sd transition obtained updating state node v evaluating function associated order given πwe consider reachability problem sd restricted local transition function main intractability  show reachability problem sd pspace-complete either following restriction hold consists simple-threshold-functions simple-inverted-threshold function consists threshold-functions use weight asymmetric manner moreover  hold even sd whose underlying graph bounded node degree bounded pathwidth lower bound  also extend reachability problem hopfield network communicating finite state machineson positive side show whenconsists threshold function use weight symmetric manner reachability problem solved efficiently provided weight strictly positive ratio largest smallest weight bounded polynomial function number node
2003,predecessor permutation existence problem sequential dynamical system,class finite discrete dynamical system called sequential dynamical system  introduced  formal model analyzing simulation system address complexity two basic problem generalization sdssgiven sd configuration c predecessor existence  problem determine whether configuration c transition c c  provide separation efficiently solvable computationally intractable instance pre problem example show pre problem solved efficiently sd boolean state value node function symmetric underlying graph bounded tree width contrast show allowing one non-symmetric node function render problem np-complete even underlying graph star   extend earlier  sutner  green  complexity predecessor existence problem -dimensional cellular automatagiven two configuration c c partial sd permutation existence  problem determine whether permutation node transition c c one step show pme problem np-complete even function associated node simple-threshold function also show problem solved efficiently sd whose underlying graph bounded degree bounded tree width consider generalized version  pme problem show problem np-complete sd node function underlying graph maximum node degree  node computes function node computes function show gen-pme problem solvable polynomial time
