2017,uniform integral efficient proof determinant identity,give uniform integral version short propositional proof determinant identity demonstrated gf hrubeš-tzameret  specifically show multiplicativity determinant function integer provable bounded arithmetic theory vnc   first-order theory corresponding complexity class nc   also establishes existence uniform polynomial-size o-depth circuit-frege  proof integer basic determinant identity  give uniform nc  -algorithms homogenizing algebraic circuit balancing algebraic circuit  converting circuit division circuit single division gate-all  definable vnc   also implies nc  -algorithm evaluating algebraic circuit depth
2016,relativizing small complexity class theory,existing definition relativizations nc  l nl preserve inclusionsnc⊆lnl⊆ac start giving first definition preserve l nl define relativizations using wilson’s stack oracle model limit height stack constant  show collapse two class in{actcnclnl}{implies collapse relativizations next exhibit oracle α make ac k  proper hierarchy strengthens clarifies separation relativized theory takeuti  idea circuit whose nested depth oracle gate bounded k cannot compute correctly  composition every oracle function finally develop theory characterize relativizations subclass p modifying theory previously defined second two author function provably total theory iff corresponding relativized class hence oracle separation imply separation relativized theory
2016,exponential lower bound monotone span program,monotone span program linear-algebraic model computation introduced karchmer wigderson   known equivalent linear secret sharing scheme various application complexity theory cryptography lower bound monotone span program difficult obtain use non-monotone operation compute monotone function fact best known lower bound quasipolynomial function  p  fundamental open problem prove exponential lower bound monotone span program size explicit function resolve open problem giving exponential lower bound monotone span program size function monotone p also implies first exponential lower bound linear secret sharing scheme result obtained proving exponential lower bound using razborovs rank method  measure strong enough prove lower bound many monotone model corollary obtain new proof exponential lower bound monotone formula size monotone switching network size first lower bound monotone comparator circuit size function monotone p also obtain new polynomial degree lower bound nullstellensatz refutation using interpolation theorem pudlak sgall  finally obtain quasipolynomial lower bound rank measure st-connectivity function implying tight bound st-connectivity computational model mentioned
2016,lower bound nondeterministic semantic read-once branching program,prove exponential lower bound size semantic read-once -ary nondeterministic branching program prior result best known d-ary branching program |d| >= ^{}
2014,hardness private,kushilevitz  initiated study information-theoretic privacy within context communication complexity unfortunately shown interesting function privately computable  unattainability perfect privacy many function motivated study approximate privacy feigenbaum et al  define notion worst-case well average-case approximate privacy present several interesting upper bound well open problem study article obtain asymptotically tight bound trade-off worst-case average-case approximate privacy protocol communication cost vickrey auctionsfurther relate notion average-case approximate privacy measure based information cost protocol enables u prove exponential lower bound subjective approximate privacy protocol computing intersection function independent communication cost prof conjecture feigenbaum et al 
2014,complexity comparator circuit value problem, subramanian  defined complexity class cc set problem log-space reducible comparator circuit value problem  mayr showed nl ⊆ cc ⊆ p proved addition ccv several problem complete cc including stable marriage problem finding lexicographically first maximal matching bipartite graph although class received much attention since interested cc conjecture incomparable parallel class nc also satisfies nl ⊆ nc ⊆ p note conjecture implies none cc-complete problem efficient polylog time parallel algorithm provide evidence conjecture giving oracle setting relativized cc relativized nc incomparablewe give several alternative definition cc including  class problem computed uniform polynomial-size family comparator circuit supplied copy input negation class problem ac-reducible ccv class problem computed uniform ac circuit axccv gate also give machine model cc corresponds characterization log-space uniform polynomial-size family comparator circuit various characterization show cc robust class technique also show corresponding function class fcc closed composition main technical tool employ universal comparator circuitsother  include simpler proof nl ⊆ cc careful analysis showing lexicographically first maximal matching problem variant cc-complete ac many-one reduction explanation relation gale--shapley algorithm subramanian’s algorithm stable marriagethis article continues previous work cook et al  focused cook-nguyen style uniform proof complexity answering several open question raised article
2013,theory subexponential-size bounded-depth frege proof,paper contribution understanding relationship uniform nonuniform proof complexity latter study length proof various propositional proof system frege bounded-depth frege system former study strength corresponding logical theory vnc v  superpolynomial lower bound length proof propositional proof system family tautology expressing result like pigeonhole principle implies result provable theory associated propositional proof system define new class bounded arithmetic theory n^epsilon-iov^ epsilon <  show correspond complexity class alttimeo uniform class subexponential-size bounded-depth circuit depthsize^o accomplish introduce novel idea using type control amount composition bounded arithmetic theory allows theory capture complexity class weaker closure property closed composition show proof sigma^b_-theorems theory translate subexponential-size bounded-depth frege proof use theory formalize complexity theory result problem uniform nc circuit computed uniform subexponential bounded-depth circuit  prove theory contain variation theory vnc complexity class nc formalize buss proof   boolean formula evaluation problem nc use prove soundness frege system corollary obtain alternative proof  polynomial-size frege proof simulated subexponential-size bounded-depth frege proof  extended theory corresponding nice complexity class inside ntimespace n^o nl achieved essentially formalizing containment ntimespace n^o  alttime epsilon > 
2013,average case lower bound monotone switching network,approximate computation boolean function circuit switching network computation function computed correctly majority input  besides interesting right lower bound approximate computation proved useful many sub area complexity theory cryptography derandomization lower bound approximate computation also known correlation bound average case hardness paper obtain first average case monotone depth lower bound function monotone p tolerate error asymptotically best possible monotone circuit specifically prove average case exponential lower bound size monotone switching network gen function corollary separate monotone nc hierarchy case error -- result previously known exact computation proof extends simplifies fourier analytic technique due potechin developed chan potechin corollary main lower bound prove communication complexity approach monotone depth lower bound naturally generalize average case setting
2012,formal theory linear algebra,introduce two-sorted theory style  complexity class  det whose complete problem include determinant z z respectively describe interpretation soltys linear algebra theory lap arbitrary integral domain new theory result show equivalence standard theorem linear algebra z z proved corresponding theory leaf open interesting question whether theorem proved
2012,complexity proving discrete jordan curve theorem,jordan curve theorem  state simple closed curve divide plane exactly two connected region formalize prove theorem context grid graph different input setting theory bounded arithmetic correspond small complexity class theory v  prof set edge form disjoint cycle divide grid least two region theory v  prof sequence edge form simple closed curve divide grid exactly two region consequence hex tautology st-connectivity tautology polynomial size ac-frege-proofs improves  bus apply stronger proof system tc-frege
