2019,fair trade framework assessing decentralised data solution,decentralised data solution bring set capability requirement issue necessarily present centralised solution order compare property different approach tool management decentralised data important common evaluation framework present set dimension relevant data management decentralised context use define principle extending fair framework initially developed open research data characterising range different data solution approach trusted autonomous distributed decentralised addition findable accessible interoperable reusable show fair trade framework useful describing evaluating management decentralised data solution aim contribute development best practice developing field
2017,linked data notification resource-centric communication protocol,article describe linked data notification  protocol wc candidate recommendation notification sent web variety purpose example social application information contained within notification structured arbitrarily typically usable application generated first place spirit linked data propose notification reusable multiple authorised application separating concept sender receiver consumer notification leveraging linked data principle shared vocabulary uris ldn provides building block decentralised web application permit end user freedom switch online tool use well generating greater value notification different source used combination situate ldn alongside related initiative discus additional consideration security abuse prevention measure evaluate protocol’s effectiveness analysing multiple independent implementation pas suite formal test demonstrated interoperating experience described feature please open document web browser canonical uri http//csarvenca/linked-data-notifications
2017,decentralised authoring annotation notification read-write web dokieli,web designed decentralised environment individual author still lack ability conveniently author publish document engage social interaction document others truly decentralised fashion present dokieli fully decentralised browser-based authoring annotation platform built-in support social interaction people retain ownership sovereignty data resulting “living” document interoperable independent dokieli since follow standard best practice html+rdfa fine-grained semantic structure linked data platform personal data storage linked data notification update article describes dokieli’s architecture implementation demonstrating advanced document authoring interaction without single point control environment provides right technological condition independent publication scientific article news work benefit diverse voice open interaction experience described feature please open document web browser canonical uri http//csarvenca/dokieli-rww
2016,demonstration solid platform social web application,solid decentralized platform social web application solid platform user data managed independently application create consume data user store data web-accessible personal online datastore  user one pod different pod provider easily switch provider application access data user pod using well defined protocol decentralized authentication access control mechanism guarantee privacy data decentralized architecture application operate user data wherever stored user control access data option switch application time demonstrate utility solid experienced point view end user application developer use set solid server multiple web application use server believe experience concrete platform solid highly valuable truly appreciating power decentralized social web
2014,cimba - client-integrated microblogging architecture,n/a
2012,linked open government data lesson datagovuk,project extract value open government data contributes population linked data web high-value data good provenance
2011,designing web open society,best design web technology support feature would like society openness justice transparency accountability participation innovation science democracy
2010,semantic web social machine research challenge ai world wide web,advent social computing web led new generation web application powerful world-changing however argue beginning age “social machines” continued evolution growth requires cooperation web ai researcher paper show growing semantic web provides necessary support technology outline challenge see bringing technology next level propose starting place research
2010,world-wide web information universe,purposethe worldwide web  initiative practical project designed bring global information universe existence using available technology paper seek describe aim data model protocol needed implement web compare various contemporary systemsdesign/methodology/approachsince vannevar bush article men dreamed extending intellect making collective knowledge available individual using machine computer provide u two practical technique humanknowledge interface one hypertext link piece text  mimic human association idea text retrieval allows association deduced content text w ideal world allows operation provides access browsing platformfindingsvarious server gateway information system produced total amount information available web becoming significant especially since includes anonymous ftp archive wais server gopher server well specific w serversoriginality/valuethe paper notice w server could provide function server look forward single protocol used whole community
2010,put postcode come data case study,single datum set categorical data little value combination disparate set data increase value data set help discover interesting pattern relationship facilitating construction new application service paper describe implementation using open geographical data core set “join point” mesh different public datasets describe challenge faced implementation include sourcing datasets publishing linked data normalising linked data term finding appropriate “join points” individual datasets well developing client application used data consumption describe design decision solution challenge conclude drawing general principle work
2009,linked data - story far,term linked data refers set best practice publishing connecting structured data web best practice adopted increasing number data provider last three year leading creation global data space containing billion assertion web data article author present concept technical principle linked data situate within broader context related technological development describe progress date publishing linked data web review application developed exploit web data map research agenda linked data community move forward
2009,interacting ehealth towards grand challenge hci,health record increasingly stored electronically little access data used thinking official record either something wed understand access case increasingly turn web however query ache pain health goal may consulting health care professional likewise proactive health care nutrition fitness post diagnosis support find fellow-sufferers turn online resource seems potential disconnect point professional proactive health care intersect gap information sharing may direct impact practice decide take care seek support professional offer panel consider several place within proactive preventative health care particular hci role towards enhancing health knowledge discovery health support interaction goal demonstrate time ehealth come forefront hci research agenda
2009,policy-aware content reuse web,web allows user share work effectively leading rapid re-use remixing content web including text image video scientific research data social network blog photo sharing site application known collectively social web lot increasingly complex information information several web page easily aggregated mashed presented web page content generation nature inevitably lead many copyright license violation motivating research effective method detect prevent violationsthis supported experiment creative common  attribution license violation sample web page least one embedded flickr image revealed attribution license violation rate flickr image web around - primary objective enable user right thing comply cc license associated web medium instead preventing wrong thing detecting violation license solution implemented two application  attribution license violation validator used validate users’ derived work attribution license reused medium  semantic clipboard provides license awareness web medium enables user copy along appropriate license metadata
2008,fractal nature semantic web,past many knowledge representation system failed monolithic didn’t scale well whereas system failed impact small isolated along trade-off size also constant tension cost involved building larger community interoperate common term cost lack interoperability semantic web offer good compromise approach achieves wide-scale communication interoperability using finite effort cost semantic web set standard knowledge representation exchange aimed providing interoperability across application organization believe gathering success technology derived particular choice syntax logic main contribution recognizing supporting fractal pattern scalable web system system composed many overlapping community size ranging one individual entire population internal  consistency information system including document message contain term understood accepted globally understood within certain community understood locally within system amount interoperability interacting agent  depend many community common many ontology  share article discus fractal pattern appropriate model web system semantic web technology used design scalable interoperable system
2008,information accountability,access control encryption longer capable protecting privacy law system needed hold people accountable misuse personal information whether public secret
2008,web science interdisciplinary approach understanding web,web must studied entity right ensure keep flourishing prevent unanticipated social effect
