2009,The Origin of the Integrated Data Store (IDS): The First Direct-Access DBMS.,"Abstract:
The integrated data store (IDS), the first direct-access database management system, was developed at General Electric in the early 1960s. Revisiting the development challenges that lead to its first production version reveals the origins of DBMSs and their impact on software development and business management. IDS and its derivative systems are still in use today, supporting a thousand mainframe installations."
1996,Impact of Object Oriented Thinking on ER Data Modeling.,n/a
1989,"A Personal Chronicle: Creating Better Information Systems, with Some Guiding Principles.","Abstract:
The author identifies four guiding principles which have come into play in this work of creating information systems and tools to support information systems. The first principle, open-eyes, is used to characterize information systems that remain open to new information, and consequently can compensate for changes in their mission or inaccuracies in their execution of that mission. The second principle involves abstraction levels, which in information systems are similar to differentiation in calculus. They are used to study the changes within a group of heterogeneous objects, with respect to an object type classification, so as to understand and make use of their patterns and ultimately to control the new objects of each type. The third principle, layered architecture, is used to identify a pattern of successive reimplementations of a set of functions, so as to isolate specific environmentally oriented issues. The fourth principle involves relationships, used to define associations between objects and constraints on those associations and to provide access to objects based on their associations. Reference is made to several specific projects which revealed the operation of these principles.< >"
1983,The Structuring Capabilities of the Molecular Data Model.,n/a
1982,Toward a More Complete Reference Model of Computer-Based Information Systems.,Standardization in Information Systems profits from the existence of an overall model or design which enables the standard-designers to see the context in which the individual efforts are progressing. Such a model is proposed by the authors who suggest that ISO1 organize its work in conformance to this framework.
1981,The Context of Open Systems Interconnection Within Computer-Based Information Systems.,"Abstract
The current development within ISO on the Reference Model of Open Systems Interconnection� and the supportive Service and Protocol Specifications represent a major contribution, which this paper attempts to place into the larger context of computer-based information systems and to show its relationship to complementary functional sub-architectures."
1980,The Role Data Model Approach to Data Structures.,n/a
1980,The Impact Structured Data Throughout Computer-Based Information Systems.,n/a
1979,Commitment in a Distributed Database.,n/a
1978,Data base management systems overview.,n/a
1978,Commentary on CODASYL Systems Committee's interim report on distributed database technology.,n/a
1978,Provisional Model of Open System Architecture.,n/a
1977,Why restrict the modelling capability of CODASYL data structure sets?,"Several issues have been raised concerning changes to the capabilities of the CODASYL Data Description Language specifications for data structure sets. The paper argues against new restrictions suggested and for removal of existing restrictions. The issues are:
allow recursive set declaration
keep multiple member declaration
allow alternate owner declarations
The concept of ""record-roles"" is introduced to justify the need for these capabilities. The expanded capabilities described offer an alternate means of achieving the same end result without the need to introduce the ""record-role"" into the CODASYL Data Description Language."
1977,The Role Concept in Data Models.,"A new data model is described which permits the representation of the different roles which a real world entity may play. This data model is an extension of the network model, as used in I-D-S and its derivative, the CODASYL database system. The concepts of item and set are retained. The record concept has been refined to clarify the old record concept and introduce the new role-segment concept. The record represents the existence of an entity of the real world while the role-segment represents the existence of one of the entity's roles.

A person and a corporation are examples of an entity, while a stockholder and a customer are examples of a role that either the person or corporation can assume. A role-segment occurrence serves to group and name the properties concerning the existence of one role.

This paper shows that the record and role segment concepts can be integrated into the required data description and data manipulation language.

The meta entity types of the role data model are contrasted with those of older data models for the data occurrence domain. The ambigous use of meta types by the older models is thus shown. This ambiguity appears to prohibit those older data models from serving as the basis of a conceptual schema where data transformation support of richer data models is required.

The meta entity types of the role data model are identified, described and related to the real world, data occurrence, conceptual schema, and data description domains."
1975,Trends in database management: 1975.,"The subject of database management systems is receiving attention at an accelerating rate. The work of the COBOL Data Base Task Group (DBTG) has achieved major acceptance. This acceptance can be measured in terms of the number of computer systems for which DBTG software is now available, and the number of customers who have successfully installed application systems based upon this software. While the specifications are yet imperfect and development committees will be refining them for years, it appears to this author that a major step in the evolution of computerized information systems has been accomplished. Integrated database systems are here to stay."
