2012,"Systems Architecture, Design, Engineering, and Verification - The Practice in Research and Research in Practice.","More than any other area in computer science, the interaction and boundary between science and engineering is blurred in the systems area, with cross fertilization from both directions. The systems panel will explore the past, present and future relationship between systems research and engineering practice.
They will discuss the relationship between systems research and engineering practices: when does systems innovation emanating from industry become an invention and when does academic research stop being science and become engineering? How does practice-driven research impact the real world and how does the real world reflect back on foundations? In what forms does technology create research challenges, and in what manner does applied research give solid base for development?
They will surmise about the future of systems research: What are the fundamental challenges posed by the scale of today's cloud computing systems and mega-size data centers? How to organize software of large-scale distributed executions or mega-ton lines of code? What new opportunities are enabled by novel technologies like flash memory and transactional memory? How to integrate hand-in-hand design of software and architecture?"
2000,The Longest: Krnknn in 262.,n/a
1996,6-Piece Endgames.,n/a
1995,Plan 9 from Bell Labs.,n/a
1993,Chess Endgames Vol. 3.,n/a
1993,The Use of Name Spaces in Plan 9.,Plan 9 is a distributed system built at the Computing Sciences Research Center of AT&amp;T Bell Laboratories over the last few years. Its goal is to provide a production-quality system for software development and general computation using heterogeneous hardware and minimal software. A Plan 9 system comprises CPU and file servers in a central location connected together by fast networks. Slower networks fan out to workstation-class machines that serve as user terminals. Plan 9 argues that given a few carefully implemented abstractions it is possible to produce a small operating system that provides support for the largest systems on a variety of architectures and networks. The foundations of the system are built on two ideas: a per-process name space and a simple message-oriented file system protocol.
1993,Hello World.,"Plan 9 from Bell Labs has recently been converted from ASCII to an ASCII-compatible variant of Unicode, a 16-bit character set. In this paper we explain the reasons for the change, describe the character set and representation we chose, and present the programming models and software changes that support the new text format. Although we stopped short of full internationalization - for example, system error messages are in Unicode, not Japanese - we believe Plan 9 is the first system to treat the representation of all major languages on a uniform, equal footing throughout all its software."
1992,Chess Endgames Vol. 2.,n/a
1992,The use of name spaces in plan 9.,Plan 9 is a distributed system built at the Computing Sciences Research Center of AT&T Bell Laboratories over the last few years. Its goal is to provide a production-quality system for software development and general computation using heterogeneous hardware and minimal software. A Plan 9 system comprises CPU and file servers in a central location connected together by fast networks. Slower networks fan out to workstation-class machines that serve as user terminals. Plan 9 argues that given a few carefully implemented abstractions it is possible to produce a small operating system that provides support for the largest systems on a variety of architectures and networks. The foundations of the system are built on two ideas: a per-process name space and a simple message-oriented file system protocol.
1991,New Results for KNPKB and KNPKN Endgames.,n/a
1991,Chess Endgames Vol. 1.,n/a
1990,KQPKQ and KRPKR Endings.,n/a
1990,Results and Games.,n/a
