2018,"If You're Not Writing a Program, Don't Use a Programming Language.","The need to handle large programs and to produce ecient compiled codeadds complexity to programming languages and limits their expressiveness.
Algorithms are not programs, and they can be expressed in a simpler and more expressive language. That language is the one used by almost every branch of science and engineering to precisely describe and reason about the objects they study: the language of mathematics. Math is useful for describing a more general class of algorithms than are studied in algorithm
courses."
2015,Who builds a house without drawing blueprints?,"Finding a better solution by thinking about the problem and its solution, rather than just thinking about the code.
"
2014,Coalescing: Syntactic Abstraction for Reasoning in First-Order Modal Logics.,We present a syntactic abstraction method to reason about first-order modal logics by using theorem provers for standard first-order logic and for propositional modal logic. 
2014,An incomplete history of concurrency chapter 1. 1965-1977.,"A personal view of the first dozen years of the modern field of concurrent and distributed computing, viewed from the perspective of 2014. Further chapters are left for others to write. "
2013,Adaptive Register Allocation with a Linear Number of Registers.,"Abstract
We give an adaptive algorithm in which processes use multi-writer multi-reader registers to acquire exclusive write access to their own single-writer, multi-reader registers. It is the first such algorithm that uses a number of registers linear in the number of participating processes. Previous adaptive algorithms require at least Θ(n 3/2) registers."
2012,TLA + Proofs.,"Abstract
TLA +  is a specification language based on standard set theory and temporal logic that has constructs for hierarchical proofs. We describe how to write TLA +  proofs and check them with TLAPS, the TLA +  Proof System. We use Peterson’s mutual exclusion algorithm as a simple example and show how TLAPS and the Toolbox (an IDE for TLA + ) help users to manage large, complex proofs."
2011,Euclid Writes an Algorithm: A Fairytale.,n/a
2011,Brief Announcement: Leaderless Byzantine Paxos.,"Abstract
The role of leader in an asynchronous Byzantine agreement algorithm is played by a virtual leader that is implemented using a synchronous Byzantine agreement algorithm."
2011,Byzantizing Paxos by Refinement.,"Abstract
We derive a
3f+1
3
process Byzantine Paxos consensus algorithm by Byzantizing a variant of the ordinary Paxos algorithm—that is, by having
2f+1
2
nonfaulty processes emulate the ordinary Paxos algorithm despite the presence of f malicious processes. We have written a formal, machine-checked proof that the Byzantized algorithm implements the ordinary Paxos consensus algorithm under a suitable refinement mapping."
2010,The mailbox problem.,"Abstract
We propose and solve a synchronization problem called the mailbox problem, motivated by a particular type of interaction between a processor and an external device or between two threads. In this problem, a postman delivers letters to the mailbox of a home owner and uses a flag to signal a non-empty mailbox. The owner must remove all letters delivered to the mailbox and should not walk to the mailbox if it is empty. We present algorithms and an impossibility result for this problem."
2010,Reconfiguring a state machine.,"Reconfiguration means changing the set of processes executing a distributed system. We explain several methods for reconfiguring a system implemented using the state-machine approach, including some new ones. We discuss the relation between these methods and earlier reconfiguration algorithms--especially view changing in group communication.
"
2010,Computer Science and State Machines.,"Abstract
Computer science is largely about computation. Many kinds of computing devices have been described, some abstract and some very concrete. Among them are:
Automata, including Turing machines, Moore machines, Mealy machines, pushdown automata, and cellular automata.
Computer programs written in a programming language.
Algorithms written in natural language and pseudocode.
von Neumann computers.
BNF grammars.
Process algebras such as CCS.
Computer scientists collectively suffer from what I call the Whorfian syndrome the confusion of language with reality. Since these devices are described in different languages, they must all be different. In fact, they are all naturally described as state machines."
2010,Verifying Safety Properties with the TLA+ Proof System.,"Abstract
TLAPS, the TLA +  proof system, is a platform for the development and mechanical verification of TLA +  proofs. The TLA +  proof language is declarative, and understanding proofs requires little background beyond elementary mathematics. The language supports hierarchical and non-linear proof construction and verification, and it is independent of any verification tool or strategy. Proofs are written in the same language as specifications; engineers do not have to translate their high-level designs into the language of a particular verification tool. A proof manager interprets a TLA +  proof as a collection of proof obligations to be verified, which it sends to backend verifiers that include theorem provers, proof assistants, SMT solvers, and decision procedures.
The first public release of TLAPS is available from [1], distributed with a BSD-like license. It handles almost all the non-temporal part of TLA +  as well as the temporal reasoning needed to prove standard safety properties, in particular invariance and step simulation, but not liveness properties. Intuitively, a safety property asserts what is permitted to happen; a liveness property asserts what must happen; for a more formal overview, see [3,10]."
2010,The TLA+ Proof System: Building a Heterogeneous Verification Platform.,"Abstract
Model checking has proved to be an efficient technique for finding subtle bugs in concurrent and distributed algorithms and systems. However, it is usually limited to the analysis of small instances of such systems, due to the problem of state space explosion. When model checking finds no more errors, one can attempt to verify the correctness of a model using theorem proving, which also requires efficient tool support."
2009,Teaching concurrency.,n/a
2009,The PlusCal Algorithm Language.,"Abstract
Algorithms are different from programs and should not be described with programming languages. The only simple alternative to programming languages has been pseudo-code. PlusCal is an algorithm language that can be used right now to replace pseudo-code, for both sequential and concurrent algorithms. It is based on the TLA +  specification language, and a PlusCal algorithm is automatically translated to a TLA +  specification that can be checked with the TLC model checker and reasoned about formally."
2009,"TLA+: Whence, Wherefore, and Whither.",n/a
2009,Vertical paxos and primary-backup replication.,"We introduce a class of Paxos algorithms called Vertical Paxos, in which reconfiguration can occur in the middle of reaching agreement on an individual state-machine command. Vertical Paxos algorithms use an auxiliary configuration master that facilitates agreement on reconfiguration. A special case of these algorithms leads to traditional primary-backup protocols. We show how primary-backup systems in current use can be viewed, and shown to be correct, as instances of Vertical Paxos algorithms."
2008,Implementing dataflow with threads.,"Abstract
A general algorithm is presented for implementing dataflow computations with multiple threads that communicate using only reads and writes of shared memory."
2008,A TLA+ Proof System.,"We describe an extension to the TLA+ specification language with constructs for writing proofs and a proof environment, called the Proof Manager (PM), to checks those proofs. The language and the PM support the incremental development and checking of hierarchically structured proofs. The PM translates a proof into a set of independent proof obligations and calls upon a collection of back-end provers to verify them. Different provers can be used to verify different obligations. The currently supported back-ends are the tableau prover Zenon and Isabelle/TLA+, an axiomatisation of TLA+ in Isabelle/Pure. The proof obligations for a complete TLA+ proof can also be used to certify the theorem in Isabelle/TLA+."
2008,The Mailbox Problem.,"Abstract
We propose and solve a synchronization problem called the mailbox problem, motivated by the interaction between devices and processor in a computer. In this problem, a postman delivers letters to the mailbox of a housewife and uses a flag to signal a non-empty mailbox. The wife must remove all letters delivered to the mailbox and should not walk to the mailbox if it is empty. We present algorithms and an impossibility result for this problem."
2007,Formal specification of a Web services protocol.,"Abstract
We describe a use of formal methods to specify and check a Web Services protocol. The Web Services Atomic Transaction protocol was specified in TLA+ and checked with the TLC model checker. A modest effort revealed oversights that caused unanticipated behaviors of the protocol; these were corrected by clarifications and changes to the protocol."
2007,"DISC 20th Anniversary: Invited Talk Time, Clocks, and the Ordering of My Ideas About Distributed Systems.","Abstract
A guided tour through the labyrinth of my thoughts, from the Bakery Algorithm to arbiter-free marked graphs. This exercise in egotism is by invitation of the DISC 20th Anniversary Committee. I take no responsibility for the choice of topic."
2006,Fast Paxos.,"Abstract
As used in practice, traditional consensus algorithms require three message delays before any process can learn the chosen value. Fast Paxos is an extension of the classic Paxos algorithm that allows the value to be learned in two message delays. How and why the algorithm works are explained informally, and a TLA+ specification of the algorithm appears as an appendix."
2006,Lower bounds for asynchronous consensus.,"Abstract
Impossibility results and best-case lower bounds are proved for the number of message delays and the number of processes required to reach agreement in an asynchronous consensus algorithm that tolerates non-Byzantine failures. General algorithms exist that achieve these lower bounds in the normal case, when the response time of non-faulty processes and the transmission delay of messages they send to one another are bounded. Our theorems allow algorithms to do better in certain exceptional cases, and such algorithms are presented. Two of these exceptional algorithms may be of practical interest."
