2019	analyzing improving representation soft nearest neighbor loss
2019	similarity neural network representation revisited
2019	cerberus multi-headed derenderer
2019	learning sparse network using targeted dropout
2019	label smoothing help
2019	stacked capsule autoencoders
2019	detecting diagnosing adversarial image class-conditional capsule reconstruction
2019	lookahead optimizer k step forward 1 step back
2019	cvxnets learnable convex decomposition
2018	said modeling individual labelers improves classification
2018	illustrative language understanding large-scale visual grounding image search
2018	large scale distributed neural network training online distillation
2018	matrix capsule em routing
2018	assessing scalability biologically-motivated deep learning algorithm architecture
2018	darccc detecting adversary reconstruction class conditional capsule
2017	distilling neural network soft decision tree
2017	regularizing neural network penalizing confident output distribution
2017	outrageously large neural network sparsely-gated mixture-of-experts layer
2017	boltzmann machine
2017	deep belief net
2016	attend infer repeat fast scene understanding generative model
2016	using fast weight attend recent past
2016	layer normalization
2015	grammar foreign language
2015	simple way initialize recurrent network rectified linear unit
2014	dropout simple way prevent neural network overfitting
2014	autoregressive product multi-frame prediction improve accuracy hybrid model
2013	modeling natural image using gated mrfs
2013	new type deep neural network learning speech recognition related application overview
2013	tensor analyzer
2013	importance initialization momentum deep learning
2013	using autoencoder deformable template discover feature automated speech recognition
2013	discovering multiple constraint frequently approximately satisfied
2012	visualizing non-metric similarity multiple map
2012	introduction special section deep learning speech language processing
2012	robust boltzmann machine recognition denoising
2012	learning label aerial image noisy data
2012	deep mixture factor analyser
2012	deep lambertian network
2012	practical guide training restricted boltzmann machine
2012	product hidden markov model take n > 1 tango
2012	improving neural network preventing co-adaptation feature detector
2012	efficient parametric projection pursuit density estimation
2011	two distributed-state model generating high-dimensional time series
2011	modeling joint density two image variety transformation
2011	using deep autoencoders content-based image retrieval
2011	learning better representation speech soundwaves using restricted boltzmann machine
2010	comparing classification method longitudinal fmri study
2010	dynamical binary latent variable model 3d human pose tracking
2010	modeling pixel mean covariance using factorized third-order boltzmann machine
2010	learning detect road high-resolution aerial image
2010	learning combine foveal glimpse third-order boltzmann machine
2010	factored 3-way restricted boltzmann machine modeling natural image
2009	learning generative texture model extended fields-of-experts
2009	modeling pigeon behavior using conditional restricted boltzmann machine
2009	factored conditional restricted boltzmann machine modeling motion style
2009	replicated softmax undirected topic model
2008	deep narrow sigmoid belief network universal approximators
2008	analysis-by-synthesis learning invert generative black box
2008	generative versus discriminative training rbms classification fmri image
2008	using matrix model symbolic relationship
2007	learning nonlinear embedding preserving class neighbourhood structure
2006	topographic product model applied natural scene statistic
2005	learning causally linked markov random field
2005	inferring motor program image handwritten digit
2004	reinforcement learning factored state action
2004	multiple relational embedding
2004	exponential family harmonium application information retrieval
2003	wormhole improve contrastive divergence
2002	local physical model interactive character animation
2002	desktop input device interface interactive 3d character animation
2002	self supervised boosting
2001	global coordination local linear model
2000	variational learning switching state-space model
2000	split merge em algorithm improving gaussian mixture density estimate
2000	using free energy represent q-values multiagent reinforcement learning task
1999	spiking boltzmann machine
1999	learning parse image
1998	coaching variable regression classification
1998	glove-talkii-a neural-network interface map gesture parallel formant speech synthesizer control
1998	fast neural network emulation dynamical system computer animation
1998	view em algorithm justifies incremental sparse variant
1997	instantiating deformable model neural net
1997	mobile robot learns place
1995	learning population code minimizing description length
1995	using pair data-points define split decision tree
1994	using neural net instantiate deformable model
1993	soft decision-directed lm algorithm blind equalization
1993	keeping neural network simple minimizing description length weight
1992	simplifying neural network soft weight-sharing
1992	feudal reinforcement learning
1991	adaptive elastic model hand-printed character recognition
1990	bootstrap widrow-hoff rule cluster-formation algorithm
1990	time-delay neural network architecture isolated word recognition
1990	discovering viewpoint-invariant relationship characterize object
1989	deterministic boltzmann learning performs steepest descent weight-space
1989	traffic recognizing object using hierarchical reference frame transformation
1988	gemini gradient estimation matrix inversion noise injection
1987	connectionist architecture artificial intelligence
1987	learning representation recirculation
1986	learning massively parallel net panel
1985	shape recognition illusory conjunction
1981	parallel computation assigns canonical object-based frame reference
1979	demonstration effect structural description mental imagery
1977	relaxation role vision
