2019,efficient dissection bicomposite problem cryptanalytic application
2019,xerox day vulnerability
2019,9 life bleichenbachers cat new cache attack tl implementation
2019,drone cryptanalysis - smashing cryptography flicker
2019,simple explanation existence adversarial example small hamming distance
2019,new slide attack almost self-similar cipher
2019,retracing boomerang attack
2018,iot go nuclear creating zigbee chain reaction
2018,pseudo constant time implementation tl pseudo secure
2018,improved key recovery attack reduced-round aes practical data memory complexity
2018,tight bound online checkpointing algorithm
2018,game drone - detecting streamed poi encrypted fpv channel
2018,improved key recovery attack reduced-round aes practical data memory complexity
2018,pseudo constant time implementation tl pseudo secure
2018,9 life bleichenbachers cat new cache attack tl implementation
2017,eat entropy optimal recovery strategy compromised rngs
2017,acoustic cryptanalysis
2017,iot go nuclear creating zigbee chain reaction
2017,oops!i think scanned malware
2017,optimal backup strategy cyber attack
2016,physical key extraction attack pc
2016,new second-preimage attack hash function
2016,key recovery attack iterated even-mansour encryption scheme
2016,bug attack
2016,memory-efficient algorithm finding needle haystack
2016,extended functionality attack iot device case smart light
2016,memory-efficient algorithm finding needle haystack
2016,iot go nuclear creating zigbee chain reaction
2015,almost universal forgery attack aes-based mac
2015,reflection slide twist attack
2015,slidex attack even-mansour encryption scheme
2015,new attack idea least 6 round
2015,improved single-key attack 8-round aes-192 aes-256
2015,new attack feistel structure improved memory complexity
2015,improved top-down technique differential cryptanalysis
2015,new attack feistel structure improved memory complexity
2015,improved top-down technique differential cryptanalysis
2014,dissection new paradigm solving bicomposite search problem
2014,improved practical attack round-reduced keccak
2014,practical-time related-key attack kasumi cryptosystem used gsm 3g telephony
2014,cryptanalysis iterated even-mansour scheme two key
2014,eat entropy - optimal recovery strategy compromised rngs
2014,rsa key extraction via low-bandwidth acoustic cryptanalysis
2014,dread pirate robert acquire protect bitcoin wealth
2014,improved linear sieving technique application step-reduced led-64
2014,using random error correcting code near-collision attack generic hash-functions
2014,eat entropy - optimal recovery strategy compromised rngs
2014,using random error correcting code near-collision attack generic hash-functions
2014,reflection slide twist attack
2013,key recovery attack 3-round even-mansour 8-step led-128 full aes2
2013,quantitative analysis full bitcoin transaction graph
2013,collision attack 5 round sha-3 using generalized internal differential
2013,key recovery attack 3-round even-mansour 8-step led-128 full aes2
2013,improved linear sieving technique application step-reduced led-64
2013,cryptanalysis iterated even-mansour scheme two key
2013,dread pirate robert acquire protect bitcoin wealth
2013,rsa key extraction via low-bandwidth acoustic cryptanalysis
2012,applying cube attack stream cipher realistic scenario
2012,information data security networked future
2012,efficient dissection composite problem application cryptanalysis knapsack combinatorial search problem
2012,minimalism cryptography even-mansour scheme revisited
2012,improved attack full gost
2012,new attack keccak-224 keccak-256
2012,efficient dissection composite problem application cryptanalysis knapsack combinatorial search problem
2012,practical polynomial-time known-plaintext attack cryptosystem proposed john nash
2012,quantitative analysis full bitcoin transaction graph
2012,self-differential cryptanalysis 5 round sha-3
2011,rfid authentication efficient proactive information security within computational security
2011,experimentally verified attack full grain-128 using dedicated reconfigurable hardware
2011,improved algebraic attack hamsi-256
2011,breaking grain-128 dynamic cube attack
2011,twirl
2011,alred blue new attack aes-based mac
2011,experimentally verified attack full grain-128 using dedicated reconfigurable hardware
2011,new data-efficient attack reduced-round idea
2011,minimalism cryptography even-mansour scheme revisited
2011,improved attack full gost
2011,new attack keccak-224 keccak-256
2010,efficient cache attack aes countermeasure
2010,structural cryptanalysis sasas
2010,comparative power analysis modular exponentiation algorithm
2010,improved single-key attack 8-round aes-192 aes-256
2010,fast exhaustive search polynomial system f2
2010,practical-time related-key attack kasumi cryptosystem used gsm 3g telephony
2010,key recovery attack practical complexity aes-256 variant 10 round
2010,generic analysis small cryptographic leak
2010,practical-time attack a5/3 cryptosystem used third generation gsm telephony
2010,fast exhaustive search polynomial system f2
2010,improved single-key attack 8-round aes
2010,breaking grain-128 dynamic cube attack
2010,improved algebraic attack hamsi-256
2009,cube attack tweakable black box polynomial
2009,cube tester key recovery attack reduced-round md6 trivium
2009,cube tester key recovery attack reduced-round md6 trivium
2009,rfid authentication efficient proactive information security within computational security
2009,un-trusted-hb security vulnerability trusted-hb
2009,side channel cube attack block cipher
2009,efficient fpga implementation high-dimensional cube tester stream cipher grain-128
2009,key recovery attack practical complexity aes variant 10 round
2008,improved related-key attack desx desx+
2008,collision-based power analysis modular exponentiation using chosen-message pair
2008,rsa-past present future
2008,bug attack
2008,second preimage attack dithered hash function
2008,squash - new mac provable security property highly constrained device rfid tag
2008,strength concatenated hash combiner hash function weak
2008,strength concatenated hash combiner hash function weak
2008,cube attack tweakable black box polynomial
2007,length-based cryptanalysis case thompson group
2007,remote password extraction rfid tag
2007,cryptanalysis sflash signature scheme
2007,practical cryptanalysis sflash
2007,cryptanalysis group-based key agreement protocol using subgroup distance function
2007,cryptanalysis group-based key agreement protocol using subgroup distance function
2007,practical cryptanalysis sflash
2007,second preimage attack dithered hash function
2006,leak secret theory application ring signature
2006,rigorous bound cryptanalytic time/memory tradeoff
2006,cache attack countermeasure case aes
2006,breaking ice - finding multicollisions iterated concatenated expanded ice hash function
2006,length-based cryptanalysis case thompson group
2006,length-based cryptanalysis case thompson group
2005,cryptanalysis skipjack reduced 31 round using impossible differential
2005,scalable hardware sparse system linear equation application integer factorization
2005,new application t-functions block cipher hash function
2005,analysis non-linear part mugi
2005,twirl
2005,cache attack countermeasure case aes
2004,stream cipher dead alive
2004,fault analysis stream cipher
2004,new cryptographic primitive based multiword t-functions
2003,factoring estimate 1024-bit rsa modulus
2003,factoring large number twirl device
2003,rsa shortcut
2003,cryptographic application t-functions
2003,guaranteeing diversity number generator
2002,analysis bernstein factorization circuit
2002,analysis neural cryptography
2002,new class invertible mapping
2002,lsd broadcast encryption scheme
2001,guaranteeing diversity number generator
2001,leak secret
2001,new direction croptography
2001,improved online/offline signature scheme
2001,structural cryptanalysis sasas
2001,secureclick web payment system disposable credit card number
2001,practical attack broadcast rc4
2001,weakness key scheduling algorithm rc4
2001,guaranteeing diversity number generator
2000,cryptanalytic time/memory/data tradeoff stream cipher
2000,protecting smart card passive power analysis detached power supply
2000,analysis optimization twinkle factoring device
2000,efficient algorithm solving overdefined system multivariate polynomial equation
2000,real time cryptanalysis a5/1 pc
1999,multiple noninteractive zero knowledge proof general assumption
1999,factoring large number twinkle device extended abstract
1999,cryptanalysis hfe public key cryptosystem relinearization
1999,cryptanalysis skipjack reduced 31 round using impossible differential
1999,playing hide seek stored key
1999,miss middle attack idea khufu
1999,copyright function
1998,cryptanalysis oil & vinegar signature scheme
1998,visual cryptanalysis
1998,steganographic file system
1998,initial observation skipjack cryptanalysis skipjack-3xor
1997,fully parallelized multi-prover protocol nexp-time
1997,differential fault analysis secret key cryptosystems
1997,lattice attack ntru
1996,payword micromint two simple micropayment scheme
1996,visual cryptography ii improving contrast via cover base
