1989,organithms dynamic software evolution
1986,two thousand word two thousand ideas-the 650 carnegie
1986,fac functional apl language
1985,another view software panel
1982,syntax-free semantics apl operator
1982,epigram programming
1981,klaus samelson
1979,social process proof theorem program
1977,social process proof theorem program
1973,proceeding fourth symposium operating system principle sosp 1973 thomas j watson research center yorktown height new york usa october 15-17 1973
1969,identifying developing curriculum software engineering
1967,proposal definition algol
1967,synthesis algorithmic system
1966,new policy algorithm
1964,format language
1964,extension algol manipulating formula
1964,programming digital computer
1964,acm publish computer research
1963,revised report algorithm language algol 60
1963,computation development critical society
1963,revised report algorithmic language algol 60
1962,compiling matrix operation
1961,use threaded list constructing combined algol machine-like assembly processor
1960,symbol manipulation threaded list
1960,report algorithmic language algol 60
1959,visit computation center soviet union
1959,algol sub-committee report - extension
1959,acm publication policy plan
1959,report algorithmic language algol acm committee programming language gamm committee programming
1959,symposium automatic programming
1958,preliminary report-international algebraic language
