2018,revenue monotonicity combinatorial auction
2018,scaling nakamoto consensus thousand transaction per second
2018,incentive analysis bitcoin fee design
2017,dominant-strategy versus bayesian multi-item auction maximum revenue determination comparison
2017,revenue monotonicity combinatorial auction
2016,concurrent knowledge extraction public-key model
2016,solution maximum revenue multi-item auction dominant-strategy bayesian implementation
2015,interdisciplinarity view theory computation
2015,n-to-1 bidder reduction multi-item auction application
2014,privacy-preserving authenticated key-exchange internet
2014,n-to-1 bidder reduction multi-item auction application
2013,revenue maximization selling multiple independently distributed item
2013,online/offline signature low-power device
2013,oake new family implicitly authenticated diffie-hellman protocol
2012,graph coloring applied secure computation non-abelian group
2012,turing computational model
2012,quantum computing great science making
2012,computationally-fair group identity-based key-exchange
2012,digital signature challenge-divided sigma-protocols
2012,computationally-fair group identity-based key-exchange
2011,tight approximation ratio general greedy splitting algorithm minimum k-way cut problem
2011,new family practical non-malleable diffie-hellman protocol
2011,new family practical non-malleable protocol
2010,deniable internet key exchange
2010,concurrent knowledge extraction public-key model
2010,innovation computer science - ic 2010 tsinghua university beijing china january 5-7 2010 proceeding
2010,new framework rfid privacy
2010,concurrent knowledge extraction public-key model
2010,adaptive concurrent non-malleability bare public-keys
2009,quantum query complexity local search two three dimension
2009,note feasibility generalised universal composability
2009,note universal composable zero-knowledge common reference string model
2009,communication complexity application
2009,concurrent knowledge-extraction public-key model
2009,adaptive concurrent non-malleability bare public-keys
2008,graph design secure multiparty computation non-abelian group
2008,perspective complexity-based cryptography
2008,generalized tsirelson inequality commuting-operator provers multi-prover interactive proof system
2008,tight approximation ratio general greedy splitting algorithm minimum k-way cut problem
2007,oblivious adaptive strategy majority plurality problem
2007,note universal composable zero knowledge common reference string model
2007,note feasibility generalized universal composability
2007,deniable internet key-exchange
2006,discrete continuous min-energy schedule variable voltage processor
2006,quantum query complexity local search two three dimension
2006,perspective computational communication complexity
2006,recent progress quantum computational complexity
2005,oblivious adaptive strategy majority plurality problem
2005,communication complexity co-linearity problem
2004,self testing quantum apparatus
2004,graph property circular function low quantum query complexity go
2004,fisher equilibrium price class concave utility function
2004,dynamic price sequence incentive compatibility extended abstract
2004,graph entropy quantum sorting problem
2003,classical physic church-turing thesis
2003,interactive proof quantum computation
2003,power quantum fingerprinting
2003,finding favorite
2002,read-once branching program rectangular proof pigeonhole principle transversal calculus
2002,classical physic church-turing thesis
2002,power quantum fingerprinting
2001,informational complexity direct sum problem simultaneous message complexity
2001,perspective computational complexity abstract
2000,quantum bit escrow
1999,nqpc = co-c=p
1998,exponential lower bound size algebraic decision tree max
1998,rapid randomized pharmacophore identification drug design
1998,quantum cryptography imperfect apparatus
1998,nqpc = co-c=p
1998,nqp = co-c=p
1997,dictionary look-up one error
1997,decision tree complexity betti number
1997,rapid randomized pharmacophore identification drug design
1997,read-once branching program rectangular proof pigeonhole principle transversal calculus
1996,hypergraphs decision tree abstract
1995,minimean optimal key arrangement hash table
1995,computing algebraic function using logarithm exponential
1995,algebraic decision tree euler characteristic
1995,shrinkage exponent read-once formula
1995,dictionary loop-up small error
1995,security quantum protocol coherent measurement
1995,exponential lower bound size algebraic decision tree max
1994,randomized algorithm finding maximum olog n² polynomial test
1994,near-optimal time-space tradeoff element distinctness
1994,lower bound monotone depth connectivity
1994,decision tree complexity betti number
1993,circuit-based proof toda theorem
1993,towards uncheatable benchmark
1993,quantum circuit complexity
1993,group algebraic complexity abstract
1992,algebraic decision tree euler characteristic
1992,linear decision tree volume estimate topological bound
1991,lower bound randomized algorithm graph property
1991,lower bound algebraic computation tree integer input
1991,recent progress circuit communication complexity abstract
1991,program checker probability generation
1991,weighted random assignment application hashing
1990,evaluating boolean function unreliable test
1990,acc threshold circuit
1990,coherent function program checker extended abstract
1989,selecting k largest median test
1989,complexity partial order production
1989,lower bound algebraic computation tree integer input
1989,circuit local computation
1989,improbability reaching byzantine agreement preliminary version
1988,monotone bipartite graph property evasive
1988,near-optimal time-space tradeoff element distinctness
1987,lower bound randomized algorithm graph property extended abstract
1986,generate exchange secret extended abstract
1985,uniform hashing optimal
1985,optimal arrangement key double hashing
1985,fault-tolerant network sorting
1985,expected performance path compression algorithm
1985,complexity maintaining partial sum
1985,separating polynomial-time hierarchy oracle preliminary version
1985,general approach d-dimensional geometric query extended abstract
1983,security public key protocol
1983,lower bound probabilistic argument extended abstract
1983,strong signature scheme
1982,parallel computation knapsack problem
1982,lower bound algebraic decision tree
1982,complexity finding cycle periodic function
1982,average-case complexity selecting kth best
1982,constructing minimum spanning tree k-dimensional space related problem
1982,time-space tradeoff sorting linear query
1982,signature authentication
1982,theory application trapdoor function extended abstract
1982,protocol secure computation extended abstract
1982,space-time tradeoff answering range query extended abstract
1981,efficient searching using partial ordering
1981,table sorted
1981,lower bound finding convex hull
1981,analysis memory allocation scheme implementing stack
1981,security public key protocol extended abstract
1981,parallel computation knapsack problem
1981,entropic limitation vlsi computation extended abstract
1980,stochastic model bin-packing
1980,note analysis extendible hashing
1980,external hashing scheme collection data structure
1980,new algorithm bin packing
1980,information bound weak shortest distance problem
1980,analysis h k 1-shellsort
1980,polyhedral decision problem
1980,bound selection network
1980,monotonicity property partial order
1980,optimal expected-time algorithm closest point problem
1979,storing sparse table
1979,note conjecture kam ullman concerning statistical database
1979,complexity pattern matching random string
1979,complexity question related distributive computing preliminary report
1978,random 2-3 tree
1978,addition chain multiplicative cost
1978,k+1 head better k
1978,loop switching addressing problem
1978,table sorted extended abstract
1978,average-case complexity selecting k-th best
1977,probabilistic computation toward unified measure complexity extended abstract
1977,omegan^2 log n lower bound shortest path problem
1976,analysis subtractive algorithm greatest common divisor
1976,problem katona minimal separating system
1976,almost optimal algorithm unbounded searching
1976,lower bound merging network
1976,resource constrained scheduling generalized bin packing
1976,evaluation power
1976,k+1 head better k
1976,complexity searching ordered random table extended abstract
1976,average behavior set merging algorithm extended abstract
1975,o|e| log log |v| algorithm finding minimum spanning tree
1975,complexity comparison problem using linear function preliminary report
1975,computing minimum quadratic form preliminary report
1974,bound selection network
1974,scheduling unit-time task limited resource
