2013,reconfigurable computing era post-silicon scaling panel discussion
2012,computer architecture
2010,improving future examining past
2007,design high-performance flash disk
1993,alpha demonstration unit high-performance multiprocessor
1993,high speed switch scheduling local area network
1992,alpha demonstration unit high-performance multiprocessor software chip development
1992,high speed switch scheduling local area network
1991,autonet high-speed self-configuring local area network using point-to-point link
1988,firefly multiprocessor workstation
1987,firefly multiprocessor workstation
