2005,recollection operating system design
2002,ewd1300 notational convention adopted
2002,ewd 1308 led note structured programming
2002,solution problem concurrent programming control reprint
2002,go statement considered harmful reprint
2001,end computing science
2001,spell leibniz dream
2001,designing calculational proof cantor theorem
2000,transitive closure wellfounded relation
1996,fibonacci greatest common divisor
1996,balance coin
1996,bultermans theorem shortest tree
1996,prime 1 way sum 2 square
1996,bagatelle euclid algorithm
1996,two equation extreme solution
1996,alternative etac ewd1163
1996,argument arithmetic mean geometric mean heuristic included
1995,heuristic calculational proof
1992,economy mathematics
1992,unification three calculus
1990,predicate calculus program semantics
1990,making fair roulette possibly biased coin
1989,linear search revisited
1988,method programming
1988,binary operator derived relation
1987,heuristic explanation batchers baffler
1986,simple fixpoint argument without restriction continuity
1986,belated proof self-stabilization
1985,methodik de programmierens
1983,solution problem concurrent programming control reprint
1983,structure the-multiprogramming system reprint
1983,derivation termination detection algorithm distributed computation
1983,fruit misunderstanding
1982,selected writing computing personal perspective
1982,introduction three algorithm sorting situ
1982,smoothsort alternative sorting situ
1982,tell truth might hurt
1981,word welcome
1980,beautiful argument using mathematical induction
1980,termination detection diffusing computation
1979,software engineering 
1978,on-the-fly garbage collection exercise cooperation
1978,finding correctness proof concurrent program
1978,formal treatment le simple example
1978,stationary behaviour ternary network
1978,finding correctness proof concurrent program
1978,interplay mathematics programming
1978,theorem odd power odd integer
1978,honour fibonacci
1978,foolishness natural language programming
1978,program inversion
1977,programming craft scientific discipline
1976,discipline programming
1976,gauntlet thrown david gries
1976,formal technique sizeable program
1976,effective arrangement logical system
1975,guarded command nondeterminacy formal derivation program
1975,teaching programming e teaching thinking
1975,on-the-fly garbage collection exercise cooperation
1975,guarded command non-determinancy calculus derivation program
1975,time-wise hierarchy imposed upon use two-level store
1975,craftsman scientist
1974,self-stabilizing system spite distributed control
1972,structured programming
1972,humble programmer
1972,information stream sharing finite buffer
1972,class allocation strategy inducing bounded delay
1971,hierarchical ordering sequential process
1968,letter editor go statement considered harmful
1968,structure the-multiprogramming system
1968,letter editor go statement reconsidered
1965,solution problem concurrent programming control
1964,comment aim mirfac
1962,operating experience algol 60
1962,meditation advanced programming
1961,letter editor defense algol 60
1959,communication automatic computer
1959,algol sub-committee report - extension
1959,note two problem connexion graph
