2012,system architecture design engineering verification - practice research research practice
2003,computer system challenge
1992,ctss-the compatible time-sharing system
1992,project mac time-sharing computing project
1992,project mac interview
1991,building system fail
1972,multics first seven year
1968,consideration supervisor program design multiplexed computer system
1963,linking segment subprogram language linking loader
1963,coding jacobi method computing eigenvalue eigenvectors real symmetric matrix
1959,generation spherical bessel function digital computer
