1992,numerical consideration computing invariant subspace
1975,stability gauss-jordan elimination pivoting
1971,linear algebra
1971,comment numerical analyst
1970,least square problem pseudo-inverses
1969,eigenvalue ax = λbx band symmetric b
1968,global convergence qr algorithm
1967,review book review
1965,convergence lr qr related algorithm
1965,qr algorithm real symmetric matrix multiple eigenvalue
1965,calculation lamé polynomial
1963,review book review
1962,correspondence
1962,review book review
1962,instability elimination method reducing matrix tri-diagonal form
1961,remark algorithm 2 3
1961,efficient scheme co-diagonalization symmetric matrix given method computer two-level store
1961,rigorous error bound computer eigensystems
1961,error analysis direct method matrix inversion
1960,householder method solution algebraic eigenproblem
1959,stability reduction matrix almost triangular triangular form elementary similarity transformation
1959,rounding error algebraic process
1958,calculation eigenvectors codiagonal matrix
1958,calculation eigenvectors method lanczos
