2000,evolution risc technology ibm
1991,computer architecture 1990s
1990,statistical approach machine translation
1990,evolution risc technology ibm
1989,probabilistic parsing method sentence disambiguation
1988,search performance scientific processor turing award lecture
1988,estimating interlock improving balance pipelined architecture
1988,statistical approach language translation
1988,statistical approach french/english translation
1987,estimating interlock improving balance pipelined architecture
1982,optimization range checking retrospective
1982,optimization range checking
1981,register allocation via coloring
1980,communication strenght reduction division modulo application accessing multilevel store
1980,measurement programming improvement algorithm
1977,algorithm reduction operator strength
1976,program data flow analysis procedure
1974,optimal decoding linear code minimizing symbol error rate corresp
1972,configurable computer new class general purpose machine
1971,bootstrap hybrid decoding symmetrical binary input channel
1964,universality tag system p=2
1959,lossless symbol coding nonprimes corresp
