2019,computational sustainability computing better world sustainable future
2019,locally-biased spectral approximation community detection
2019,krylov subspace approximation local community detection large network
2019,new anchor word selection method separable topic discovery
2019,adaptive wavelet clustering highly noisy data
2019,improving generalization adversarial training domain adaptation
2019,at-gan generative attack model adversarial transferring generative adversarial net
2019,new anchor word selection method separable topic discovery
2019,adversarially robust generalization requires unlabeled data
2019,nesterov accelerated gradient scale invariance improving transferability adversarial example
2019,robust local feature improving generalization adversarial training
2018,hidden community detection social network
2018,neighbourhood-preserving dimension reduction via localised multidimensional scaling
2018,local spectral clustering overlapping community detection
2018,curvature-based comparison two neural network
2018,towards understanding learning representation extent different neural network learn representation
2018,curvature-based comparison two neural network
2018,improving generalization adversarial training domain adaptation
2018,towards understanding learning representation extent different neural network learn representation
2018,adaptive wavelet clustering highly noisy data
2017,computer science information age
2017,stacked generative adversarial network
2017,snapshot ensemble train 1 get free
2017,learning latent topic word co-occurrence network
2017,deep compression convolutional neural network artistic style transfer
2017,local lanczos spectral approximation community detection
2017,hidden community detection social network
2017,snapshot ensemble train 1 get free
2017,understanding deep representation random weight
2017,local dimension deep manifold
2017,krylov subspace approximation local community detection
2016,special issue faw 2014
2016,nonlinear dimension reduction local multidimensional scaling
2016,powerful generative model using random weight deep image representation
2016,world count clustering detecting fake social engagement scale
2016,lifecycle cascade wechat social messaging group
2016,convergent learning different neural network learn representation
2016,powerful generative model using random weight deep image representation
2016,stacked generative adversarial network
2015,frontier algorithmics
2015,use local group information identify community network
2015,detecting overlapping community local spectral subspace
2015,convergent learning different neural network learn representation
2015,uncovering small community structure large network local spectral approach
2015,revealing multiple layer hidden community structure network
2015,uncovering small community structure large network local spectral approach
2015,overlapping community detection via local spectral clustering
2015,detecting overlapping community local spectral subspace
2015,deep manifold traversal changing label convolutional feature
2015,world count clustering detecting fake social engagement scale
2015,lifecycle cascade social messaging group
2014,separability framework analyzing community structure
2014,frontier algorithmics - 8th international workshop faw 2014 zhangjiajie china june 28-30 2014 proceeding
2013,extracting core structure social network using α β-communities
2013,learning predict reciprocity triadic closure social network
2013,sign cauchy projection chi-square kernel
2013,sign stable projection sign cauchy projection chi-square kernel
2012,information data security networked future
2012,use supervised learning predict directionality link network
2012,making world better place
2012,future direction computer science research
2012,separability structural class community
2012,feature-enhanced probabilistic model diffusion network inference
2012,impact turing machine
2012,using community information improve precision link prediction method
2011,future computer science
2011,follow back reciprocal relationship prediction
2011,detecting community kernel large social network
2011,detecting structure social network using α β-communities
2011,web topic discovering topology topic evolution corpus
2010,new research direction information age
2010,recovering social network contagion information
2010,community structure large complex network
2009,frontier algorithmics third international workshop faw 2009 hefei china june 20-23 2009 proceeding
2008,local computation pagerank contribution
2008,manipulation-resistant reputation using hitting time
2008,robust pagerank locally computable spam detection feature
2008,computer science information age
2008,stability web crawling web search
2007,introduction automaton theory language computation 3rd edition
2007,finding short path social network
2007,spectral clustering limited independence
2007,manipulation-resistant reputation using hitting time
2007,local computation pagerank contribution
2006,spectral clustering recursive partitioning
2005,learning mixture heavy-tailed distribution
2005,error bound correlation clustering
2005,correctness gossip based membership protocol
2004,spectral analysis random graph skewed degree distribution
2003,introduction automaton theory language computation - international edition 2nd edition
2003,natural community large linked network
2002,einführung die automatentheorie formale sprachen und komplexitätstheorie 2 aufl
2001,introduction automaton theory language computation 2nd edition
2001,introduction automaton theory language computation 2nd edition
2000,introduction automaton theory language computation second edition
2000,automaton theory past future
1994,einführung die automatentheorie formale sprachen und komplexitätstheorie 3 aufl
1992,paradigm robust geometric algorithm
1991,case study flexible object manipulation
1990,einführung die automatentheorie formale sprachen und komplexitätstheorie 2 aufl
1989,computer science - achievement opportunity
1989,robust set operation polyhedral solid
1989,electronic prototyping
1988,geometry projective blending surface
1988,tracing surface intersection
1988,towards implementing robust geometric computation
1987,computer science emergence discipline
1987,simulation physical system geometric model
1986,impact robotics computer science
1986,reducing multiple object motion planning graph searching
1986,promise electronic prototyping
1985,routing merging sorting parallel model computation
1985,decreasing nesting depth expression involving square root
1985,movement robot arm 2-dimensional bounded region
1985,automatic surface generation computer aided design
1985,representation manipulation reasoning physical object
1984,movement problem 2-dimensional linkage
1983,data structure algorithm
1982,fast parallel matrix gcd computation
1982,edge coloring bipartite graph
1982,fast parallel matrix gcd computation
1982,movement robot arm 2-dimensional bounded region
1982,routing merging sorting parallel model computation extended abstract
1981,recent direction algorithmic research
1980,directed subgraph homeomorphism problem
1980,polynomial-time algorithm permutation group
1979,introduction automaton theory language computation
1979,note rabins nearest-neighbor algorithm
1979,reachability problem 5-dimensional vector addition system
1978,complexity equivalence containment free single variable program scheme
1977,time versus space
1977,proceeding 9th annual acm symposium theory computing may 4-6 1977 boulder colorado usa
1976,finding lowest common ancestor tree
1975,time versus space related problem
1974,design analysis computer algorithm
1974,efficient planarity testing
1974,complexity computer computation
1974,linear time algorithm isomorphism planar graph preliminary report
1973,efficient algorithm graph manipulation h algorithm 447
1973,v log v algorithm isomorphism triconnected planar graph
1973,dividing graph triconnected component
1973,duality applied complexity matrix multiplication bilinear form
1973,n5/2 algorithm maximum matchings bipartite graph
1973,set merging algorithm
1973,duality applied complexity matrix multiplication bilinear form
1973,finding lowest common ancestor tree
1972,isomorphism planar graph
1971,v² algorithm determining isomorphism planar graph
1971,overview theory computational complexity
1971,image afl certain family homomorphism
1971,n^5/2 algorithm maximum matchings bipartite graph
1971,planarity testing v log v step extended abstract
1970,two-way balloon automaton afl
1970,computational power pushdown automaton
1970,make language theory problem undecidable
1970,r70-2 nested stack automaton
1969,formal language relation automaton
1969,result tape-bounded turing machine
1969,scattered context grammar
1969,equivalence containment problem context-free language
1969,general theory translation
1969,dense non-dense family complexity class
1969,technique proving certain simple program optimal
1968,set accepted one-way stack automaton context sensitive
1968,time tape complexity pushdown automaton language
1968,decidable undecidable question automaton
1968,relation time tape complexity
1968,deterministic stack automaton quotient operator
1968,two-way balloon automaton afl
1968,structure undecidable problem automaton theory
1968,scattered context grammar
1967,nonerasing stack automaton
1967,two result one-way stack automaton
1967,approach unified theory automaton
1967,modular decomposition synchronous sequential machine
1966,encoding analog signal binary symmetric channel
1966,simple deterministic language
1965,synthesis minimal threshold logic network
