2019,new golden age computer architecture
2019,spectre meltdown processor security vulnerability
2016,common bond mips hp two-level branch prediction compressed code risc processor
2012,computer architecture - quantitative approach 5th edition
2012,computer organization design - hardware / software interface revised 4th edition
2007,computer organization design - hardware / software interface 3 ed
2007,computer architecture - quantitative approach 4 ed
2005,rechnerorganisation und -entwurf - die hardware / software-schnittstelle 3 aufl
2003,computer architecture - quantitative approach 3rd edition
2003,latency occupancy bandwidth dsm multiprocessor performance evaluation
2000,efficient performance prediction modern microprocessor
1999,future system research
1999,quantitative analysis performance scalability distributed shared memory
1998,retrospective evaluation directory dchemes cache coherence
1998,flexible use memory replication/migration cache-coherent dsm multiprocessor
1998,evaluation directory scheme cache coherence
1998,memory consistency event ordering scalable shared-memory multiprocessor
1998,dash prototype implementation performance
1998,stanford flash multiprocessor
1997,computer organization & design hardware/software interface second edition
1997,nationwide parallel computing environment
1997,evaluation commercial cc-numa architecture - convex exemplar spp1200
1996,computer architecture quantitative approach 2nd edition
1996,softflash analyzing performance clustered distributed virtual shared memory
1996,application architectural bottleneck large scale distributed shared memory machine
1996,computer architecture curriculum stanford challenge approach
1995,effectiveness data dependence analysis
1995,load balancing data locality adaptive hierarchical n-body method barnes-hut fast multipole rasiosity
1995,implication hierarchical n-body method multiprocessor architecture
1995,position paper
1994,rechnerarchitektur - analyse entwurf implementierung bewertung
1994,computer organization & design hardware/software interface
1994,cool object-based language parallel programming
1994,suif infrastructure research parallelizing optimizing compiler
1994,false sharing an spatial locality multiprocessor cache
1994,performance advantage integrating block data trabsfer cache-coherent multiprocessor
1994,performance impact flexibility stanford flash multiprocessor
1994,evaluating memory overhead required coma architecture
1994,stanford flash multiprocessor
1993,scaling parallel program multiprocessor methodology example
1993,compile-time copy elimination
1993,mtool integrated system performance debugging shared memory multiprocessor application
1993,dash prototype logic overhead performance
1993,data locality load balancing cool
1993,parallel adaptive fast multipole method
1993,empirical comparison kendall square research ksr-1 stanford dash multiprocessor
1993,accuracy trace-driven simulation multiprocessor
1992,stanford dash multiprocessor
1992,finding exploiting parallelism ocean simulation program experience result implication
1992,programming different memory consistency model
1992,characterizing caching synchronization performance multiprocessor operating system
1992,hiding memory latency using dynamic scheduling shared-memory multiprocessor
1992,dash prototype implementation performance
1992,sharlit - tool building optimizers
1991,computer technology architecture evolving interaction
1991,performance evaluation memory consistency model shared memory multiprocessor
1991,multiprocessor simulation tracing using tango
1991,mtool method isolating memory bottleneck shared memory multiprocessor program
1991,two technique enhance performance memory consistency model
1991,comparative evaluation latency reducing tolerating technique
1991,integrating scalar optimization parallelization
1991,efficient exact data dependence analysis
1991,performance debugging shared memory multiprocessor program mtool
1991,mtool method detecting memory bottleneck
1990,computer architecture quantitative approach
1990,spectral lower bound techniqye size decision tree two level and/or circuit
1990,priority-based coloring approach register allocation
1990,design scalable shared-memory multiprocessor dash approach
1990,estimating performance advantage relaxing consistency shared memory multiprocessor
1990,share data placement optimization reduce multiprocessor cache miss rate
1990,memory consistency event ordering scalable shared-memory multiprocessor
1990,directory-based cache coherence protocol dash multiprocessor
1990,analysis critical architectural program parameter hierarchical shared memory multiprocessor
1989,analytical cache model
1989,simple interprocedural register allocation algorithm effectiveness lisp
1989,characteristic performance-optimal multi-level cache hierarchy
1989,copy elimination functional language
1989,asplos-iii proceeding - third international conference architectural support programming language operating system boston massachusetts usa april 3-6 1989
1988,lisp reduced-instruction-set processor characterization optimization
1988,measurement evaluation mips architecture processor
1988,cache performance operating system multiprogramming workload
1988,evaluation directory scheme cache coherence
1988,performance tradeoff cache design
1988,simple efficient implmentation approach single assignment language
1988,characterizing synchronization behavior parallel program
1987,tag type checking lisp hardware software approach
1986,reducing cost branch
1986,lisp reduced-instruction-set-processor
1986,partitioning parallel program macro-dataflow
1986,compile-time partitioning scheduling parallel program
1985,swami flexible logic implementation system
1984,vlsi processor architecture
1984,register allocation priority-based coloring retrospective
1984,register allocation priority-based coloring
1983,postpass code optimization pipeline constraint
1982,retargetable compiler code generation
1982,design implementation parametric type pascal
1982,compilation pascal case statement
1982,symbolic debugging optimized code
1982,hardware/software tradeoff increased performance
1982,mips machine
1982,mips microprocessor architecture
1982,optimizing delayed branch
1982,code generation reorganization presence pipeline constraint
1981,formal definition real-time language
1981,program optimization exception handling
1981,wsclock - simple effective algorithm virtual memory management
1980,parallelism representation problem distributed system
1980,interactive graphic system custom design
