2001,funding computing revolution third wave
1998,history fortran ii iii
1985,function level semantics program transformation optimization
1981,function level program mathematical object
1981,algebra functional program function level reasoning linear equation extended definition
1979,history fortran ii iii
1978,programming liberated von neumann style functional style algebra program
1973,programming language semantics closed applicative language
1964,fortran
1963,revised report algorithm language algol 60
1963,revised report algorithmic language algol 60
1960,report algorithmic language algol 60
1959,syntax semantics proposed international algebraic language zurich acm-gamm conference
1954,ibm 701 speedcoding system
