2012,system architecture design engineering verification - practice research research practice
2000,longest krnknn 262
1999,unix beyond interview ken thompson
1996,6-piece endgame
1995,plan 9 bell lab
1995,tribute tony scherzer
1993,chess endgame vol 3
1993,use name space plan 9
1993,hello world
1992,chess endgame vol 2
1992,use name space plan 9
1991,new result knpkb knpkn endgame
1991,chess endgame vol 1
1990,kqpkq krpkr ending
1990,result game
1990,reading chess
1989,sixth world computer-chess championship result game
1989,result game
1986,fifth world computer-chess championship
1986,retrograde analysis certain endgame
1986,example qpvq
1985,acms 16th north american computer-chess championship
1985,u open computer-chess championship
1985,acms sixteenth north american computer-chess championship
1984,reflection trusting trust
1983,unix time-sharing system reprint
1983,letter david levy
1983,fourth world computer-chess championship
1983,1983 united state open fredkin incentive match
1981,second world microcomputer chess championship
1981,reprint icca chapter support policy
1981,computer chess master level play 1981
1979,password security - case history
1978,north american computer chess championship 1970-1979
1974,unix time-sharing system
1973,unix time-sharing system abstract
1968,regular expression search algorithm
