2012,algorithmic view universe
2009,undecidability infinite ribbon problem implication computing self-assembly
2002,decidability self-assembly infinite ribbon
2002,combinatorial optimization problem self-assembly
2001,counting point curve abelian variety finite field
2001,running time program size self-assembled square
2000,solution satisfiability problem gel-based dna computer
1999,function field sieve method discrete logarithm finite field
1999,applying molecular computation data encryption standard
1999,subexponential algorithm discrete logarithm hyperelliptic curve large genus gfq
1998,sticker-based model dna computation
1997,quantum computability
1996,counting rational point curve abelian variety finite field
1996,sticker based model dna computation
1996,applying molecular computation data encryption standard
1995,efficient checker number-theoretic computation
1995,constructing molecular computer
1995,algorithmic number theory relationship computational complexity
1994,subexponential algorithm discrete logarithm rational subgroup jacobians large genus hyperelliptic curve finite field
1994,function field sieve
1994,efficient checking computation number theory
1994,open problem number theoretic complexity ii
1994,algorithmic number theory-the complexity contribution
1994,algorithmic number theory first international symposium ants-i ithaca ny usa may 6-9 1994 proceeding
1993,subexponential algorithm discrete logarithm finite field
1991,inductive inference unsolvability
1991,factoring number using singular integer
1990,fast checker cryptography
1988,abstract theory computer virus
1988,using smoothness achieve parallelism abstract
1987,recognizing prime random polynomial time
1986,finding irreducible polynomial finite field
1985,breaking ong-schnorr-shamir signature scheme quadratic number field
1983,method obtaining digital signature public-key cryptosystems reprint
1983,breaking generalized knapsack public key cryptosystems abstract
1982,implementing electronic notary public
1982,breaking iterated merkle-hellman public-key cryptosystem
1982,application higher reciprocity computational number theory abstract
1981,space-bounded simulation multitape turing machine
1981,primality testing
1981,irreducibility testing factorization polynomial extended abstract
1980,distinguishing prime number composite number abstract
1979,subexponential algorithm discrete logarithm problem application cryptography abstract
1979,reduction lie
1978,improved time space bound boolean matrix multiplication
1978,method obtaining digital signature public-key cryptosystems
1978,np-complete decision problem binary quadratic
1978,two theorem random polynomial time
1977,taking root finite field
1977,reducibility randomness intractability abstract
1976,diophantine complexity
1976,np-complete decision problem quadratic polynomial
1975,computational complexity decision procedure polynomial extended abstract
1974,short permutation string
