2018,youre writing program dont use programming language
2017,auxiliary variable tla+
2017,glitch phenomenon
2015,build house without drawing blueprint
2015,turing lecture computer science concurrency early year
2014,coalescing syntactic abstraction reasoning first-order modal logic
2014,incomplete history concurrency chapter 1 1965-1977
2014,coalescing syntactic abstraction reasoning first-order modal logic
2013,adaptive register allocation linear number register
2012,tla + proof
2012,tla+ proof
2011,euclid writes algorithm fairytale
2011,brief announcement leaderless byzantine paxos
2011,byzantizing paxos refinement
2010,mailbox problem
2010,reconfiguring state machine
2010,computer science state machine
2010,verifying safety property tla+ proof system
2010,tla+ proof system building heterogeneous verification platform
2010,verifying safety property tla+ proof system
2009,teaching concurrency
2009,pluscal algorithm language
2009,tla+ whence wherefore whither
2009,vertical paxos primary-backup replication
2008,implementing dataflow thread
2008,tla+ proof system
2008,mailbox problem
2008,tla+ proof system
2007,formal specification web service protocol
2007,disc 20th anniversary invited talk time clock ordering idea distributed system
2006,fast paxos
2006,lower bound asynchronous consensus
2006,consensus transaction commit
2006,+cal algorithm language
2006,+cal algorithm language
2006,checking multithreaded algorithm +cal
2005,real-time model checking really simple
2005,fast eventual synchrony lead consensus
2004,formal specification web service protocol
2004,recent discovery paxos
2004,cheap paxos
2004,consensus transaction commit
2003,disk paxos
2003,arbitration-free synchronization
2003,checking cache-coherence protocol tla+
2003,lower bound asynchronous consensus
2002,specifying system tla+ language tool hardware software engineer
2002,high-level specification lesson industry
2002,paxos made simple fast byzantine
2002,specifying verifying system tla+
2000,fairness hyperfairness
2000,correct mutual exclusion algorithm guarantee mutual exclusion
2000,distributed algorithm tla abstract
2000,disk paxos
1999,lazy caching tla
1999,specification language typed
1999,model checking tla+ specification
1999,cache coherence verification tla+
1998,proving possibility property
1998,part-time parliament
1998,reduction tla
1997,make correct multiprocess program execute correctly multiprocessor
1997,process eye beholder
1997,composition way make proof harder
1996,managing proof abstract
1995,da latex-handbuch
1995,conjoining specification
1995,tla picture
1994,latex - document preparation system user guide reference manual second edition
1994,write long formula short communication
1994,temporal logic action
1994,old-fashined recipe real-time
1994,rpc-memory specification problem - problem statement
1994,tla solution rpc-memory specification problem
1994,tla picture
1994,good specification method
1994,specifying verifying fault-tolerant system
1994,open system tla
1994,decomposing specification concurrent system
1994,tlz
1993,composing specification
1993,verification multiplier 64 bit beyond
1993,verification specification concurrent program
1992,critique lake arrowhead three
1992,computer-hindered verification human
1992,mechanical verification concurrent system tla
1992,hybrid system tla+
1992,mechanical verification concurrent system tla
1991,preserving liveness comment safety liveness methodological point view
1991,existence refinement mapping
1991,old-fashioned recipe real time
1990,theorem atomicity distributed algorithm
1990,concurrent reading writing clock
1990,win sin predicate transformer concurrency
1990,distributed computing model method
1989,simple approach specifying concurrent system
1989,realizable unrealizable specification reactive system
1989,composing specification
1988,control predicate better dummy variable reasoning program control
1988,waiting millennium formal specification verficiation concurrent system abstract
1988,existence refinement mapping
1988,lattice-structured proof minimum spanning
1987,fast mutual exclusion algorithm
1986,latex user guide & reference manual
1986,interprocess communication part basic formalism
1986,interprocess communication part ii algorithm
1986,mutual exclusion problem part - theory interprocess communication
1986,mutual exclusion problem partii - statement solution
1986,byzantine clock synchronization
1985,synchronizing clock presence fault
1985,solved problem unsolved problem non-problems concurrency
1985,distributed snapshot determining global state distributed system
1985,mean concurrent program satisfy specification one specified priority
1985,constraint uniform approach aliasing typing
1985,distributed system method tool specification advanced course april 3-12 1984 april 16-25 1985 munich germany
1984,using time instead timeout fault-tolerant distributed system
1984,hoare logic csp
1984,basic concept
1984,formal foundation specification verification
1984,paradigm distributed program
1984,solved problem unsolved problem non-problems concurrency invited address
1984,byzantine clock synchronization
1983,weak byzantine general problem
1983,specifying concurrent program module
1983,problem workshop analysis concurrent system
1983,good temporal logic
1983,reasoning nonatomic operation
1982,assertional correctness proof distributed algorithm
1982,byzantine general problem
1982,proving liveness property concurrent program
1981,password authentification insecure communication
1981,timesets -- new method temporal reasoning program
1981,program logic program verification position paper
1980,hoare logic concurrent program
1980,reaching agreement presence fault
1980,sometime sometimes never - temporal logic program
1979,proof correctness calendar program
1979,make multiprocessor computer correctly executes multiprocess program
1979,new approach proving correctness multiprocess program
1978,time clock ordering event distributed system
1978,on-the-fly garbage collection exercise cooperation
1978,implementation reliable distributed multiprocess system
1978,specification proof correctness interactive program
1977,concurrent reading writing
1977,proving correctness multiprocess program
1976,synchronization independent process
1976,comment synchronization anomaly
1975,multiple byte processing full-word instruction
1975,on-the-fly garbage collection exercise cooperation
1974,parallel execution loop
1974,new solution dijkstras concurrent programming problem
1974,hyperplane method array computer
1970,comment bell quadratic quotient method hash coded searching
