2018,observation holographic algorithm
2017,capacity neural network lifelong learning composable task
2013,complexity symmetric boolean parity holant problem
2012,hippocampus stable memory allocator cortex
2012,algorithmic view universe
2011,bridging model multi-core computing
2011,complexity symmetric boolean parity holant problem - extended abstract
2010,evolution drifting target
2010,observation holographic algorithm
2010,evolution drifting target
2009,evolvability
2009,experience-induced neural circuit achieve high capacity
2009,neural computation support long mixed sequence knowledge acquisition task
2008,holographic algorithm
2008,learning power evolution
2008,bridging model multi-core computing
2008,knowledge infusion pursuit robustness artificial intelligence
2008,first experimental demonstration massive knowledge infusion
2007,evolvability
2006,quantitative theory neural computation
2006,knowledge infusion
2006,accidental algorithm
2006,evolvability
2005,memorization association realistic neural model
2005,completeness parity problem
2005,holographic circuit
2005,memorization association realistic neural model
2005,holographic algorithm
2004,holographic algorithm extended abstract
2003,three problem computer science
2002,quantum circuit simulated classically polynomial time
2002,expressiveness matchgates
2001,quantum computer simulated classically polynomial time
2000,robust logic
2000,neuroidal architecture cognitive computation
1999,projection learning
1999,relational learning nlp using linear threshold element
1999,robust logic
1998,projection learning
1998,neuroidal architecture cognitive computation
1996,managing complexity neurodial circuit
1995,circuit mind
1995,rationality
1995,cognitive computation extended abstract
1995,bulk synchronous parallel computing-a paradigm transportable software
1994,cryptographic limitation learning boolean formula finite automaton
1994,learning boolean formula
1994,direct bulk-synchronous parallel algorithm
1994,computational model cognition abstract
1993,bsp computer
1993,cryptographic limitation learning boolean formula finite automaton
1992,combining mechanism parallel computer
1992,direct bulk-synchronous parallel algorithm
1991,proceeding fourth annual workshop computational learning theory colt 1991 santa cruz california usa august 5-7 1991
1990,bridging model parallel computation
1990,general purpose parallel architecture
1989,general lower bound number example needed learning
1989,cryptographic limitation learning boolean formula finite automaton
1988,computational limitation learning example
1988,functionality neural net
1988,functionality neural net
1988,general lower bound number example needed learning
1987,logarithmic time sort linear size network
1987,recent development theory learning abstract
1987,learnability boolean formula
1986,negation powerless boolean slice function
1986,random generation combinatorial structure uniform distribution
1986,np easy detecting unique solution
1986,pragmatic aspect complexity theory panel
1985,complexity theory based boolean algebra
1985,learning disjunction conjunction
1985,np easy detecting unique solution
1984,theory learnable
1984,short monotone formula majority function
1984,theory learnable
1983,fast parallel computation polynomial using processor
1983,optimality two-phase strategy routing interconnection network
1983,size bound superconcentrators
1983,logarithmic time sort linear size network
1983,exponential lower bound restricted monotone circuit
1982,scheme fast parallel communication
1981,addendum computing multivariate polynomial parallel
1981,fast parallel algorithm routing permutation network
1981,universality consideration vlsi circuit
1981,complexity theory based boolean algebra
1981,fast parallel computation polynomial using process
1981,universal scheme parallel communication
1980,computing multivariate polynomial parallel
1980,negation exponentially powerful
1979,fast probabilistic algorithm hamiltonian circuit matchings
1979,complexity enumeration reliability problem
1979,complexity computing permanent
1979,negation exponentially powerful
1979,completeness class algebra
1979,negative result counting
1978,complexity combinatorial computation introduction
1977,time versus space
1977,graph-theoretic argument low-level complexity
1977,fast probabilistic algorithm hamiltonian circuit matchings
1976,note succinctness description deterministic language
1976,relative complexity checking evaluating
1976,shifting graph application
1976,graph-theoretic property computational complexity
1976,circuit size nonlinear depth
1976,equivalence problem d0l system decidability binary alphabet
1976,universal circuit preliminary report
1975,regularity related problem deterministic pushdown automaton
1975,general context-free recognition le cubic time
1975,deterministic one-counter automaton
1975,parallelism comparison problem
1975,time versus space related problem
1975,non-linear lower bound computational complexity
1974,equivalence problem deterministic finite-turn pushdown automaton
1974,decidability equivalence deterministic finite-turn pushdown automaton
1973,decision procedure family deterministic pushdown automaton
1973,deterministic one-counter automaton
