2017,cybersecurity nuclear security alan turing illogical logic
2016,cybersecurity nuclear security alan turing illogical logic
1994,differential-linear cryptanalysis
1992,response nist proposal
1988,time-memory-processor trade-off
1987,chosen-key attack block cipher
1983,secret sharing system
1983,largest super-increasing subset random set
1982,cryptographic key size issue
1982,fast computation discrete logarithm gfq
1982,drainage de
1981,security multiple encryption
1981,another cryptanalytic attack cryptosystem multiple communication
1981,necessity exhaustive search system-invariant cryptanalysis
1981,time-memory-processor tradeoff
1980,cryptanalytic time-memory trade-off
1980,difficulty computing logarithm gfqm
1979,convolutional encoding wyners wiretap channel corresp
1978,improved algorithm computing logarithm gfp cryptographic significance corresp
1978,gaussian wire-tap channel
1978,hiding information signature trapdoor knapsack
1978,security communication network
1977,special feature exhaustive cryptanalysis nb data encryption standard
1977,extension shannon theory approach cryptography
1977,note wyners wiretap channel corresp
1976,optimal finite memory learning algorithm finite sample problem
1976,concerning bound undetected error probability corresp
1976,new direction cryptography
1976,multiuser cryptographic technique
1975,tree coding fidelity criterion
1975,convolutional source encoding
1974,finite-memory algorithm estimating mean gaussian distribution corresp
1972,hypothesis testing finite memory finite time corresp
1972,effect randomization finite-memory decision scheme
1972,confidence model finite-memory learning system corresp
1970,two-armed-bandit problem time-invariant finite memory
1970,probability error equivocation chernoff bound
1970,finite-memory hypothesis testing-comments critique corresp
1970,nearest neighbor classification rule reject option
