2004,birth object orientation simula language
2002,root object orientation simula language
2002,class subclass declaration reprint
1998,subtyping constructive specification
1998,introducing higher order function abel
1996,recent trend data type specification 11th workshop specification abstract data type joint 8th compass workshop oslo norway september 19-23 1995 selected paper
1992,verifiable programming
1991,generator induction order sorted algebra
1991,formal development abel
1990,object orientation formal technique
1987,object-oriented specification
1979,time swquences tool describing program behaviour
1974,approach correctness proof semicoroutines
1972,structured programming
1966,simula - algol-based simulation language
