2014,historical perspective speech recognition
2013,convergence machine biological intelligence
2012,human machine intelligence
2008,transmembrane helix prediction using amino acid property feature latent semantic analysis
2007,improving pronunciation inference using n-best list acoustic orthography
2006,robotics intelligent system support society
2006,interview challenge emerging economy
2006,digital library india testbed indian language research
2006,collaborative discovery biological language modeling interface
2005,origin american association artificial intelligence
2004,computational biology language
2003,three open problem ai
1998,innovation obstacle future computing
1997,integral approach free-form object modeling
1997,investment computing research pay
1996,dream possible dream - turing award lecture
1996,challenge artificial intelligence
1995,informedia digital video library
1995,grand challenge ai
1995,principal component analysis missing data application polyhedral object modeling
1995,universal library intelligent agent information demand
1995,integral approach free-formed object modeling
1994,principal component analysis missing data application object modeling
1994,virtual reality modeling sequence range image
1994,spoken-language research carnegie mellon
1993,spoken-language research carnegie mellon
1992,memoriam - dennis oconnor 1938-1992
1992,spoken-language research carnegie mellon
1991,spoken-language research carnegie mellon
1990,overview sphinx speech recognition system
1990,translating telephone problem prospect
1990,speech research carnegie mellon
1989,speech research carnegie mellon
1989,speech research carnegie mellon
1988,foundation grand challenge artificial intelligence aaai presidential address
1983,step toward graceful interaction spoken written man-machine communication
1981,breaking man-machine communication barrier
1980,hearsay-ii speech-understanding system integrating knowledge resolve uncertainty
1979,matching segment image
1979,graceful interaction man-machine communication
1977,speech understanding system
1977,knowledge guided learning structural description
1977,locus model search use image interpretation
1977,change detection analysis multispectral image
1977,proceeding 5th international joint conference artificial intelligence cambridge usa august 22-25 1977
1976,system organization speech understanding implication network multiprocessor computer architecture ai
1976,hearsay- speech understanding system example recognition process
1973,hearsay speech understanding system example recognition process
1973,system organization speech understanding implication network multiprocessor computer architecture ai
1972,xcribl - hardcopy scan line graphic system document generation
1972,workshop hard copy line graphic
1971,speech recognition prospect seventy
1968,computer hand eye ear
1967,pitch period determination speech sound
