1996,die sprache der maschinen
1990,addition machine
1982,compilation regular expression integrated circuit
1980,compilation regular expression integrated circuit extended abstract
1979,paradigm programming
1978,exact approximate membership tester
1975,expected time bound selection
1975,algorithm select - finding ith smallest n element m1 algorithm 489
1975,exact time required perform generalized addition
1973,linear time two tape merge
1973,time bound selection
1973,proceeding 5th annual acm symposium theory computing april 30 - may 2 1973 austin texas usa
1972,erratum note avoiding go statement
1972,interpretation-oriented theorem prover integer
1972,permuting information idealized two-level storage
1972,linear time bound median computation
1971,note avoiding go statement
1971,toward interactive design correct program
1970,interpretation oriented theorem prover integer
1967,nondeterministic algorithm
1964,bounded context syntactic analysis
1964,algorithm 245 treesort
1964,syntax programming languages-a survey
1963,syntactic analysis operator precedence
1962,algorithm 96 ancestor
1962,algorithm 97 shortest path
1962,algorithm 113 treesort
1962,nonexistence phrase structure grammar algol 60
1962,ambiguity phrase structure language
1961,algorithm coding efficient arithmetic operation
1961,note mathematical induction phrase structure grammar
1961,descriptive language symbol manipulation
1960,algorithm defining algol assignment statement
1960,note amplification
