2018,Matrix Capsules with EM Routing
2016,Layer normalization. NIPS-2016 workshop
2014,Where do features come from?
2013,Modeling Documents with a Deep Boltzmann Machine
2013,On Rectified Linear Units for Speech Processing
2013,Modeling Natural Images Using Gated MRFs
2013,Tensor Analyzers
2012,ImageNet Classification with Deep Convolutional Neural Networks
2012,Robust Boltzmann Machines for Recognition and Denoising
2011,Generating Text with Recurrent Neural Networks
2011,A new way to learn acoustic events
2011,Transforming Auto-encoders
2011,Deep Belief Nets for Natural Language Call-Routing
2010,Generating more realistic images using gated MRF's
2010,Rectified linear units improve restricted Boltzmann machines
2010,Learning to represent visual input
2010,Temporal Kernel Recurrent Neural Networks
2010,Phone Recognition using Restricted Boltzmann Machines
2009,Implicit Mixtures of Restricted Boltzmann Machines
2009,The Recurrent Temporal Restricted Boltzmann Machine
2007,Restricted Boltzmann Machines for Collaborative Filtering
2007,Unsupervised learning of image transformations
2007,Learning Multilevel Distributed Representations for High-dimensional Sequences
2005,Improving dimensionality reduction with spectral gradient descent
2005,Multiple Relational Embedding
2003,Energy-Based Models for Sparse Overcomplete Representations
2003,Stochastic Neighbor Embedding
2003,Self-Supervised Boosting
2003,The ups and downs of Hebb synapses
2001,A New View of ICA
2001,Training Many Small Hidden Markov Models
2001,Products of Hidden Markov Models
2000,Modelling High-Dimensional Data by Combining Simple Experts
2000,Spiking Boltzmann machines
2000,Learning to parse images
2000,SMEM algorithm for mixture models
1999,Unsupervised Learning
1998,Cascaded redundancy reduction
1997,A hierarchical community of experts
1997,Instantiating deformable models with a neural net
1996,Varieties of Helmholtz machines
1996,Free energy coding
1995,The wake-sleep algorithm for unsupervised Neural Networks
1995,The Helmholtz machine through time
1993,Simulating brain damage
1993,Learning mixture models of spatial coherence
1992,Combining two methods of recognizing hand-printed digits
1992,Simplifying neural networks by soft weight sharing
1992,How neural networks learn from experience
1990,Discovering higher-order features with mean field networks
1990,Mapping part-whole hierarchies into connectionist networks
1989,Connectionist learning procedures
1988,A distributed connectionist production system
1988,Scene-based and viewer-centered representations for comparing shapes
1987,The horizontal-vertical delusion
1987,How learning can guide evolution
1987,Learning sets of filters using back-propagation
1986,Learning representations by back-propagating errors
1986,Learning distributed representations of concepts
1986,The appeal of for Parallel Distributed Processing
1986,A general framework for Parallel Distributed Processing
1986,Distributed representations
1986,Learning and relearning in Boltzmann machines
1986,Learning internal representations by error propagation
1985,A learning algorithm for Boltzmann machines
1985,Shape recognition and illusory conjunctions
1984,Parallel computations for controlling an arm
1984,Some computational solutions to Bernstein's problems
1983,Optimal perceptual inference
1981,Parallel models of associative memory
1981,Shape representation in parallel systems
1979,Imagery without Arrays
