1989,Organithms: the dynamics of software evolution.
1986,Two Thousand Words and Two Thousand Ideas-The 650 at Carnegie.
1986,FAC: A Functional APL Language.
1985,Another View of Software (Panel).
1982,A Syntax-Free Semantics for the APL Operators.
1982,Epigrams on Programming.
1981,Klaus Samelson.
1979,Social Processes and Proofs of Theorems and Programs.
1977,Social Processes and Proofs of Theorems and Programs.
1973,"Proceedings of the Fourth Symposium on Operating System Principles, SOSP 1973, Thomas J. Watson, Research Center, Yorktown Heights, New York, USA, October 15-17, 1973."
1969,Identifying and developing curricula in software engineering.
1967,A proposal for definitions in ALGOL.
1967,The Synthesis of Algorithmic Systems.
1966,A new policy for algorithms?
1964,A format language.
1964,An extension to ALGOL for manipulating formulae.
1964,Programming of digital computers.
1964,How should ACM publish computer research?
1963,Revised report on the algorithm language ALGOL 60.
1963,Computation's development critical to our society.
1963,Revised report on the algorithmic language ALGOL 60.
1962,Compiling matrix operations.
1961,The use of threaded lists in constructing a combined ALGOL and machine-like assembly processor.
1960,Symbol Manipulation by Threaded Lists.
1960,Report on the algorithmic language ALGOL 60.
1959,A Visit to Computation Centers in the Soviet Union.
1959,ALGOL Sub-Committee Report - Extensions.
1959,ACM Publication Policies and Plans.
1959,Report on the Algorithmic Language ALGOL the ACM committee on programming languages and the GAMM committee on programming.
1959,Symposium on automatic programming.
1958,Preliminary Report-International Algebraic Language.
