2013,Reconfigurable computing in the era of post-silicon scaling [panel discussion].
2012,Computer Architecture.
2010,Improving the future by examining the past.
2007,A design for high-performance flash disks.
1993,The Alpha Demonstration Unit: A High-Performance Multiprocessor.
1993,High Speed Switch Scheduling for Local Area Networks.
1992,The Alpha Demonstration Unit: A High-performance Multiprocessor for Software and Chip Development.
1992,High Speed Switch Scheduling for Local Area Networks.
1991,"Autonet: A High-Speed, Self-Configuring Local Area Network Using Point-to-Point Links."
1988,Firefly: A Multiprocessor Workstation.
1987,Firefly: A Multiprocessor Workstation.
