2019,Computer-supported Exploration of a Categorical Axiomatization of Modeloids.
2018,Axiom Systems for Category Theory in Free Logic.
2016,Automating Free Logic in Isabelle/HOL.
2016,Axiomatizing Category Theory in Free Logic.
2014,Stochastic λ-calculi: An extended abstract.
2014,Cartesian closed categories of separable Scott domains.
2013,Dedication.
2012,Lambda Calculus Then and Now.
2009,"Semilattices, Domains, and Computability (Invited Talk)."
2008,Reconsidering Ordered Pairs.
2004,Equilogical spaces.
2002,Local Realizability Toposes and a Modal Logic for Computability.
2001,A New Category for Semantics.
2000,Effective versions of equilogical spaces.
2000,"Powersets, Fixed Points, and Lambda Calculus."
2000,Some Reflections on Strachey and His Work.
1999,Local Realizability Toposes and a Modal Logic for Computability.
1999,Preface.
1998,Type Theory via Exact Categories.
1996,Symbolic Computation and Teaching.
1996,What Can We Hope to Achieve From Automated Deduction? (Abstract).
1994,A. Nico Habermann 1932-1993.
1993,"A Type-Theoretical Alternative to ISWIM, CUCH, OWHY."
1992,Extensional PERs.
1991,Will Logicians be Replaced by Machines?
1990,Extensional PERs.
1990,Semantic Domains.
1989,Domains and Logics (Extended Abstract).
1986,Capturing Concepts with Data Structures.
1985,Semantically Based Programming Tools (Summary).
1983,First Steps Towards Inferential Programming.
1982,Domains for Denotational Semantics.
1977,Logic and Programming Languages.
1977,"European Meeting of the Association for Symbolic Logic: Oxford, England, 1976."
1976,Data Types as Lattices.
1975,Combinators and classes.
1975,Some philosophical issues concerning theories of combinators.
1972,Mathematical concepts in programming language semantics.
1971,The lattice of flow diagrams.
1967,Some Definitional Suggestions for Automata Theory.
1967,A Proof of the Independence of the Continuum Hypothesis.
1959,Finite Automata and Their Decision Problems.
1958,Foundational Aspects of Theories of Measurement.
1958,Generalization of a Lemma of G. F. Rose.
