2009,"Derivability, redundancy and consistency of relations stored in large data banks."
2002,A Relational Model of Data for Large Shared Data Banks (Reprint).
1990,"The Relational Model for Database Management, Version 2."
1989,Fatal Flaws in SQL - Part ONE.
1989,Fatal Flaws in SQL - Part Two.
1989,"Response to ""Why Codd's Rule No. 6 Must be Reformulated""."
1988,'Universal' Relation Fails to Replace Relational Model (letter to the editor).
1987,More Commentary on Missing Information in Relational Databases (Applicable and Inapplicable Information).
1986,Missing Information (Applicable and Inapplicable) in Relational Databases.
1986,An Evaluation Scheme for Database Management Systems that are claimed to be Relational.
1983,A Relational Model of Data for Large Shared Data Banks (Reprint).
1982,Relational Database: A Practical Foundation for Productivity.
1981,The Significance of the SQL/Data System Announcement.
1981,The Capabilities of Relational Database Management Systems.
1980,Workshop Summary (discussion).
1980,Data Models in Database Management.
1979,Extending the Database Relational Model to Capture More Meaning.
1979,Extending the Data Base Relational Model to Capture More Meaning (Abstract).
1978,How About Recently? (English Dialog with Relational Data Bases Using Rendevous Version 1).
1978,RENDEZVOUS Version 1: An Experimental English Language Query Formulation System for Casual Users of Relational Data Bases.
1977,Access to relational data bases for a casual user.
1975,Understanding Relations (Installment #6).
1975,Implementation of Relational Data Base Management Systems (NCC 1975 Panel).
1975,Understanding Relations (Installment #7).
1975,Data base management.
1975,Recent Investigations in Relational Data Base Systems.
1974,Understanding Relations (Third Installment).
1974,Understanding Relations (Installment #4).
1974,Understanding Relations (Installment #5).
1974,Interactive Support for Non-Programmers: The Relational and Network Approaches.
1974,Recent Investigations in Relational Data Base Systems.
1974,Interactive Support For Non-Programmers: The Relational and Network Approaches.
1974,The Relational and Network Approaches: Comparison of the Application Programming Interfaces.
1974,Seven Steps to Rendezvous with the Casual User.
1973,Understanding Relations.
1973,Understanding Relations.
1973,The Gamma-0 n-ary Relational Data Base Interface Specifications of Objects and Operations.
1972,Relational Completeness of Data Base Sublanguages.
1971,Impressions of the 1970 ACM-SIGFIDET Workshop.
1971,Data Base Sublanguage Founded on the Relational Calculus.
1971,Further Normalization of the Data Base Relational Model.
1971,Normalized Data Base Structure: A Brief Tutorial.
1971,Normalized Data Structure: A Brief Tutorial.
1971,A Database Sublanguage Founded on the Relational Calculus.
1971,"Proceedings of 1971 ACM-SIGFIDET Workshop on Data Description, Access and Control, San Diego, California, USA, November 11-12, 1971."
1970,A Relational Model of Data for Large Shared Data Banks.
1969,"Derivability, Redundancy and Consistency of Relations Stored in Large Data Banks."
1962,Multiprogramming.
1960,Multiprogram Scheduling Parts 1 and 2: Introduction and Theory.
1960,Multiprogram Scheduling Parts 3 and 4: Scheduling Algorithm and External Constraints.
1959,Multiprogramming STRETCH: Feasibility Considerations.
