2012,"Systems Architecture, Design, Engineering, and Verification - The Practice in Research and Research in Practice."
2003,On computer system challenges.
1992,CTSS-the compatible time-sharing system.
1992,Project MAC (time-sharing computing project).
1992,The Project MAC interviews.
1991,On Building Systems That Will Fail.
1972,Multics: the first seven years.
1968,Some considerations of supervisor program design for multiplexed computer systems.
1963,The linking segment subprogram language and linking loader.
1963,On the Coding of Jacobi's Method for Computing Eigenvalues and Eigenvectors of Real Symmetric Matrices.
1959,Generation of Spherical Bessel Functions in Digital Computers.
