2014,Author retrospective for PTRAN's analysis and optimization techniques.
2012,Programming Languages - Past Achievements and Future Challenges.
2008,Compilers and parallel computing systems.
2008,Compilers and parallel computing systems.
2001,Blue Gene: A vision for protein science using a petaflop supercomputer.
2000,"Not Now, Not Like This."
1999,Turning Points in Interaction with Computers.
1990,"Conference Record of the Seventeenth Annual ACM Symposium on Principles of Programming Languages, San Francisco, California, USA, January 1990."
1988,An Overview of the PTRAN Analysis System for Multiprocessing.
1988,A framework for determining useful parallelism.
1987,An Overview of the PTRAN Analysis System for Multiprocessing.
1982,A technological review of the FORTRAN I compiler.
1982,"Proceedings of the SIGPLAN '82 Symposium on Compiler Construction, Boston, Massachusetts, USA, June 23-25, 1982."
1981,The History of Language Processor Technology in IBM.
1980,The Experimental Compiling System.
1979,Automatic storage optimization (with retrospective).
1976,A Program Data Flow Analysis Procedure.
1974,Interprocedural Analysis and the Information derived by it.
1974,Interprocedural Data Flow Analysis.
1971,A Basis for Program Optimization.
