2013,Causality in Bayesian Belief Networks.
2002,"Sur le colloque Sciences de l'Intelligence, Sciences de l'ArtificielExtraits des commentaires et des réponses aux questions."
2001,Complex Systems: The Interplay of Organizations and Markets in Contemporary Society.
2001,The Role of Software Engineering in Systems for Design and Process Control.
2000,Five seconds or sixty? Presentation time in expert memory.
1999,editorial: Cognitive modeling in perspective.
1999,A Time for Talk and a Time for Silence.
1998,Discovering Explanations.
1998,Human and Machine Interpretation of Expressions in Formal Systems.
1997,Scientific Discovery and Simplicity of Method.
1997,The future of information systems.
1997,The Implications of Kasparov vs. Deep Blue.
1997,Collaborative Discovery in a Scientific Domain.
1997,CaMeRa: A Computational Model of Multiple Representations.
1997,Logic and Thought.
1995,Artificial Intelligence: An Empirical Science.
1995,Applications of Machine Learning and Rule Induction.
1995,Internal Representation and Rule Development in Object-Oriented Design.
1995,Models of test selection.
1995,"Explaining the Ineffable: AI on the Topics of Intuition, Insight and Inspiration."
1994,Causality and Model Abstraction.
1994,Reply to Touretzky and Pomerleau: Reconstructing Physical Symbol Systems.
1994,What you see is what you get - but do you get what you see?
1993,"Retrospective on ""Causality in Device Behavior""."
1993,Allen Newell: The Entry into Complex Information Processing.
1993,Anecdotes-a very early expert system.
1993,Situated Action: A Symbolic Interpretation.
1993,Situated Action: Reply to Reviewers.
1993,Situated Action: Reply to William Clancey.
1993,Scientific Model-Building as Search in Matrix Spaces.
1993,Artificial Intelligence as an Experimental Science (Abstract).
1993,Causality in Bayesian Belief Networks.
1992,Directions for Qualitative Reasoning.
1992,The Right Representation for Discovery: Finding the Conservation of Momentum.
1991,Nonmonotonic Reasoning and Causation: Comment.
1991,The Mathematical Bases for Qualitative Reasoning.
1991,"Artificial Intelligence: Where Has It Been, Where is it Going?"
1990,Laboratory Replication of Scientific Discovery Processes.
1990,Prediction and Prescription in Systems Modeling.
1990,Optimal probe selection in diagnostic search.
1989,The Role of Experimentation in Scientific Theory Revision.
1989,Rule Creation and Rule Learning Through Environmental Exploration.
1988,The Processes of Scientific Discovery: The Strategy of Experimentation.
1988,Prospects for Cognitive Science.
1987,Why a Diagram is (Sometimes) Worth Ten Thousand Words.
1986,Causality in Device Behavior.
1986,Theories of Causal Ordering: Reply to de Kleer and Brown.
1986,Information Processing Language V on the IBM 650.
1986,A Theory of Historical Discovery: The Construction of Componential Models.
1986,Whether Software Engineering Needs to Be Artificially Intelligent.
1984,EPAM-like Models of Recognition and Learning.
1983,Search and Reasoning in Problem Solving.
1983,Three Facets of Scientific Discovery.
1981,Prometheus or Pandora: The Influence of Automation on Society.
1981,Information-processing models of cognition.
1981,BACON.5: The Discovery of Conservation Laws.
1980,Cognitive Science: The Newest Science of the Artificial.
1980,Models of Competence in Solving Physics Problems.
1977,Problem Solving in Semantically Rich Domains: An Example from Engineering Thermodynamics.
1977,History of Artificial Intelligence.
1977,Artificial Intelligence Systems That Understand.
1976,Computer Science as Empirical Inquiry: Symbols and Search.
1975,Optimal Problem-Solving Search: All-Oor-None Solutions.
1974,'Losing move': an information processing concept.
1973,The Structure of Ill Structured Problems.
1973,Lessons from Perception for Chess-Playing Programs (and vice versa).
1971,The Theory of Problem Solving.
1966,A chess mating combinations program.
1963,Experiments with a Heuristic Compiler.
1962,Simulation of human verbal learning behavior.
1962,Generalization of an Elementary Perceiving and Memorizing Machine.
1961,"Reply to ""Final Note"" by Benoit Mandelbrot."
1961,Reply to Dr. Mandelbrot's Post Scriptum.
1960,Some Further Notes on a Class of Skew Distribution Functions.
1959,Report on a general problem-solving program.
1958,Chess-Playing Programs and the Problem of Complexity.
1956,The logic theory machine-A complex information processing system.
1954,The Control of Inventories and Production Rates - A Survey.
