2019,Computational sustainability: computing for a better world and a sustainable future.
2019,Locally-biased spectral approximation for community detection.
2019,Krylov Subspace Approximation for Local Community Detection in Large Networks.
2019,A new anchor word selection method for the separable topic discovery.
2019,Adaptive Wavelet Clustering for Highly Noisy Data.
2019,Improving the Generalization of Adversarial Training with Domain Adaptation.
2019,AT-GAN: A Generative Attack Model for Adversarial Transferring on Generative Adversarial Nets.
2019,A New Anchor Word Selection Method for the Separable Topic Discovery.
2019,Adversarially Robust Generalization Just Requires More Unlabeled Data.
2019,Nesterov Accelerated Gradient and Scale Invariance for Improving Transferability of Adversarial Examples.
2019,Robust Local Features for Improving the Generalization of Adversarial Training.
2018,Hidden community detection in social networks.
2018,Neighbourhood-preserving dimension reduction via localised multidimensional scaling.
2018,Local Spectral Clustering for Overlapping Community Detection.
2018,Curvature-based Comparison of Two Neural Networks.
2018,Towards Understanding Learning Representations: To What Extent Do Different Neural Networks Learn the Same Representation.
2018,Curvature-based Comparison of Two Neural Networks.
2018,Improving the Generalization of Adversarial Training with Domain Adaptation.
2018,Towards Understanding Learning Representations: To What Extent Do Different Neural Networks Learn the Same Representation.
2018,Adaptive Wavelet Clustering for Highly Noisy Data.
2017,Computer Science in the Information Age.
2017,Stacked Generative Adversarial Networks.
2017,"Snapshot Ensembles: Train 1, Get M for Free."
2017,Learning Latent Topics from the Word Co-occurrence Network.
2017,Deep Compression on Convolutional Neural Network for Artistic Style Transfer.
2017,Local Lanczos Spectral Approximation for Community Detection.
2017,Hidden Community Detection in Social Networks.
2017,"Snapshot Ensembles: Train 1, get M for free."
2017,Understanding Deep Representations through Random Weights.
2017,The Local Dimension of Deep Manifold.
2017,Krylov Subspace Approximation for Local Community Detection.
2016,Special Issue for FAW 2014.
2016,Nonlinear Dimension Reduction by Local Multidimensional Scaling.
2016,A Powerful Generative Model Using Random Weights for the Deep Image Representation.
2016,In a World That Counts: Clustering and Detecting Fake Social Engagement at Scale.
2016,The Lifecycle and Cascade of WeChat Social Messaging Groups.
2016,Convergent Learning: Do different neural networks learn the same representations?
2016,A Powerful Generative Model Using Random Weights for the Deep Image Representation.
2016,Stacked Generative Adversarial Networks.
2015,Frontiers of Algorithmics.
2015,Use of Local Group Information to Identify Communities in Networks.
2015,Detecting Overlapping Communities from Local Spectral Subspaces.
2015,Convergent Learning: Do different neural networks learn the same representations?
2015,Uncovering the Small Community Structure in Large Networks: A Local Spectral Approach.
2015,Revealing Multiple Layers of Hidden Community Structure in Networks.
2015,Uncovering the Small Community Structure in Large Networks: A Local Spectral Approach.
2015,Overlapping Community Detection via Local Spectral Clustering.
