2014,"Cryptography miracles, secure auctions, matching problem verification."
2012,Strictly-Black-Box Zero-Knowledge and Efficient Validation of Financial Transactions.
2012,Never too early to begin: computer science for high-school students.
2009,Cryptographic Combinatorial Clock-Proxy Auctions.
2008,"Practical secrecy-preserving, verifiably correct and trustworthy auctions."
2007,Highly Efficient Secrecy-Preserving Proofs of Correctness of Computations and Applications.
2007,DISC 20th Anniversary: Invited Talk Provably Unbreakable Hyper-Encryption Using Distributed Systems.
2006,"Practical secrecy-preserving, verifiably correct and trustworthy auctions."
2005,Provably unbreakable hyper-encryption in the limited access model.
2005,How To Exchange Secrets with Oblivious Transfer.
2004,Identity-Based Zero Knowledge.
2003,Hyper Encryption and Everlasting Secrets.
2003,Zero-Knowledge Sets.
2002,Online Scheduling of Parallel Programs on Heterogeneous Systems with Applications to Cilk.
2002,Everlasting security in the bounded storage model.
2002,Hyper-Encryption and Everlasting Security.
2001,Linear-Consistency Testing.
2000,Scheduling Cilk multithreaded parallel programs on processors of different speeds.
1999,Information Theoretically Secure Communication in the Limited Storage Space Model.
1999,Verifiable Random Functions.
1999,Linear Consistency Testing.
1999,Linear Consistency Testing.
1998,Lower Bounds for Randomized Mutual Exclusion.
1998,"Authentication, Enhanced Security and Error Correcting Codes (Extended Abstract)."
1998,Simplified VSS and Fast-Track Multiparty Computations with Applications to Threshold Cryptography.
1997,Correctness of Programs and Protocols through Randomization (Extended Abstract).
1997,"DNA2DNA computations: A potential ""killer app?""."
1997,"Hashing on strings, cryptography, and protection of privacy."
1996,Computationally Hard Algebraic Problems (extended abstract).
1995,On Lotteries with Unique Winners.
1995,"Parallel Processing on Networks of Workstations: A Fault-Tolerant, High Performance Approach."
1994,Clock Construction in Fully Asynchronous Parallel Systems and PRAM Simulation.
1993,Highly Efficient Asynchronous Execution of Large-Grained Parallel Programs.
1993,Lower bounds for randomized mutual exclusion.
1992,Clock Construction in Fully Asynchronous Parallel Systems and PRAM Simulation (Extended Abstract).
1992,Dependable Parallel Computing by Randomization (Abstract).
1992,Randomized Mutual Exclusion Algorithms Revisited.
1992,Efficient Program Transformations for Resilient Parallel Computation via Randomization (Preliminary Version).
1991,Set systems with no union of cardinality 0 modulom.
1989,Biased Coins and Randomized Algorithms.
1989,"Efficient dispersal of information for security, load balancing, and fault tolerance."
1989,Maximum Matchings in General Graphs Through Randomization.
1989,ITOSS: An Integrated Toolkit For Operating System Security.
1987,A Logic to Reason about Likelihood.
1987,Efficient Randomized Pattern-Matching Algorithms.
1987,Achieving Independence in Logarithmic Number of Rounds.
1983,Transaction Protection by Beacons.
1983,Randomized Byzantine Generals.
1983,A Logic to Reason about Likelihood.
1982,The Choice Coordination Problem.
1982,N-Process Mutual Exclusion with Bounded Waiting by 4 Log_2 N-Valued Shared Variable.
1981,On the Advantages of Free Choice: A Symmetric and Fully Distributed Solution to the Dining Philosophers Problem.
1980,Probabilistic Algorithms in Finite Fields.
1980,N-Process Synchronization by 4 log _2 N-Valued Shared Variables.
1977,Complexity of Computations.
1974,Theoretical Impediments to Artificial Intelligence.
1974,A Characterization of the Power of Vector Machines.
1972,Proving Simultaneous Positivity of Linear Forms.
1972,Solving Linear Equations by Means of Scalar Products.
1971,Meeting of the Association for Symbolic Logic.
1966,Decidability and Undecidability of Extensions of Second (First) Order Theory of (Generalized) Successor.
1963,Probabilistic Automata.
1963,Words in the History of a Turing Machine with a Fixed Input.
1963,The Theory of Definite Automata.
1959,Finite Automata and Their Decision Problems.
1959,On Codes for Checking Logical Operations.
1958,On Recursively Enumerable and Arithmetic Models of Set Theory.
