2014,A historical perspective of speech recognition.
2013,The Convergence of Machine and Biological Intelligence.
2012,Human and Machine Intelligence.
2008,Transmembrane helix prediction using amino acid property features and latent semantic analysis.
2007,"Improving Pronunciation Inference using N-Best List, Acoustics and Orthography."
2006,Robotics and Intelligent Systems in Support of Society.
2006,Interviews: The Challenges of Emerging Economies.
2006,Digital Library of India: A Testbed for Indian Language Research.
2006,Collaborative Discovery Through Biological Language Modeling Interface.
2005,The Origins of the American Association for Artificial Intelligence.
2004,Computational Biology and Language.
2003,Three open problems in AI.
1998,Innovation and Obstacles: The Future of Computing.
1997,An Integral Approach to Free-Form Object Modeling.
1997,How investments in computing research will pay off.
1996,To Dream The Possible Dream - Turing Award Lecture.
1996,The Challenge of Artificial Intelligence.
1995,Informedia Digital Video Library.
1995,Grand Challenges in AI.
1995,Principal Component Analysis with Missing Data and Its Application to Polyhedral Object Modeling.
1995,The Universal Library: Intelligent Agents and Information on Demand.
1995,An Integral Approach to Free-Formed Object Modeling.
1994,Principal component analysis with missing data and its application to object modeling.
1994,Virtual reality modeling from a sequence of range images.
1994,Spoken-Language Research at Carnegie Mellon.
1993,Spoken-Language Research At Carnegie Mellon.
1992,In Memoriam - Dennis O'Connor (1938-1992).
1992,Spoken-Language Research At Carnegie Mellon.
1991,Spoken-Language Research at Carnegie Mellon.
1990,An overview of the SPHINX speech recognition system.
1990,Translating telephone: problems and prospects.
1990,Speech Research at Carnegie Mellon.
1989,Speech Research at Carnegie Mellon.
1989,Speech Research at Carnegie Mellon.
1988,Foundations and Grand Challenges of Artificial Intelligence: AAAI Presidential Address.
1983,Steps Toward Graceful Interaction in Spoken and Written Man-Machine Communication.
1981,Breaking the Man-Machine Communication Barrier.
1980,The Hearsay-II Speech-Understanding System: Integrating Knowledge to Resolve Uncertainty.
1979,Matching Segments of Images.
1979,Graceful Interaction in Man-Machine Communication.
1977,Speech Understanding Systems.
1977,Knowledge Guided Learning of Structural Descriptions.
1977,The LOCUS Model of Search and its Use in Image Interpretation.
1977,Change Detection and Analysis in Multispectral Images.
1977,"Proceedings of the 5th International Joint Conference on Artificial Intelligence. Cambridge, MA, USA, August 22-25, 1977."
1976,System Organizations for Speech Understanding: Implications of Network and Multiprocessor Computer Architectures for AI.
1976,The Hearsay- I Speech Understanding System: An Example of the Recognition Process.
1973,The Hearsay Speech Understanding System: An Example of the Recognition Process.
1973,System Organizations for Speech Understanding: Implications of Network and Multiprocessor Computer Architecture for AI.
1972,XCRIBL - A Hardcopy Scan Line Graphics System for Document Generation.
1972,Workshop on Hard Copy Line Graphics.
1971,Speech Recognition: Prospects of the Seventies.
1968,"A computer with hands, eyes, and ears."
1967,Pitch period determination of speech sounds.
