1996,Die Sprache der Maschinen.
1990,Addition Machines.
1982,The Compilation of Regular Expressions into Integrated Circuits.
1980,The Compilation of Regular Expressions into Integrated Circuits (Extended Abstract).
1979,The Paradigms of Programming.
1978,Exact and Approximate Membership Testers.
1975,Expected Time Bounds for Selection.
1975,The Algorithm SELECT - for Finding the ith Smallest of n Elements [M1] (Algorithm 489).
1975,The Exact Time Required to Perform Generalized Addition.
1973,A Linear Time Two Tape Merge.
1973,Time Bounds for Selection.
1973,"Proceedings of the 5th Annual ACM Symposium on Theory of Computing, April 30 - May 2, 1973, Austin, Texas, USA."
1972,"Errata: Notes on Avoiding ""go to"" Statements."
1972,An Interpretation-Oriented Theorem Prover over Integers.
1972,Permuting Information in Idealized Two-Level Storage.
1972,Linear Time Bounds for Median Computations.
1971,"Notes on Avoiding ""go to"" Statements."
1971,Toward Interactive Design of Correct Programs.
1970,An Interpretation Oriented Theorem Prover over Integers.
1967,Nondeterministic Algorithms.
1964,Bounded context syntactic analysis.
1964,Algorithm 245: Treesort.
1964,The Syntax of Programming Languages-A Survey.
1963,Syntactic Analysis and Operator Precedence.
1962,Algorithm 96: Ancestor.
1962,Algorithm 97: Shortest path.
1962,Algorithm 113: Treesort.
1962,On the nonexistence of a phrase structure grammar for ALGOL 60.
1962,On ambiguity in phrase structure languages.
1961,An algorithm for coding efficient arithmetic operations.
1961,A Note on Mathematical Induction on Phrase Structure Grammars.
1961,A Descriptive Language for Symbol Manipulation.
1960,An Algorithm Defining ALGOL Assignment Statements.
1960,Note of amplification.
