Year	Title
2018	revenue monotonicity combinatorial auction
2017	dominant-strategy versus bayesian multi-item auction maximum revenue determination comparison
2016	concurrent knowledge extraction public-key model
2015	interdisciplinarity view theory computation
2014	privacy-preserving authenticated key-exchange internet
2013	online/offline signature low-power device
2013	oake new family implicitly authenticated diffie-hellman protocol
2012	graph coloring applied secure computation non-abelian group
2012	turing computational model
2012	quantum computing great science making
2012	computationally-fair group identity-based key-exchange
2010	deniable internet key exchange
2010	concurrent knowledge extraction public-key model
2009	quantum query complexity local search two three dimension
2009	note feasibility generalised universal composability
2009	communication complexity application
2008	graph design secure multiparty computation non-abelian group
2008	perspective complexity-based cryptography
2008	generalized tsirelson inequality commuting-operator provers multi-prover interactive proof system
2007	note universal composable zero knowledge common reference string model
2007	note feasibility generalized universal composability
2006	perspective computational communication complexity
2006	recent progress quantum computational complexity
2005	communication complexity co-linearity problem
2004	self testing quantum apparatus
2004	graph property circular function low quantum query complexity go
2004	fisher equilibrium price class concave utility function
2004	dynamic price sequence incentive compatibility extended abstract
2004	graph entropy quantum sorting problem
2003	classical physic church-turing thesis
2003	interactive proof quantum computation
2003	power quantum fingerprinting
2002	read-once branching program rectangular proof pigeonhole principle transversal calculus
2001	informational complexity direct sum problem simultaneous message complexity
2001	perspective computational complexity abstract
2000	quantum bit escrow
1998	exponential lower bound size algebraic decision tree max
1998	quantum cryptography imperfect apparatus
1996	hypergraphs decision tree abstract
1995	minimean optimal key arrangement hash table
1994	near-optimal time-space tradeoff element distinctness
1993	towards uncheatable benchmark
1993	quantum circuit complexity
1993	group algebraic complexity abstract
1991	weighted random assignment application hashing
1990	acc threshold circuit
1989	circuit local computation
1989	improbability reaching byzantine agreement preliminary version
1988	monotone bipartite graph property evasive
1987	lower bound randomized algorithm graph property extended abstract
1986	generate exchange secret extended abstract
1985	uniform hashing optimal
1985	general approach d-dimensional geometric query extended abstract
1983	security public key protocol
1983	lower bound probabilistic argument extended abstract
1983	strong signature scheme
1982	signature authentication
1982	protocol secure computation extended abstract
1981	table sorted
1981	entropic limitation vlsi computation extended abstract
1980	new algorithm bin packing
1979	storing sparse table
1979	complexity question related distributive computing preliminary report
1978	random 2-3 tree
1978	average-case complexity selecting k-th best
1976	analysis subtractive algorithm greatest common divisor
1976	lower bound merging network
1976	average behavior set merging algorithm extended abstract
1975	computing minimum quadratic form preliminary report
1974	scheduling unit-time task limited resource
