Year	Title
2013	society intelligent veillance
2010	intimacy versus privacy
2006	1956-1966 begin - issue
2004	st thomas common sense symposium designing architecture human-level intelligence
1991	logical versus analogical symbolic versus connectionist neat versus scruffy
1989	virtual environment interactivity window future
1983	introduction comtex microfiche edition early mit artificial intelligence memo
1982	people think computer cant
1980	k-lines theory memory
1966	unrecognizable set number
