Year	Title
2007	high performance processor chip
2006	remember eniac
2003	biography
1997	arithmetic edsac maurice v
1996	computer - part 2
1996	arithmetic edsac
1995	memory wall cmos end-point
1993	light amplifier soliton
1992	edsac 2
1991	babbages expectation engine
1991	pray mr babbage-a character study dramatic form
1991	software programmer
1991	revisiting computer security business world
1991	could predicted
1990	network email fax
1990	bandwidth famine
1990	rise vlsi processor
1988	acm sigops european workshop 1988 position paper
1984	security management protection - personal approach
1982	hardware support memory protection capability implementation
1980	new hardware capability architecture
1973	dynamic paging
1973	cambridge multiple-access system retrospect
1972	preserving integrity data base
1972	associative languageal -1
1969	model core space allocation time-sharing system
1968	design multiple-access computer system part 2
1968	outer inner syntax programming language
1968	computer
1967	design multiple-access computer system
1965	list useful
1965	slave memory dynamic storage allocation
1964	constraint-type statement programming language
1964	programmer utility filing system
1961	data transmission new outlook computer field
