Year	Title
2019	fair trade framework assessing decentralised data solution
2017	linked data notification resource-centric communication protocol
2017	decentralised authoring annotation notification read-write web dokieli
2016	demonstration solid platform social web application
2012	linked open government data lesson datagovuk
2011	designing web open society
2010	semantic web social machine research challenge ai world wide web
2010	world-wide web information universe
2009	interacting ehealth towards grand challenge hci
2009	policy-aware content reuse web
2008	fractal nature semantic web
2008	web science interdisciplinary approach understanding web
2008	n3logic logical framework world wide web
2008	tabulator redux browsing writing linked data
2008	linked data web ldow2008
2007	data-purpose algebra modeling data usage policy
2006	semantic web revisited
2006	using semantic web technology policy management web
2006	transparent accountable data mining new strategy privacy protection
2006	next wave web
2005	www 15 year looking forward
1997	world-wide computer
1996	www past present future
