Year	Title
2019	equivalence equilibrium propagation recurrent backpropagation
2019	gated orthogonal recurrent unit learning forget
2019	towards non-saturating recurrent unit modelling long-term dependency
2019	combined reinforcement learning via abstract representation
2019	neural dialog system use conversation history effectively empirical study
2019	interpolated adversarial training achieving robust neural network without sacrificing much accuracy
2019	interactive language learning question answering
2019	transferable feature convolutional neural network acoustic model across language
2019	highly adaptive acoustic model accurate multi-dialect speech recognition
2019	representation mixing tt synthesis
2019	pytorch-kaldi speech recognition toolkit
2019	babyai platform study sample efficiency grounded language learning
2019	adversarial domain adaptation stable brain-machine interface
2019	recall trace backtracking model efficient reinforcement learning
2019	learning deep representation mutual information estimation maximization
2019	relation sharpest direction dnn loss sgd step length
2019	h-detach modifying lstm gradient towards better optimization
2019	modeling long term future model-based reinforcement learning
2019	quaternion recurrent neural network
2019	empirical study example forgetting deep neural network learning
2019	perceptual generative autoencoders
2019	spectral bias neural network
2019	manifold mixup better representation interpolating hidden state
2019	data-efficient framework training sim-to-real transfer navigation policy
2019	interpolation consistency training semi-supervised learning
2019	infomask masked variational latent representation localize chest disease
2018	deep convolutional network quality assessment protein fold
2018	fine-grained attention mechanism neural machine translation
2018	learning normalized input iterative estimation medical image segmentation
2018	dynamic neural turing machine continuous discrete addressing scheme
2018	drawing recognizing chinese character recurrent neural network
2018	light gated recurrent unit speech recognition
2018	neural model key phrase extraction question generation
2018	straight tree constituency parsing neural syntactic distance
2018	iterative refinement densely connected representation level semantic segmentation
2018	hotpotqa dataset diverse explainable multi-hop question answering
2018	width minimum reached stochastic gradient descent influenced learning rate batch size ratio
2018	monaural singing voice separation skip-filtering connection recurrent inference time-frequency mask
2018	dynamic frame skipping fast speech recognition recurrent neural network based acoustic model
2018	boundary seeking gans
2018	residual connection encourage iterative inference
2018	figureqa annotated figure dataset visual reasoning
2018	universal successor representation transfer reinforcement learning
2018	extending framework equilibrium propagation general dynamic
2018	twin network matching future sequence generation
2018	learning general purpose distributed sentence representation via large scale multi-task learning
2018	deep complex network
2018	graph attention network
2018	fraternal dropout
2018	focused hierarchical rnns conditional sequence processing
2018	mad twinnet masker-denoiser architecture twin network monaural sound source separation
2018	quaternion convolutional neural network end-to-end automatic speech recognition
2018	image-to-image translation cross-domain disentanglement
2018	bayesian model-agnostic meta-learning
2018	sparse attentive backtracking temporal credit assignment reminding
2018	dendritic cortical microcircuit approximate backpropagation algorithm
2018	speaker recognition raw waveform sincnet
2017	integrating language model neural machine translation
2017	context-dependent word representation neural machine translation
2017	equilibrium propagation bridging gap energy-based model backpropagation
2017	quantized neural network training neural network low precision weight activation
2017	brain tumor segmentation deep neural network
2017	representational geometry word meaning acquired neural machine translation model
2017	stdp-compatible approximation backpropagation energy-based model
2017	end-to-end online writer identification recurrent neural network
2017	denoising criterion variational auto-encoding framework
2017	multiresolution recurrent neural network application dialogue response generation
2017	hierarchical latent variable encoder-decoder model generating dialogue
2017	towards automatic turing test learning evaluate dialogue response
2017	one hundred layer tiramisu fully convolutional densenets semantic segmentation
2017	plug & play generative network conditional iterative generation image latent space
2017	count-ception counting fully convolutional redundant counting
2017	actor-critic algorithm sequence prediction
2017	hierarchical multiscale recurrent neural network
2017	mollifying network
2017	zoneout regularizing rnns randomly preserving hidden activation
2017	structured self-attentive sentence embedding
2017	diet network thin parameter fat genomics
2017	char2wav end-to-end speech synthesis
2017	sharp minimum generalize deep net
2017	robust adaptive stochastic gradient method deep learning
2017	improving speech recognition revising gated recurrent unit
2017	dynamic layer normalization adaptive neural acoustic modeling speech recognition
2017	variational walkback learning transition operator stochastic recurrent net
2017	gibbsnet iterative adversarial inference deep graphical model
2017	plan attend generate planning sequence-to-sequence model
2017	z-forcing training stochastic recurrent network
2017	plan attend generate character-level neural machine translation planning
2016	knowledge matter importance prior information optimization
2016	emonets multimodal deep learning approach emotion recognition video
2016	learning understand phrase embedding dictionary
2016	building end-to-end dialogue system using generative hierarchical neural network model
2016	character-level decoder without explicit segmentation neural machine translation
2016	pointing unknown word
2016	generating factoid question recurrent neural network 30m factoid question-answer corpus
2016	oracle performance visual captioning
2016	reseg recurrent neural network-based model semantic segmentation
2016	unitary evolution recurrent neural network
2016	bidirectional helmholtz machine
2016	noisy activation function
2016	hemis hetero-modal image segmentation
2016	architectural complexity measure recurrent neural network
2016	binarized neural network
2016	nyu-mila neural machine translation system wmt16
2016	neural network multiplication
2015	challenge representation learning report three machine learning contest
2015	using recurrent neural network slot filling spoken language understanding
2015	describing multimedia content using attention-based encoder-decoder network
2015	iapr keynote lecture iv deep learning
2015	hierarchical recurrent encoder-decoder generative context-aware query suggestion
2015	bilbowa fast bilingual distributed representation without word alignment
2015	equilibrated adaptive learning rate non-convex optimization
2015	binaryconnect training deep neural network binary weight propagation
2015	artificial neural network applied taxi destination prediction
2015	difference target propagation
2015	reweighted wake-sleep
2015	embedding word similarity neural machine translation
2015	ensemble generative discriminative technique sentiment analysis movie review
2015	fitnets hint thin deep net
2014	conditioning time representation long short-term memory network
2014	regularized auto-encoders learn data-generating distribution
2014	learning semantic representation object part
2014	spike-and-slab rbm extension discrete sparse data distribution
2014	challenge physical implementation rbms
2014	learning concept embeddings query expansion quantum entropy minimization
2014	learning phrase representation using rnn encoder-decoder statistical machine translation
2014	deep learning cultural evolution
2014	deep generative stochastic network trainable backprop
2014	marginalized denoising auto-encoders nonlinear representation
2014	identifying attacking saddle point problem high-dimensional non-convex optimization
2014	transferable feature deep neural network
2014	equivalence deep nade generative stochastic network
2014	learned-norm pooling deep feedforward recurrent neural network
2014	empirical investigation catastrophic forgeting gradient-based neural network
2014	multimodal transition generative stochastic network
2014	construct deep recurrent neural network
2014	number inference region deep feed forward network piece-wise linear activation
2014	revisiting natural gradient deep network
2013	learning deep physiological model affect
2013	representation learning review new perspective
2013	scaling spike-and-slab model unsupervised feature learning
2013	texture modeling convolutional spike-and-slab rbms deep extension
2013	stacked calibration off-policy policy evaluation video game matchmaking
2013	high-dimensional sequence transduction
2013	advance optimizing recurrent network
2013	combining modality specific deep neural network emotion recognition video
2013	better mixing via deep representation
2013	unsupervised learning semantics object detection scene categorization
2013	investigation recurrent-neural-network architecture learning method spoken language understanding
2013	audio chord recognition recurrent neural network
2013	stochastic ratio matching rbms sparse high-dimensional input
2013	modeling term dependency quantum language model ir
2013	deep learning representation looking forward
2013	metric-free natural gradient joint-training boltzmann machine
2013	natural gradient revisited
2012	detonation classification acoustic signature restricted boltzmann machine
2012	random search hyper-parameter optimization
2012	learning algorithm classification restricted boltzmann machine
2012	beyond skill rating advanced matchmaking ghost recon online
2012	disentangling factor variation facial expression recognition
2012	discriminative non-negative matrix factorization multiple pitch estimation
2012	building musically-relevant audio feature multiple timescale representation
2012	unsupervised transfer learning challenge deep learning approach
2011	suitability v1 energy model object classification
2011	quickly generating representative sample rbm-derived process
2011	contextual tag inference
2011	learning structured embeddings knowledge base
2011	domain adaptation large-scale sentiment classification deep learning approach
2011	contractive auto-encoders explicit invariance feature extraction
2011	unsupervised model image spike and-slab rbms
2011	learning distributed representation semantics
2011	tracking partition function
2011	higher order contractive auto-encoder
2011	deep learner benefit out-of-distribution example
2011	deep sparse rectifier neural network
2010	alternative time representation dopamine model
2010	unsupervised pre-training help deep learning
2010	stacked denoising autoencoders learning useful representation deep network local denoising criterion
2010	deep belief network compact universal approximators
2010	word representation simple general method semi-supervised learning
2010	tempered markov chain monte carlo training restricted boltzmann machine
2010	understanding difficulty training deep feedforward neural network
2009	learning deep architecture ai
2009	incorporating functional knowledge neural network
2009	justifying generalizing contrastive divergence
2009	hybrid pareto mixture conditional asymmetric fat-tailed distribution
2009	curriculum learning
2009	infinite factor model hierarchy via noisy-or mechanism
2007	noisy k best-paths approximate dynamic programming application portfolio optimization
2007	augmented functional time series representation forecasting gaussian process
2007	topmoumoute online natural gradient algorithm
2007	hybrid pareto model conditional density estimation asymmetric fat-tail data
2006	collaborative filtering family biological target
2006	nonlocal estimation manifold structure
2006	greedy layer-wise training deep network
2005	greedy spectral embedding
2005	semi-supervised learning entropy minimization
2004	unbiased estimator variance k-fold cross-validation
2004	unsupervised sense disambiguation using bilingual probabilistic model
2004	brain inspired reinforcement learning
2003	scaling large learning problem hard parallel mixture
2003	neural probabilistic language model
2003	inference generalization error
2003	quick training probabilistic neural net importance sampling
2003	out-of-sample extension lle isomap md eigenmaps spectral clustering
2002	model selection small sample regression
2002	kernel matching pursuit
2001	cost function model combination var-based asset allocation using neural network
2001	k-local hyperplane convex distance nearest neighbor algorithm
2001	estimating car insurance premia case study high-dimensional data inference
2001	topic segmentation  first stage dialog-based information extraction
2000	boosting neural network
2000	taking curse dimensionality joint distribution using neural network
2000	neural support vector network architecture adaptive kernel
1998	gaussian mixture density classification nuclear power plant data
1998	z-coder adaptive binary coder
1998	memory-efficient adaptive huffman coding algorthm large set symbol
1997	using financial training criterion rather prediction criterion
1996	input-output hmms sequence processing
1996	multi-task learning stock selection
1995	diffusion context credit information markovian model
1995	search new learning rule anns
1995	hierarchical recurrent neural network long-term dependency
1993	connectionist approach speech recognition
1992	learning dynamic nature speech back-propagation sequence
1992	phonetically motivated acoustic parameter continuous speech recognition using artificial neural network
1990	efficient recognition immunoglobulin domain amino acid sequence using neural network
1990	phonetically-based multi-layered neural network vowel classification
1989	speaker independent speech recognition neural network speech knowledge
1988	use multi-layered network coding speech phonetic feature
