2009,derivability redundancy consistency relation stored large data bank
1987,commentary missing information relational database applicable inapplicable information
1986,missing information applicable inapplicable relational database
1983,relational model data large shared data bank reprint
1982,relational database practical foundation productivity
1980,data model database management
1979,extending database relational model capture meaning
1979,extending data base relational model capture meaning abstract
1977,access relational data base casual user
1975,understanding relation installment #6
1975,data base management
1974,interactive support non-programmers relational network approach
1974,relational network approach comparison application programming interface
1974,seven step rendezvous casual user
1971,data base sublanguage founded relational calculus
1971,normalized data base structure brief tutorial
1962,multiprogramming
1960,multiprogram scheduling part 1 2 introduction theory
1960,multiprogram scheduling part 3 4 scheduling algorithm external constraint
1959,multiprogramming stretch feasibility consideration
