2002,ewd1300 notational convention adopted
2001,end computing science
1990,making fair roulette possibly biased coin
1986,simple fixpoint argument without restriction continuity
1986,belated proof self-stabilization
1982,introduction three algorithm sorting situ
1982,smoothsort alternative sorting situ
1982,tell truth might hurt
1980,beautiful argument using mathematical induction
1980,termination detection diffusing computation
1978,on-the-fly garbage collection exercise cooperation
1977,programming craft scientific discipline
1975,guarded command nondeterminacy formal derivation program
1975,time-wise hierarchy imposed upon use two-level store
1974,self-stabilizing system spite distributed control
1972,class allocation strategy inducing bounded delay
1971,hierarchical ordering sequential process
