2019,sensitivity analysis linear structural causal model
2019,unit selection based counterfactual logic
2018,estimation incomplete data linear case
2018,theoretical impediment machine learning seven spark causal revolution
2017,counterfactual data-fusion online reinforcement learner
2016,causal inference data-fusion problem
2016,incorporating knowledge structural equation model using auxiliary variable
2015,missing data causal perspective
2015,bandit unobserved confounders causal approach
2015,efficient algorithm bayesian network parameter learning incomplete data
2015,missing data causal probabilistic problem
2014,generalizing causal knowledge theory algorithm
2014,recovering selection bias causal statistical inference
2014,testable implication linear structural equation model
2014,random bayesian network bounded indegree
2014,testability model missing data
2014,transportability multiple environment limited experiment completeness result
2014,graphical model recovering probabilistic causal query missing data
2013,structural counterfactuals brief introduction
2013,causal transportability limited experiment
2013,simple criterion controlling selection bias
2013,graphical model inference missing data
2012,do-calculus revisited
2012,causal inference surrogate experiment z-identifiability
2011,algorithmization counterfactuals
2011,transportability causal statistical relation formal approach
2011,local characterization causal bayesian network
2011,mathematics causal inference
2010,class bias-amplifying variable endanger effect estimate
2010,measurement bias causal inference
2010,confounding equivalence causal inference
2009,effect treatment treated identification generalization
2008,dormant independence
2007,counterfactuals tested
2006,identification joint interventional distribution recursive semi-markovian causal model
2006,graphical condition identification recursive sem
2005,influence diagram - historical personal perspective
2005,identifiability path-specific effect
2002,reasoning cause effect
2002,general identification condition causal effect
2002,new characterization experimental implication causal bayesian network
2001,cause explanation structural-model approach part 1 cause
2001,direct indirect effect
2001,causal discovery change
2000,probability causation bound identification
1999,probability causation three counterfactual interpretation identification
1999,testing regression model fewer regressors
1997,logic iterated belief revision
1997,axiom causal relevance
1996,qualitative probability default reasoning belief revision causal modeling
1996,logarithmic-time update query probabilistic network
1996,new characterization graph based interception relation
1996,clinician tool analyzing non-compliance
1996,causation action counterfactuals
1995,causal inference indirect experiment
1995,causal calculus statistical research
1995,specificity inheritance default reasoning
1995,counterfactuals policy analysis structural model
1994,probabilistic evaluation counterfactual query
1994,symbolic causal network
1994,qualitative decision theory
1994,specification evaluation preference uncertainty
1994,counterfactual probability computational method bound application
1993,maximum entropy approach nonmonotonic reasoning
1993,conditional oughts qualitative decision theory
1992,consistency defeasible database
1992,structure identification relational data
1992,rejoinder comment reasoning belief function analysis compatibility
1992,reasoning qualitative probability tractable
1991,temporal constraint network
1991,axiom algorithm inference involving probabilistic independence
1991,directed constraint network relational framework causal modeling
1991,theory inferred causation
1990,reasoning belief function analysis compatibility
1990,learning causal tree dependence information
1990,system z natural ordering default tractable application nonmonotonic reasoning
1989,tree clustering constraint network
1989,learning structure data survey
1988,embracing causality default reasoning
1988,probability interval
1988,logic causal model
1988,causal network semantics expressiveness
1987,network-based heuristic constraint-satisfaction problem
1987,convince conversational inference consolidation engine
1986,fusion propagation structuring belief network
1986,logic probabilistic dependency
1986,comprehension-driven generation meta-technical utterance math tutoring
1985,generalized best-first search strategy optimality a*
1985,anatomy easy problem constraint-satisfaction formulation
1985,constraint-propagation approach probabilistic reasoning
1984,recent result heuristic search theory
1983,nature pathology game searching
1983,searching optimal path tree random cost
1983,discovery generation certain heuristic
1982,goddess goal-directed decision structuring system
1982,study semi-admissible heuristic
1982,reverend bayes inference engine distributed hierarchical approach
1981,space-efficient on-line method computing quantile estimate
1981,solution branching factor alpha-beta pruning algorithm
1980,asymptotic property minimax tree game-searching procedure
1980,probabilistic analysis complexity a*
1980,storage space versus validity answer probabilistic question-answering system
1979,capacity error estimate boolean classifier limited complexity
1979,asymptotic property discrete unitary transforms
1979,asymptotic rate-distortion function coding precedence relation corresp
1979,elasticity condition storage versus error exchange question-answering system
1977,summarizing data using probabilistic assertion
1977,framework processing value judgment
1977,interactive program fo conversational elicitation decision structure
1976,application rate-distortion theory pattern recognition classification
1976,coding precedence relation pair-ordering fidelity criterion corresp
1976,theoretical bound complexity inexact computation
1975,residual correlation finite-dimensional discrete fourier transforms stationary signal corresp
1975,storage economy inferential question-answering system
1973,time frequency sequency uncertainty relation corresp
1973,coding filtering stationary signal discrete fourier transforms corresp
1971,basis-restricted transformation performance measure spectral representation corresp
1971,application walsh transform statistical analysis
