2003,separation complexity class
1999,observation nature state computer science keynote address
1995,weight computation
1994,random oracle hypothesis false
1994,hausdorff topological dimension kolmogorov complexity real line
1994,intellectual terrain around np
1993,computing future whither computer science engineering
1993,observation nature computer science
1991,space bounded computation review new separation result
1991,one-way function nonisomorphism np-complete set
1990,robust machine accept easy set
1989,cornell commission morris worm
1989,boolean hierarchy ii application
1988,sparse oracle separating feasible complexity class
1988,boolean hierarchy structural property
1988,complexity class without machine complete language
1987,one-way function robustness non-isomorphism np-complete set
1985,sparse set np-p exptime versus nexptime
1985,independence result context-free language lower bound
1983,gödel speed-up succinctness language representation
1983,generalized kolmogorov complexity structure feasible computation preliminary report
1982,note natural complete set gödel numbering
1981,observation development theoretical computer science
1979,relation diagonalization proof system complexity gap
1979,succinctness verifiability determinism representation polynomial-time language
1978,log-tape isomorphism complete set
1978,one-way log-tape reduction
1976,effective speed-up long proof trivial theorem formal theory
1976,tape bound single letter alphabet language processing
1972,non-determinancy simple computing device
1971,use list study undecidable problem automaton theory
1971,computational complexity random access stored program machine
1970,note one-way two-way automaton
1970,r70-1 note computing time recognition context- free language single-tape turing machine
1969,automata-based computational complexity
1965,hierarchy memory limited computation
1963,study feedback error sequential machine
1962,danger state reduction sequential machine
