1994,differential-linear cryptanalysis
1988,time-memory-processor trade-off
1983,secret sharing system
1981,security multiple encryption
1979,convolutional encoding wyners wiretap channel corresp
1977,special feature exhaustive cryptanalysis nb data encryption standard
1977,extension shannon theory approach cryptography
1976,concerning bound undetected error probability corresp
1976,new direction cryptography
1976,multiuser cryptographic technique
1975,convolutional source encoding
1974,finite-memory algorithm estimating mean gaussian distribution corresp
1972,hypothesis testing finite memory finite time corresp
1972,effect randomization finite-memory decision scheme
1972,confidence model finite-memory learning system corresp
