2019,symmetry property nested canalyzing function
2018,testing phase space property synchronous dynamical system nested canalyzing local function
2018,using active query learn local stochastic behavior social network
2018,computational aspect fault location resilience problem interdependent infrastructure network
2015,analysis problem graphical dynamical system unified approach graph predicate
2013,consistency serializability concurrent database system
2013,sums-of-products subproblem independence
2011,modeling analyzing social network dynamic using stochastic discrete graphical dynamical system
2007,predecessor existence problem finite discrete dynamical system
2006,complexity reachability problem finite discrete dynamical system
2005,mechanism design software agent complete information
2005,resource bound subproblem independence
2003,finite strategy set finitely repeated zero-sum game
2003,deterministic versus nondeterministic time lower bound problem
2003,reachability problem sequential dynamical system threshold function
2003,predecessor permutation existence problem sequential dynamical system
2002,parallel approximation scheme class planar near planar combinatorial optimization problem
2001,complexity approximability quantified stochastic constraint satisfaction problem
2001,garden eden fixed point sequential dynamical system
2001,strongly-local reduction complexity/efficient approximability algebra optimization abstract algebraic structure
1998,nc-approximation scheme np- pspace-hard problem geometric graph
1998,complexity planar counting problem
1998,approximation algorithm pspace-hard hierarchically periodically specified problem
1996,algebraic model combinatorial problem
1996,complexity relational problem finite state process extended abstract
1994,unified approach approximation scheme np- pspace-hard problem geometric graph
1990,power index easier hard problem
1990,complexity simple boolean formula application
1988,complexity satisfiability problem algebraic structure preliminary report
1987,nonlinear algebra optimization ring hard
1981,distributed database concurrency control using before-values
1974,approximate algorithm traveling salesperson problem
1970,property deterministic top-down grammar
1968,syntax-directed transduction
1966,two-tape simulation multitape turing machine
