2016,floating-point precision tuning using blame analysis
2013,precimonious tuning assistant floating-point precision
2012,family anadromic numerical method matrix riccati differential equation
2006,error bound extra-precise iterative refinement
2006,prospectus next lapack scalapack library
2005,open question developer numerical software
2002,computing given rotation reliably efficiently
1999,symbolic computation divided difference
1997,composition constant raising order unconventional scheme ordinary differential equation
1992,analysis refutation lcas
1985,anomaly ibm acrith package
1975,problem #9 ellipse problem
1974,pivotal interchange necessary
1971,survey error analysis
